Code,en_GB,fr_BE,nl_BE
pa237,Oestriol,Oestriol,Oestriol
pa250,Paramyxovirus,Paramyxovirose (virus de la -),Paramyxovirus
pa505,Grapiprant,Grapiprant,Grapiprant
pa506,Midazolam,Midazolam,Midazolam
pa507,Menbutone,Menbutone,Menbuton
pa501,Apomorphine,Apomorphine,Apomorfine
pa502,Chlorphenamine,Chlorphénamine,Chloorfenamine
pa503,Lotilaner,Lotilaner,Lotilaner
pa504,Pegbovigrastim,Pegbovigrastim,Pegbovigrastim
pa_sarolaner,Sarolaner,Sarolaner,Sarolaner
pa_bromhexine,Bromhexine,Bromhexine,Broomhexine
pa_oclaci,Oclacitinib,Oclacitinib,Oclacitinib
pa_acid_clo,Clodronic acid,Acide clodronique,Clodroninezuur
pa400,Amlodipine,Amlodipine,Amlodipine
pa_torase,Torasemide,Torasemide,Torasemide
pa_desoxyco,Desoxycortone (pivalate),Desoxycortone (pivalate),Desoxycortonepivalaat
pa_orbiflox,Orbifloxacine,Orbifloxacine,Orbifloxacine
pa_sevoflurane,Sevoflurane,Sevoflurane,Sevoflurane
pa_selenium,Selenium,Selenium,Selenium
pa251,Paromomycine,Paromomycine,Paromomycine
pa252,Parvovirus,Parvovirus,Parvovirus
pa253,Pasteurella multocida,Pasteurella multocida,Pasteurella multocida
pa254,Peforelin,Péforéline,Peforelin
pa255,Penethamaat,Pénéthamate,Penethamaat
pa256,Pentobarbital,Pentobarbital,Pentobarbital
pa257,Pentosan polysulfaat,Pentosane (polysulfate de pentosane),Pentosan polysulfaat
pa258,Pergolide,Pergolide,Pergolide
pa249,Hondenpara-influenzavirus,Para-influenza canin (virus -),Hondenpara-influenzavirus
pa248,Paracetamol,Paracétamol,Paracetamol
pa247,Felien panleucopenievirus,Panleucopénie féline (virus de la -),Felien panleucopenievirus
pa238,Omeprazol,Oméprazole,Omeprazol
pa239,Ornithobacterium rhinotracheale,Ornithobacterium rhinotracheale,Ornithobacterium rhinotracheale
pa240,Osateron,Osatérone,Osateron
pa241,Oxantel,Oxantel,Oxantel
pa242,Oxfendazole,Oxfendazole,Oxfendazole
pa243,Oxyclozanide,Oxyclozanide,Oxyclozanide
pa244,Zinkoxide,Oxyde de zinc,Zinkoxide
pa245,Oxytetracycline,Oxytétracycline,Oxytetracycline
pa246,Oxytocine,Oxytocine,Oxytocine
pa259,Felien infectieuze peritonitisvirus,Péritonite Infectieuse feline (virus de la -),Felien infectieuze peritonitisvirus
pa260,Permethrine,Perméthrine,Permethrine
pa261,Fenobarbital,Phénobarbital,Fenobarbital
pa274,Pradofloxacine,Pradofloxacine,Pradofloxacine
pa275,Praziquantel,Praziquantel,Praziquantel
pa276,Prednisolon,Prednisolone,Prednisolon
pa277,Pregnant Mare Serum Gonadotropin,Pregnant Mare Serum Gonadotropin,Pregnant Mare Serum Gonadotropin
pa278,Procaine,Procaïne,Procaine
pa279,Progesteron,Progestérone,Progesteron
pa280,Proligeston,Proligestone,Proligeston
pa281,Propentofylline,Propentofylline,Propentofylline
pa282,Propofol,Propofol,Propofol
pa273,Povidonum iodinatum,Povidone iodée,Povidonum iodinatum
pa272,Kalium,Potassium,Kalium
pa271,Posaconazol,Posaconazole,Posaconazol
pa262,Fenoxymethylpenicilline,Phénoxyméthylpénicilline,Fenoxymethylpenicilline
pa263,Fenylbutazon,Phénylbutazone,Fenylbutazon
pa264,Fenylpropanolamine,Phénylpropanolamine,Fenylpropanolamine
pa265,Phoxime (foxim),Phoxime,Phoxime (foxim)
pa266,PI-3 virus,PI-3 (virus -),PI-3 virus
pa267,Pimobendan,Pimobendan,Pimobendan
pa268,Pirlimycine,Pirlimycine,Pirlimycine
pa269,PMSG,PMSG,PMSG
pa270,Polymyxine B,Polymyxine B,Polymyxine B
pa283,Propoxur,Propoxur,Propoxur
pa190,Leukemievirus kat (felien leukemievirus),Leucémie féline (virus de la -),Leukemievirus kat (felien leukemievirus)
pa203,Masitinib,Masitinib,Masitinib
pa204,Mavacoxib,Mavacoxib,Mavacoxib
pa205,Mebendazole,Mébendazole,Mebendazole
pa206,Mebezoniumiodide,Mébézonium (iodure de -),Mebezoniumiodide
pa207,Medetomidine,Médétomidine,Medetomidine
pa208,Medroxyprogesteronacetaat,Médroxyprogesterone acétate,Medroxyprogesteronacetaat
pa209,Megestrolacetaat,Mégéstrol acétate,Megestrolacetaat
pa210,Meloxicam,Méloxicam,Meloxicam
pa211,Metamizol,Métamizole,Metamizol
pa202,Maropitant,Maropitant,Maropitant
pa201,Marbofloxacine,Marbofloxacine,Marbofloxacine
pa200,Marekvirus,Marek (virus de la -),Marekvirus
pa191,Levamisol,Lévamisole,Levamisol
pa192,Levothyroxine,Lévothyroxine,Levothyroxine
pa193,Lidocaine,Lidocaine,Lidocaine
pa194,Lincomycine,Lincomycine,Lincomycine
pa195,Lufenuron,Lufénuron,Lufenuron
pa196,Lutropine (LH) (luteotroop hormoon) (hCG),Lutropine (LH) (hCG),Lutropine (LH) (luteotroop hormoon) (hCG)
pa197,Magnesium,Magnésium,Magnesium
pa198,RHDV,Maladie hémorragique virale (virus de la -) (RHDV),RHDV
pa199,Mannheimia (Pasteurella) haemolytica,Mannheimia (Pasteurella) haemolytica,Mannheimia (Pasteurella) haemolytica
pa212,Metergoline,Métergoline,Metergoline
pa213,Methadon,Méthadone,Methadon
pa214,Methimazole,Méthimazole,Methimazole
pa227,Mycoplasma hyopneumoniae,Mycoplasma hyopneumoniae,Mycoplasma hyopneumoniae
pa228,Mycoplasma synoviae,Mycoplasma synoviae,Mycoplasma synoviae
pa229,Myxomatosevirus,Myxomatose (virus de la -),Myxomatosevirus
