code;en_US;fr_BE;nl_BE;parent
master;"Alcyon Catalog";"Catalogue Alcyon";;
med;Drugs;Médicaments;Geneesmiddelen;master
med_vt_bg;"Belgian veterinary drugs";"Médicaments vétérinaires belges";"Belgische diergeneesmiddelen";med
antibact_aimvb;Anti-bacterial;Antibactériens;"Antibacteriële middelen";med_vt_bg
penicillin_antibact_aimvb;Penicillins;Pénicillines;Penicillines;antibact_aimvb
cephalosporin_antibact_aimvb;Cephalosporins;Céphalosporines;Cefalosporines;antibact_aimvb
aminosid_antibact_aimvb;Aminosides;Aminosides;Aminoglycosiden;antibact_aimvb
florfenicol_antibact_aimvb;Florfenicol;Florfénicol;Florfenicol;antibact_aimvb
tetracycl_antibact_aimvb;Tetracyclins;Tétracyclines;Tetracyclines;antibact_aimvb
marco_linco_pleuro_antibact_aimvb;"Macrolides, Lincosamides, Pleuromutilins";"Macrolides, Lincosamides, Pleuromutulines";"Macroliden, lincosamiden, pleuromutulinen";antibact_aimvb
polym_antibact_aimvb;Polymyxins;Polymyxines;Polymyxinen;antibact_aimvb
bacitraci_antibact_aimvb;Bacitracine;Bacitracine;Bacitracine;antibact_aimvb
sulfa_et_trimed_antibact_aimvb;"Sulfonamides and trimethoprim";"Sulfamides et triméthoprime";"Sulfamiden en trimethoprim";antibact_aimvb
quinolo_fluoroq_antibact_aimvb;"Quinolones, fluoroquinolones";"Quinolones, Fluoroquinolones";"Quinolonen, Fluoroquinolonen";antibact_aimvb
associations_antibact_aimvb;Associations;Associations;Associaties;antibact_aimvb
metronid_aimvb;Metronidazol;Métronidazole;Metronidazol;antibact_aimvb
antimyco_aimvb;Anti-mycotics;Antimycotiques;Antimycotica;med_vt_bg
antipara_aimvb;Anti-parasitics;Antiparasitaires;"Antiparasitaire middelen";med_vt_bg
inj_et_usg_or_ctre_endopar_apaimvb;"injectables and oral use against endoparasites";"injectables et à usage oral contre les endoparasites";"voor injectie of voor orale toediening bij endoparasieten";antipara_aimvb
