id,name,is_business_unit,parent_id/id,property_cost_method
alc_product_category_data.product_categ_materiel,Matériel,True,product.product_category_all,average
alc_product_category_data.product_categ_ali,Aliments,True,product.product_category_all,average
alc_product_category_data.product_categ_medoc,Médicaments,True,product.product_category_all,average
alc_product_category_data.product_categ_finance,Finance,True,product.product_category_all,average
alc_product_category_data.product_categ_vet_belges,Médicaments vétérinaires belges,,alc_product_category_data.product_categ_medoc,average
alc_product_category_data.product_categ_stupefiant_vet,Stupéfiant VET,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_importation,Cascade importation,,alc_product_category_data.product_categ_medoc,average
alc_product_category_data.product_categ_humain,Médicaments humains,,alc_product_category_data.product_categ_medoc,average
alc_product_category_data.product_categ_parapharmacie,Parapharmacie,,alc_product_category_data.product_categ_medoc,average
alc_product_category_data.product_categ_finance_divers,Divers,,alc_product_category_data.product_categ_finance,average
alc_product_category_data.product_categ_finance_opcli,Opcli,,alc_product_category_data.product_categ_finance,average
alc_product_category_data.product_categ_finance_coope,Coope,,alc_product_category_data.product_categ_finance,average
alc_product_category_data.product_categ_antimicrobiens,Antimicrobiens,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_pis,medicaments du pis,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_oeil_oreille,Médicaments de l'oeil - oreille,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_antiparasite,Antiparasitaire,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_sys_nerveux,Médicaments du système nerveux,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_vasculo,Médicaments du système vasculo-circ,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_vitamines,Vitamines,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_vaccins,"Vaccins, sérums",,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_divers_veto,Médicaments Vétérinaire Divers,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_hormones,Hormones,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_psychotropes_25,Psychotropes Annexe III,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_stupefiant,Stupéfiants,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_topiques,Topiques,,alc_product_category_data.product_categ_vet_belges,average
alc_product_category_data.product_categ_phytosanitaires,Phytosanitaires,,alc_product_category_data.product_categ_parapharmacie,average
alc_product_category_data.product_categ_homeo,"Homéopathie, Phytotérapie",,alc_product_category_data.product_categ_parapharmacie,average
alc_product_category_data.product_categ_chimiques,Chimiques (pas d'APB),,alc_product_category_data.product_categ_parapharmacie,average
alc_product_category_data.product_categ_divers_para,Divers parapharmacie,,alc_product_category_data.product_categ_parapharmacie,average
alc_product_category_data.product_categ_ali_comp,Aliments complémentaires,,alc_product_category_data.product_categ_parapharmacie,average
alc_product_category_data.product_categ_ali_dietetique,Diététique,,alc_product_category_data.product_categ_ali,average
alc_product_category_data.product_categ_ali_physio,Physiologique,,alc_product_category_data.product_categ_ali,average
alc_product_category_data.product_categ_ali_divers,Articles divers,,alc_product_category_data.product_categ_ali,average
alc_product_category_data.product_categ_mat_sutures,Sutures en pochette,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_cardio,Anesth-Rea-Cardio-Resp,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_dentisterie,Dentisterie,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_equins,"Mat, pour Equins",,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_rurale,Matériel de Médecine Rurale,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_sav,Main d'œuvre - Service - SAV,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_ortho,Orthopedie,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_sut_bobine,Sutures en bobine,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_equipement,Equipement,,alc_product_category_data.product_categ_materiel,average
alc_product_category_data.product_categ_mat_instrumentation,Instrumentation,,alc_product_category_data.product_categ_materiel,average
