id,esb_ref
alc_product_category_data.product_categ_materiel,MAT
alc_product_food.product_categ_ali,ALI
alc_product_category_data.product_categ_medoc,MED
alc_product_category_data.product_categ_vet_belges,
alc_product_category_data.product_categ_stupefiant_vet,80
alc_product_category_data.product_categ_importation,75
alc_product_category_data.product_categ_humain,15
alc_product_category_data.product_categ_parapharmacie,
alc_product_category_data.product_categ_antimicrobiens,3
alc_product_category_data.product_categ_pis,4
alc_product_category_data.product_categ_oeil_oreille,6
alc_product_category_data.product_categ_antiparasite,7
alc_product_category_data.product_categ_sys_nerveux,9
alc_product_category_data.product_categ_vasculo,10
alc_product_category_data.product_categ_vitamines,11
alc_product_category_data.product_categ_vaccins,12
alc_product_category_data.product_categ_divers_veto,14
alc_product_category_data.product_categ_hormones,23
alc_product_category_data.product_categ_psychotropes_25,30
alc_product_category_data.product_categ_stupefiant,31
alc_product_category_data.product_categ_topiques,44
alc_product_category_data.product_categ_phytosanitaires,18
alc_product_category_data.product_categ_homeo,20
alc_product_category_data.product_categ_chimiques,29
alc_product_category_data.product_categ_divers_para,26
alc_product_category_data.product_categ_ali_comp,
alc_product_category_data.product_categ_ali_dietetique,1
alc_product_category_data.product_categ_ali_physio,2
alc_product_category_data.product_categ_mat_sutures,13
alc_product_category_data.product_categ_mat_cardio,24
alc_product_category_data.product_categ_mat_dentisterie,32
alc_product_category_data.product_categ_mat_equins,35
alc_product_category_data.product_categ_mat_rurale,36
alc_product_category_data.product_categ_mat_ortho,55
alc_product_category_data.product_categ_mat_sut_bobine,56
alc_product_category_data.product_categ_mat_equipement,58
alc_product_category_data.product_categ_mat_instrumentation,59
alc_product_category_data.product_categ_mat_img_echo,60
alc_product_category_data.product_categ_mat_img_radio,61
alc_product_category_data.product_categ_mat_img_endo,63
alc_product_category_data.product_categ_mat_occasion,66
alc_product_category_data.product_categ_mat_conso,68
alc_product_category_data.product_categ_mat_petshop,71
alc_product_category_data.product_categ_undefined,
