id,name,esb_ref
partner_category_veterinary,Vétérinaires avec dépôt,01 - Vétérinaires
partner_category_pharmacy,Pharmaciens et Grossistes humains,02 - Pharmacies
partner_category_callcenter,Grossistes vétérinaires,04 - Pharmaciens répartiteurs
partner_category_customerexport,Clients export,11 - Exportation
partner_category_student,Etudiants et assimilés sans dépôt,20 - Etudiants
partner_category_alcyonaire,Alcyonnaire,21 - Alcyonnaire
partner_category_med_export,Médicament export,22 - Médicament export
partner_category_only_material,Exclusif matériel,23 - Exclusif matériel
partner_category_user,Utilisateurs,97 - Utilisateurs
partner_category_supplier,Fournisseurs,98 - Fournisseurs
