id,itinerary_id/id,sequence,partner_id/id
__demo__.deliveryitineraryposition37_1,__demo__.deliveryitinerary37_4000,1,__import__.customer_251
__demo__.deliveryitineraryposition37_2,__demo__.deliveryitinerary37_4000,2,__import__.customer_8056
__demo__.deliveryitineraryposition37_3,__demo__.deliveryitinerary37_4000,3,__import__.customer_7010
__demo__.deliveryitineraryposition37_4,__demo__.deliveryitinerary37_4000,4,__import__.customer_8378
__demo__.deliveryitineraryposition37_5,__demo__.deliveryitinerary37_4000,5,__import__.customer_8718
__demo__.deliveryitineraryposition37_6,__demo__.deliveryitinerary37_4000,6,__import__.customer_2451
__demo__.deliveryitineraryposition37_7,__demo__.deliveryitinerary37_4000,7,__import__.customer_151
__demo__.deliveryitineraryposition37_8,__demo__.deliveryitinerary37_4000,8,__import__.customer_8392
__demo__.deliveryitineraryposition37_9,__demo__.deliveryitinerary37_4000,9,__import__.customer_8491
__demo__.deliveryitineraryposition37_10,__demo__.deliveryitinerary37_4000,10,__import__.customer_392
__demo__.deliveryitineraryposition37_11,__demo__.deliveryitinerary37_4000,11,__import__.customer_8869
__demo__.deliveryitineraryposition37_12,__demo__.deliveryitinerary37_4000,12,__import__.customer_8710
__demo__.deliveryitineraryposition37_13,__demo__.deliveryitinerary37_4000,13,__import__.customer_8711
__demo__.deliveryitineraryposition37_14,__demo__.deliveryitinerary37_4000,14,__import__.customer_8589
__demo__.deliveryitineraryposition37_15,__demo__.deliveryitinerary37_4000,15,__import__.customer_8599
__demo__.deliveryitineraryposition37_16,__demo__.deliveryitinerary37_4000,16,__import__.customer_5265
__demo__.deliveryitineraryposition37_17,__demo__.deliveryitinerary37_4000,17,__import__.customer_8867
__demo__.deliveryitineraryposition37_18,__demo__.deliveryitinerary37_4000,18,__import__.customer_7721
__demo__.deliveryitineraryposition37_19,__demo__.deliveryitinerary37_4000,19,__import__.customer_8522
__demo__.deliveryitineraryposition37_20,__demo__.deliveryitinerary37_4000,20,__import__.customer_3258
__demo__.deliveryitineraryposition37_21,__demo__.deliveryitinerary37_4000,21,__import__.customer_8530
__demo__.deliveryitineraryposition37_22,__demo__.deliveryitinerary37_4000,22,__import__.customer_5028
__demo__.deliveryitineraryposition37_23,__demo__.deliveryitinerary37_4000,23,__import__.customer_8978
__demo__.deliveryitineraryposition37_24,__demo__.deliveryitinerary37_4000,24,__import__.customer_8979
__demo__.deliveryitineraryposition37_25,__demo__.deliveryitinerary37_4000,25,__import__.customer_3806
__demo__.deliveryitineraryposition37_26,__demo__.deliveryitinerary37_4000,26,__import__.customer_8459
__demo__.deliveryitineraryposition37_27,__demo__.deliveryitinerary37_4000,27,__import__.customer_1129
__demo__.deliveryitineraryposition37_28,__demo__.deliveryitinerary37_4000,28,__import__.customer_313
__demo__.deliveryitineraryposition37_29,__demo__.deliveryitinerary37_4000,29,__import__.customer_7990
__demo__.deliveryitineraryposition37_30,__demo__.deliveryitinerary37_6000,30,__import__.customer_5042
__demo__.deliveryitineraryposition37_31,__demo__.deliveryitinerary37_6000,31,__import__.customer_8048
__demo__.deliveryitineraryposition37_32,__demo__.deliveryitinerary37_6000,32,__import__.customer_6264
__demo__.deliveryitineraryposition37_33,__demo__.deliveryitinerary37_6000,33,__import__.customer_4855
__demo__.deliveryitineraryposition37_34,__demo__.deliveryitinerary37_6000,34,__import__.customer_9012
__demo__.deliveryitineraryposition37_35,__demo__.deliveryitinerary37_6000,35,__import__.customer_8386
__demo__.deliveryitineraryposition37_36,__demo__.deliveryitinerary37_6000,36,__import__.customer_3706
__demo__.deliveryitineraryposition37_37,__demo__.deliveryitinerary37_6000,37,__import__.customer_7961
__demo__.deliveryitineraryposition37_38,__demo__.deliveryitinerary37_6000,38,__import__.customer_8548
__demo__.deliveryitineraryposition37_39,__demo__.deliveryitinerary37_6000,39,__import__.customer_805
__demo__.deliveryitineraryposition37_40,__demo__.deliveryitinerary37_6000,40,__import__.customer_5430
__demo__.deliveryitineraryposition37_41,__demo__.deliveryitinerary37_6000,41,__import__.customer_5094
__demo__.deliveryitineraryposition37_42,__demo__.deliveryitinerary37_6000,42,__import__.customer_5101
