id,name,time_leave_planned,time_picking_planned
__demo__.template1,37 | Zone 4/5/6000,15.00,15.00
__demo__.template2,42 | Zone 5000,11.45,11.45
__demo__.template2b,45 | Zone 7/8/9000,15.02,15.02
__demo__.template3,46 | Zone 6/7000,11.50,11.50
__demo__.template3b,47 | Zone 1/7000,15.02,15.02
__demo__.template4,48 | Zone 5/7000,15.00,15.00
__demo__.template5,55 | Zone 1/3000,11.55,11.55
__demo__.template5b,56 | Zone 1000,15.02,15.02
__demo__.template6,57 | Zone 1/3000,15.50,15.50
__demo__.template7,58 | Zone 1/4/5/6/7000,15.07,15.07
__demo__.template8,59 | Zone 6/7000,7.0,7.0
__demo__.template9,70 | Zone 1/3/4000,7.50,7.50
__demo__.template10,71 | Zone 6000/GDL,8.00,8.00
__demo__.template11,72 | Zone 4000,8.50,8.50
__demo__.template12,73 | Zone 4/5000,9.00,9.00
__demo__.template13,74 | Zone 5/6000,9.50,9.50
__demo__.template14,75 | Zone 4/5000,10.00,10.00
__demo__.template15,76 | Zone 6000,10.50,10.50
__demo__.template16,77 | Zone 1000,10.50,10.50
__demo__.template17,78 | Zone 4/6000,9.00,9.00
__demo__.template18,79 | Zone 1000,9.50,9.50
__demo__.template19,80 | Zone 4000,10.00,10.00
__demo__.template20,81 | Zone 4/6000,10.50,10.50
__demo__.template21,82 | Zone 5000,11.55,11.55
