id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_QCA310,QCA310,33,__import__.location_family_Q,bin,Q,C,A,3,10
__import__.location_loc_AB11A1,AB11A1,03,__import__.location_family_A,bin,A,B,11,A,1
__import__.location_loc_AB16B2,AB16B2,97,__import__.location_family_A,bin,A,B,16,B,2
__import__.location_loc_EXV400,EXV400,,__import__.location_family_E,bin,E,X,V,4,00
__import__.location_loc_QCD110,QCD110,89,__import__.location_family_Q,bin,Q,C,D,1,10
__import__.location_loc_QMA140,QMA140,60,__import__.location_family_Q,bin,Q,M,A,1,40
__import__.location_loc_GGH305,GGH305,75,__import__.location_family_G,bin,G,G,H,3,05
__import__.location_loc_GBT515,GBT515,52,__import__.location_family_G,bin,G,B,T,5,15
__import__.location_loc_GBX515,GBX515,37,__import__.location_family_G,bin,G,B,X,5,15
__import__.location_loc_GC24D3,GC24D3,51,__import__.location_family_G,bin,G,C,2,4,D3
__import__.location_loc_GF17B4,GF17B4,48,__import__.location_family_G,bin,G,F,1,7,B4
__import__.location_loc_QNA130,QNA130,57,__import__.location_family_Q,bin,Q,N,A,1,30
__import__.location_loc_QNA120,QNA120,12,__import__.location_family_Q,bin,Q,N,A,1,20
__import__.location_loc_GBC403,GBC403,52,__import__.location_family_G,bin,G,B,C,4,03
__import__.location_loc_AH01A1,AH01A1,10,__import__.location_family_A,bin,A,H,01,A,1
__import__.location_loc_GBA305,GBA305,26,__import__.location_family_G,bin,G,B,A,3,05
__import__.location_loc_GK13A3,GK13A3,03,__import__.location_family_G,bin,G,K,1,3,A3
__import__.location_loc_GC21C1,GC21C1,44,__import__.location_family_G,bin,G,C,2,1,C1
__import__.location_loc_GC28D1,GC28D1,67,__import__.location_family_G,bin,G,C,2,8,D1
__import__.location_loc_GI05A1,GI05A1,32,__import__.location_family_G,bin,G,I,0,5,A1
__import__.location_loc_GBA501,GBA501,84,__import__.location_family_G,bin,G,B,A,5,01
__import__.location_loc_GL14B6,GL14B6,57,__import__.location_family_G,bin,G,L,1,4,B6
__import__.location_loc_GE22B2,GE22B2,59,__import__.location_family_G,bin,G,E,2,2,B2
__import__.location_loc_QAB410,QAB410,21,__import__.location_family_Q,bin,Q,A,B,4,10
__import__.location_loc_GBK101,GBK101,14,__import__.location_family_G,bin,G,B,K,1,01
__import__.location_loc_GE24A2,GE24A2,22,__import__.location_family_G,bin,G,E,2,4,A2
__import__.location_loc_GI03B2,GI03B2,35,__import__.location_family_G,bin,G,I,0,3,B2
__import__.location_loc_GBK305,GBK305,12,__import__.location_family_G,bin,G,B,K,3,05
__import__.location_loc_GC22C2,GC22C2,34,__import__.location_family_G,bin,G,C,2,2,C2
__import__.location_loc_GC26A3,GC26A3,14,__import__.location_family_G,bin,G,C,2,6,A3
__import__.location_loc_AD01A3,AD01A3,31,__import__.location_family_A,bin,A,D,01,A,3
__import__.location_loc_GBM209,GBM209,48,__import__.location_family_G,bin,G,B,M,2,09
__import__.location_loc_GBG401,GBG401,58,__import__.location_family_G,bin,G,B,G,4,01
__import__.location_loc_GBS405,GBS405,44,__import__.location_family_G,bin,G,B,S,4,05
__import__.location_loc_GD12B3,GD12B3,40,__import__.location_family_G,bin,G,D,1,2,B3
__import__.location_loc_AC03A3,AC03A3,14,__import__.location_family_A,bin,A,C,03,A,3
__import__.location_loc_AD08A1,AD08A1,66,__import__.location_family_A,bin,A,D,08,A,1
__import__.location_loc_AHE110,AHE110,66,__import__.location_family_A,bin,A,H,E1,1,0
__import__.location_loc_GBO202,GBO202,89,__import__.location_family_G,bin,G,B,O,2,02
__import__.location_loc_AE05A4,AE05A4,36,__import__.location_family_A,bin,A,E,05,A,4
__import__.location_loc_AA09A3,AA09A3,25,__import__.location_family_A,bin,A,A,09,A,3
__import__.location_loc_AA01A3,AA01A3,39,__import__.location_family_A,bin,A,A,01,A,3
__import__.location_loc_AEA140,AEA140,39,__import__.location_family_A,bin,A,E,A1,4,0
__import__.location_loc_GBD309,GBD309,82,__import__.location_family_G,bin,G,B,D,3,09
__import__.location_loc_GL07A2,GL07A2,30,__import__.location_family_G,bin,G,L,0,7,A2
__import__.location_loc_QAB210,QAB210,76,__import__.location_family_Q,bin,Q,A,B,2,10
__import__.location_loc_EXV300,EXV300,,__import__.location_family_E,bin,E,X,V,3,00
__import__.location_loc_GAK210,GAK210,62,__import__.location_family_G,bin,G,A,K,2,10
__import__.location_loc_AB13A2,AB13A2,34,__import__.location_family_A,bin,A,B,13,A,2
__import__.location_loc_AFE110,AFE110,34,__import__.location_family_A,bin,A,F,E1,1,0
__import__.location_loc_AC10B1,AC10B1,17,__import__.location_family_A,bin,A,C,10,B,1
__import__.location_loc_ADE140,ADE140,17,__import__.location_family_A,bin,A,D,E1,4,0
__import__.location_loc_AD18B5,AD18B5,06,__import__.location_family_A,bin,A,D,18,B,5
__import__.location_loc_GBV404,GBV404,01,__import__.location_family_G,bin,G,B,V,4,04
__import__.location_loc_GGH108,GGH108,23,__import__.location_family_G,bin,G,G,H,1,08
__import__.location_loc_AC13B2,AC13B2,04,__import__.location_family_A,bin,A,C,13,B,2
__import__.location_loc_GC13G8,GC13G8,69,__import__.location_family_G,bin,G,C,1,3,G8
__import__.location_loc_GGE501,GGE501,83,__import__.location_family_G,bin,G,G,E,5,01
__import__.location_loc_AD15A1,AD15A1,80,__import__.location_family_A,bin,A,D,15,A,1
__import__.location_loc_AD11B5,AD11B5,49,__import__.location_family_A,bin,A,D,11,B,5
__import__.location_loc_AH02B6,AH02B6,18,__import__.location_family_A,bin,A,H,02,B,6
__import__.location_loc_GC15B2,GC15B2,28,__import__.location_family_G,bin,G,C,1,5,B2
__import__.location_loc_GBM105,GBM105,67,__import__.location_family_G,bin,G,B,M,1,05
__import__.location_loc_AD02B4,AD02B4,28,__import__.location_family_A,bin,A,D,02,B,4
__import__.location_loc_GBX509,GBX509,54,__import__.location_family_G,bin,G,B,X,5,09
__import__.location_loc_GGH507,GGH507,33,__import__.location_family_G,bin,G,G,H,5,07
__import__.location_loc_GGH509,GGH509,41,__import__.location_family_G,bin,G,G,H,5,09
__import__.location_loc_GGE101,GGE101,53,__import__.location_family_G,bin,G,G,E,1,01
__import__.location_loc_GGB401,GGB401,80,__import__.location_family_G,bin,G,G,B,4,01
__import__.location_loc_GAD515,GAD515,13,__import__.location_family_G,bin,G,A,D,5,15
__import__.location_loc_GGU103,GGU103,70,__import__.location_family_G,bin,G,G,U,1,03
__import__.location_loc_GBH201,GBH201,71,__import__.location_family_G,bin,G,B,H,2,01
__import__.location_loc_AG04B3,AG04B3,16,__import__.location_family_A,bin,A,G,04,B,3
__import__.location_loc_GBD307,GBD307,57,__import__.location_family_G,bin,G,B,D,3,07
__import__.location_loc_GBC504,GBC504,73,__import__.location_family_G,bin,G,B,C,5,04
__import__.location_loc_AI12B2,AI12B2,07,__import__.location_family_A,bin,A,I,12,B,2
__import__.location_loc_GBN104,GBN104,45,__import__.location_family_G,bin,G,B,N,1,04
__import__.location_loc_AA06B4,AA06B4,08,__import__.location_family_A,bin,A,A,06,B,4
__import__.location_loc_AA10B1,AA10B1,04,__import__.location_family_A,bin,A,A,10,B,1
__import__.location_loc_AI17C5,AI17C5,75,__import__.location_family_A,bin,A,I,17,C,5
__import__.location_loc_GGL103,GGL103,93,__import__.location_family_G,bin,G,G,L,1,03
__import__.location_loc_AK05A2,AK05A2,14,__import__.location_family_A,bin,A,K,05,A,2
__import__.location_loc_GBU103,GBU103,53,__import__.location_family_G,bin,G,B,U,1,03
__import__.location_loc_GBG113,GBG113,81,__import__.location_family_G,bin,G,B,G,1,13
__import__.location_loc_AA09A2,AA09A2,41,__import__.location_family_A,bin,A,A,09,A,2
