id,name,location_id/id,bin_checksum
__init.stock_location_G,G,__init.stock_location_medoc,
__init.stock_location_GAA11094,GAA110,__init.stock_location_G,94
__init.stock_location_GAA21033,GAA210,__init.stock_location_G,33
__init.stock_location_GAA22023,GAA220,__init.stock_location_G,23
__init.stock_location_GAB11097,GAB110,__init.stock_location_G,97
__init.stock_location_GAB12087,GAB120,__init.stock_location_G,87
__init.stock_location_GAB20000,GAB200,__init.stock_location_G,00
__init.stock_location_GAB21003,GAB210,__init.stock_location_G,03
__init.stock_location_GAB22033,GAB220,__init.stock_location_G,33
__init.stock_location_GAB23048,GAB230,__init.stock_location_G,48
__init.stock_location_GAB30081,GAB300,__init.stock_location_G,81
__init.stock_location_GAB31024,GAB310,__init.stock_location_G,24
__init.stock_location_GAB32070,GAB320,__init.stock_location_G,70
__init.stock_location_GAB40086,GAB400,__init.stock_location_G,86
__init.stock_location_GAB41067,GAB410,__init.stock_location_G,67
__init.stock_location_GAB42071,GAB420,__init.stock_location_G,71
__init.stock_location_GAB50066,GAB500,__init.stock_location_G,66
__init.stock_location_GAC10025,GAC100,__init.stock_location_G,25
__init.stock_location_GAC11066,GAC110,__init.stock_location_G,66
__init.stock_location_GAC12008,GAC120,__init.stock_location_G,08
__init.stock_location_GAC13015,GAC130,__init.stock_location_G,15
__init.stock_location_GAC20077,GAC200,__init.stock_location_G,77
__init.stock_location_GAC21083,GAC210,__init.stock_location_G,83
__init.stock_location_GAC22063,GAC220,__init.stock_location_G,63
__init.stock_location_GAC23011,GAC230,__init.stock_location_G,11
__init.stock_location_GAC25085,GAC250,__init.stock_location_G,85
__init.stock_location_GAC30012,GAC300,__init.stock_location_G,12
__init.stock_location_GAC32057,GAC320,__init.stock_location_G,57
__init.stock_location_GAC34020,GAC340,__init.stock_location_G,20
__init.stock_location_GAC35057,GAC350,__init.stock_location_G,57
__init.stock_location_GAC36066,GAC360,__init.stock_location_G,66
__init.stock_location_GAC41008,GAC410,__init.stock_location_G,08
__init.stock_location_GAC42064,GAC420,__init.stock_location_G,64
__init.stock_location_GAC44046,GAC440,__init.stock_location_G,46
__init.stock_location_GAC45035,GAC450,__init.stock_location_G,35
