id,name,location_id/id,barcode_picking_type_id/id,kind
__setup__.stock_location_PA_U01,U01,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U02,U02,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U03,U03,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U04,U04,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U05,U05,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U06,U06,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U07,U07,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U08,U08,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U09,U09,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T01,T01,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T02,T02,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T03,T03,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T04,T04,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T05,T05,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T06,T06,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T07,T07,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T08,T08,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T09,T09,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
