id;type;default_code;name;categ_id;route_ids/id;weight;tracking
test_product_1289586;product;1289586;SULFASIL CREME 50GR;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_4007223;product;4007223;VCN CAT NEUTERED SATIETY BALANCE 3,5KG;Aliments;purchase.route_warehouse0_buy;3.6;lot
test_product_8008521;product;8008521;ACIER USP2/0 EP3 23T1/2 F2709;Matériel;purchase.route_warehouse0_buy;4;lot
test_product_1699503;product;1699503;VOLUVEN 6% 500ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8008314;product;8008314;AGRAFE DE MICHEL 7,5mmx100;Matériel;purchase.route_warehouse0_buy;8;lot
test_product_3061991;product;3061991;VOLTAREN EMULGEL FORTE 2% 100GR;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8235228;product;8235228;TUNIQUE MADRID;Matériel;purchase.route_warehouse0_buy;;lot
test_product_2937779;product;2937779;SYNOCROM FORTE 2ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8235234;product;8235234;TUNIQUE MADRID;Matériel;purchase.route_warehouse0_buy;;lot
test_product_2973279;product;2973279;TALC 5KG;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_2591493;product;2591493;RIOPAN 800MG 50 SACHETS;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5326220;product;5326220;BLOUSE CHEROKEE 2 POCHES CHIEN/CHAT S;Matériel;purchase.route_warehouse0_buy;0;lot
test_product_3019239;product;3019239;SILDENAFIL EG 50MG 12CP;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5326222;product;5326222;BLOUSE CHEROKEE 2 POCHES CHIEN/CHAT M;Matériel;purchase.route_warehouse0_buy;0;lot
test_product_2437093;product;2437093;SMOFLIPIDE 200MG/ML 250ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5326223;product;5326223;BLOUSE CHEROKEE 2 POCHES CHIEN/CHAT L;Matériel;purchase.route_warehouse0_buy;0;lot
test_product_82982;product;82982;SPAGULAX M 700GR;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8234832;product;8234832;TUNIQUE MADRID;Matériel;purchase.route_warehouse0_buy;;lot
test_product_15040;product;15040;TORENTAL 400MG 60CP;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8234849;product;8234849;TUNIQUE MADRID;Matériel;purchase.route_warehouse0_buy;;lot
test_product_1185685;product;1185685;PNEUMO 23 SERINGUE;Médicaments;purchase.route_warehouse0_buy;;lot
test_product_5270214;product;5270214;TROVET NVD CHIEN 12,5KG;Aliments;purchase.route_warehouse0_buy;12.5;lot
test_product_6888469;product;6888469;ACADREX 60 1L;Médicaments;purchase.route_warehouse0_buy;1.01;lot
test_product_90936;product;90936;UROPYRINE 100MG 30CP;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_7415302;product;7415302;ACICLOVIR 100GR;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_94672;product;94672;VENTOLIN SIROP 150ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_7415304;product;7415304;ACIDE FOLIQUE 25GR;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1283415;product;1283415;SEVORANE QUICKFIL 250ML (sevoflurane);Médicaments;purchase.route_warehouse0_buy;;lot
test_product_2098051;product;2098051;ACIDE TRICHLORACETIQUE 250gr;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1446764;product;1446764;VINCRISTINE 1MG/ML 1FLACON;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_6730403;product;6730403;ACTILIVER I SOL INJ 100ml;Médicaments;purchase.route_warehouse0_buy;0.21;lot
test_product_2179497;product;2179497;URI-CRAN CONFORT 60CP 500MG;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1784099;product;1784099;TRAMADOL 60x100MG;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8072387;product;8072387;ADEFIX MEMO PRIMER ADHESION;Matériel;purchase.route_warehouse0_buy;115;lot
test_product_2214906;product;2214906;TRADONAL ODIS 30x50MG;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8071287;product;8071287;AFFILOIR DIAMANT MV;Matériel;purchase.route_warehouse0_buy;0.04;lot
test_product_2881803;product;2881803;THIOBARBITAL BRAUN 1GR POUDRE INJ 1AMP;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8051416;product;8051416;AGRAFEUSE VISISTAT LARGE 35 AGRAFES;Matériel;purchase.route_warehouse0_buy;0.08;lot
test_product_2918910;product;2918910;URICRAN 120CP;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8430094;product;8430094;AGRAFEUSE VISISTAT STANDARD 35 AGRAFES;Matériel;purchase.route_warehouse0_buy;0.08;lot
test_product_1750132;product;1750132;AACIDEXAM 5MG 1ML 1AMP;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8000146;product;8000146;AIGUILLE BD 22Gx1 1/4 noir (100);Matériel;purchase.route_warehouse0_buy;0.12;lot
test_product_5090297;product;5090297;BUPRENODALE 0,3MG/ml 10ml VET;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8000123;product;8000123;AIGUILLE BD 22Gx1 noir (100);Matériel;purchase.route_warehouse0_buy;0.11;lot
test_product_5162633;product;5162633;ZIAPAM 5mg/ml 6amp 2ml VET;Médicaments;purchase.route_warehouse0_buy;0.2;lot
test_product_8000040;product;8000040;AIGUILLE BD 23Gx1 1/4 bleu (100);Matériel;purchase.route_warehouse0_buy;0.12;lot
test_product_459008;product;459008;ABROPERNOL 50CP HEEL;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8000169;product;8000169;AIGUILLE BD 25Gx5/8 orange (100);Matériel;purchase.route_warehouse0_buy;0.11;lot
test_product_1275460;product;1275460;ACATAR SIROP 200ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8030791;product;8030791;AIGUILLE BIO MOELLE JAMSHIDI 2,4x89mm;Matériel;purchase.route_warehouse0_buy;38;lot
test_product_600189;product;600189;ACETYLCYSTEINE EG 200MG 30GEL;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8030816;product;8030816;AIGUILLE BIO MOELLE JAMSHIDI 3,2x101,5mm;Matériel;purchase.route_warehouse0_buy;41;lot
test_product_1286277;product;1286277;ACETYLCYSTEINE EG 600MG 30SACHETS;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8030822;product;8030822;AIGUILLE BIO MOELLE JAMSHIDI 4x101,5mm;Matériel;purchase.route_warehouse0_buy;48;lot
test_product_1679000;product;1679000;ACICLOVIR BEXAL 35CP 800MG;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8035392;product;8035392;AIGUILLE BIOPSIE MOELLE 1,6mm REGLABLE;Matériel;purchase.route_warehouse0_buy;36;lot
test_product_164459;product;164459;ACIDE ACETYLSALICYLIQUE 500MG 1000CP;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5430809;product;5430809;WOUNDWASH 6x45ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5438805;product;5438805;VETCIDE 500ml DESINFECTANT;Médicaments;purchase.route_warehouse0_buy;0.52;lot
test_product_1786151;product;1786151;ACIDUM LACTICUM INJEEL FORTE 10amp 1,1ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1001510;product;1001510;ACNERYNE 4% gel 30gr;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5461298;product;5461298;COMPLETE RAT  500gr;Aliments;purchase.route_warehouse0_buy;0.5;lot
test_product_8025330;product;8025330;AIGUILLON VILLETTE 9V SS PILE 6000 V;Matériel;purchase.route_warehouse0_buy;0.36;lot
test_product_16501;product;16501;ACTAPULGITE 30 SACH 3GR;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8033068;product;8033068;AIGUISEUR COUTEAU MV;Matériel;purchase.route_warehouse0_buy;81;lot
test_product_125427;product;125427;ACTIFED 30CP;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8026921;product;8026921;AIMANT CAGE BOVIVET BOVIN;Matériel;purchase.route_warehouse0_buy;1.26;lot
test_product_842047;product;842047;ACTIFED NEW SIROP 180 ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8026996;product;8026996;AIMANT NU /12;Matériel;purchase.route_warehouse0_buy;1.07;lot
test_product_1198837;product;1198837;ACULARE 5MG/ML 10ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_6823501;product;6823501;ALARM COLLYRE 10ml;Médicaments;purchase.route_warehouse0_buy;0.02;lot
test_product_1375138;product;1375138;AD-CURE SOL 10ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_4970044;product;4970044;URINARY CHIEN S/O POUCH 10x150GR;Aliments;purchase.route_warehouse0_buy;1.5;lot
test_product_8007148;product;8007148;ALGOPLAQUE PANSEMENT 10x10cm (16);Matériel;purchase.route_warehouse0_buy;0.24;lot
test_product_1380112;product;1380112;ADEQUAD GOUTTES OCULAIRES 10ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8007154;product;8007154;ALGOPLAQUE PATE 30gr;Matériel;purchase.route_warehouse0_buy;0.04;lot
test_product_1781509;product;1781509;ADERMA EXOMEGA CREME 100ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_7764039;product;7764039;ALLERPHYT 150GR;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1799881;product;1799881;ADERMA EXOMEGA HUILE DOUCHE 500ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8270548;product;8270548;AMINOLITE 3KG EQUISTRO;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_2335842;product;2335842;ADERMA GEL MOUSSANT SURGRAS 750ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1238082;product;1238082;JACK RUSSEL JUNIOR 1,5KG;Aliments;purchase.route_warehouse0_buy;1.5;lot
test_product_16261;product;16261;ADRIBLASTINA RD 5 AMP 10MG;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_251454;product;251454;ADRIBLASTINE RTU CS 50MG 25ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1075316;product;1075316;ADVANTAN CREME 15GR;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_444240;product;444240;ANETHOL ESSENCE 100ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1635879;product;1635879;AERIUS 30CP 5MG;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5903001;product;5903001;EDHYA KIT GASTRIQUE;Médicaments;purchase.route_warehouse0_buy;1.14;lot
test_product_8025407;product;8025407;ANNEAU ANTI TETE LEGEARD ADULTE 60B /2;Matériel;purchase.route_warehouse0_buy;252;lot
test_product_100685;product;100685;AFEBRYL 16COMP EFERVESCENTS;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8025413;product;8025413;ANNEAU ANTI TETE LEGEARD après 9mois x5;Matériel;purchase.route_warehouse0_buy;0.44;lot
test_product_18028;product;18028;ALBICORT 10 5ML 10MG/ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_6894725;product;6894725;APRALAN POUDRE ORALE 50x2gr;Médicaments;purchase.route_warehouse0_buy;0.1;lot
test_product_471201;product;471201;ALCOOL CAMPHRE 1L;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8110679;product;8110679;ARA 3000 BETA CHIEN  6 x5ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_75705;product;75705;ALCOOL DE MENTHE 100ML RICLES;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_8110685;product;8110685;ARA 3000 BETA CHIEN  6x10ML;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_1511906;product;1511906;ALCOOL ISOPROPYLIQUE 1L;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_2271179;product;2271179;ARK-VITS 50GR VETARK;Médicaments;purchase.route_warehouse0_buy;0.08;lot
test_product_1511907;product;1511907;ALCOOL ISOPROPYLIQUE 5L;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_2176238;product;2176238;SEBIUM GEL MOUSSANT 200ml;Médicaments;purchase.route_warehouse0_buy;0;lot
test_product_5100980;product;5100980;ASPIRATEUR CHIRURGICAL 80L/MIN 2x4L;Matériel;purchase.route_warehouse0_buy;0;lot
test_product_5100920;product;5100920;ASPIRATEUR CHIRURGICAL PORTABLE;Matériel;purchase.route_warehouse0_buy;0;lot
test_product_8055029;product;8055029;ASPIRATEUR POLIVAC 2L;Matériel;purchase.route_warehouse0_buy;1164;lot
