pricelist_id/id,fixed_price,product_tmpl_id/id,compute_price,applied_on,id
scenario.product_pricelist_pb1,0,scenario.product_0000001_product_template,fixed,1_product,scenario.pricelist_item_product_0000001_pb1
scenario.product_pricelist_pb2,0,scenario.product_0000001_product_template,fixed,1_product,scenario.pricelist_item_product_0000001_pb2
scenario.product_pricelist_pb1,0,scenario.product_0000002_product_template,fixed,1_product,scenario.pricelist_item_product_0000002_pb1
scenario.product_pricelist_pb2,0,scenario.product_0000002_product_template,fixed,1_product,scenario.pricelist_item_product_0000002_pb2
scenario.product_pricelist_pb1,0,scenario.product_0000003_product_template,fixed,1_product,scenario.pricelist_item_product_0000003_pb1
scenario.product_pricelist_pb2,0,scenario.product_0000003_product_template,fixed,1_product,scenario.pricelist_item_product_0000003_pb2
scenario.product_pricelist_pb1,0,scenario.product_0000005_product_template,fixed,1_product,scenario.pricelist_item_product_0000005_pb1
scenario.product_pricelist_pb2,0,scenario.product_0000005_product_template,fixed,1_product,scenario.pricelist_item_product_0000005_pb2
scenario.product_pricelist_pb1,0,scenario.product_0000008_product_template,fixed,1_product,scenario.pricelist_item_product_0000008_pb1
scenario.product_pricelist_pb2,0,scenario.product_0000008_product_template,fixed,1_product,scenario.pricelist_item_product_0000008_pb2
scenario.product_pricelist_pb1,0,scenario.product_0000009_product_template,fixed,1_product,scenario.pricelist_item_product_0000009_pb1
scenario.product_pricelist_pb2,0,scenario.product_0000009_product_template,fixed,1_product,scenario.pricelist_item_product_0000009_pb2
scenario.product_pricelist_pb1,0.46,scenario.product_0011001_product_template,fixed,1_product,scenario.pricelist_item_product_0011001_pb1
scenario.product_pricelist_pb2,0.46,scenario.product_0011001_product_template,fixed,1_product,scenario.pricelist_item_product_0011001_pb2
scenario.product_pricelist_pb1,12.77,scenario.product_0011002_product_template,fixed,1_product,scenario.pricelist_item_product_0011002_pb1
scenario.product_pricelist_pb2,12.77,scenario.product_0011002_product_template,fixed,1_product,scenario.pricelist_item_product_0011002_pb2
scenario.product_pricelist_pb1,0,scenario.product_0012138_product_template,fixed,1_product,scenario.pricelist_item_product_0012138_pb1
scenario.product_pricelist_pb2,0,scenario.product_0012138_product_template,fixed,1_product,scenario.pricelist_item_product_0012138_pb2
scenario.product_pricelist_pb1,0,scenario.product_0012146_product_template,fixed,1_product,scenario.pricelist_item_product_0012146_pb1
scenario.product_pricelist_pb2,0,scenario.product_0012146_product_template,fixed,1_product,scenario.pricelist_item_product_0012146_pb2
scenario.product_pricelist_pb1,0,scenario.product_0012641_product_template,fixed,1_product,scenario.pricelist_item_product_0012641_pb1
scenario.product_pricelist_pb2,0,scenario.product_0012641_product_template,fixed,1_product,scenario.pricelist_item_product_0012641_pb2
scenario.product_pricelist_pb1,0,scenario.product_0012872_product_template,fixed,1_product,scenario.pricelist_item_product_0012872_pb1
scenario.product_pricelist_pb2,0,scenario.product_0012872_product_template,fixed,1_product,scenario.pricelist_item_product_0012872_pb2
scenario.product_pricelist_pb1,0,scenario.product_0012930_product_template,fixed,1_product,scenario.pricelist_item_product_0012930_pb1
scenario.product_pricelist_pb2,0,scenario.product_0012930_product_template,fixed,1_product,scenario.pricelist_item_product_0012930_pb2
scenario.product_pricelist_pb1,0,scenario.product_0013992_product_template,fixed,1_product,scenario.pricelist_item_product_0013992_pb1
scenario.product_pricelist_pb2,0,scenario.product_0013992_product_template,fixed,1_product,scenario.pricelist_item_product_0013992_pb2
scenario.product_pricelist_pb1,0,scenario.product_0014258_product_template,fixed,1_product,scenario.pricelist_item_product_0014258_pb1
scenario.product_pricelist_pb2,0,scenario.product_0014258_product_template,fixed,1_product,scenario.pricelist_item_product_0014258_pb2
scenario.product_pricelist_pb1,2.57,scenario.product_0014290_product_template,fixed,1_product,scenario.pricelist_item_product_0014290_pb1
scenario.product_pricelist_pb2,2.57,scenario.product_0014290_product_template,fixed,1_product,scenario.pricelist_item_product_0014290_pb2
scenario.product_pricelist_pb1,0,scenario.product_0014738_product_template,fixed,1_product,scenario.pricelist_item_product_0014738_pb1
scenario.product_pricelist_pb2,0,scenario.product_0014738_product_template,fixed,1_product,scenario.pricelist_item_product_0014738_pb2
scenario.product_pricelist_pb1,0,scenario.product_0014845_product_template,fixed,1_product,scenario.pricelist_item_product_0014845_pb1
scenario.product_pricelist_pb2,0,scenario.product_0014845_product_template,fixed,1_product,scenario.pricelist_item_product_0014845_pb2
scenario.product_pricelist_pb1,0,scenario.product_0015032_product_template,fixed,1_product,scenario.pricelist_item_product_0015032_pb1
scenario.product_pricelist_pb2,0,scenario.product_0015032_product_template,fixed,1_product,scenario.pricelist_item_product_0015032_pb2
scenario.product_pricelist_pb1,0,scenario.product_0015040_product_template,fixed,1_product,scenario.pricelist_item_product_0015040_pb1
scenario.product_pricelist_pb2,0,scenario.product_0015040_product_template,fixed,1_product,scenario.pricelist_item_product_0015040_pb2
scenario.product_pricelist_pb1,0,scenario.product_0015073_product_template,fixed,1_product,scenario.pricelist_item_product_0015073_pb1
scenario.product_pricelist_pb2,0,scenario.product_0015073_product_template,fixed,1_product,scenario.pricelist_item_product_0015073_pb2
scenario.product_pricelist_pb1,8.50,scenario.product_0015305_product_template,fixed,1_product,scenario.pricelist_item_product_0015305_pb1
scenario.product_pricelist_pb2,8.50,scenario.product_0015305_product_template,fixed,1_product,scenario.pricelist_item_product_0015305_pb2
scenario.product_pricelist_pb1,0,scenario.product_0015735_product_template,fixed,1_product,scenario.pricelist_item_product_0015735_pb1
scenario.product_pricelist_pb2,0,scenario.product_0015735_product_template,fixed,1_product,scenario.pricelist_item_product_0015735_pb2
scenario.product_pricelist_pb1,0,scenario.product_0016261_product_template,fixed,1_product,scenario.pricelist_item_product_0016261_pb1
scenario.product_pricelist_pb2,0,scenario.product_0016261_product_template,fixed,1_product,scenario.pricelist_item_product_0016261_pb2
scenario.product_pricelist_pb1,0,scenario.product_0016501_product_template,fixed,1_product,scenario.pricelist_item_product_0016501_pb1
scenario.product_pricelist_pb2,0,scenario.product_0016501_product_template,fixed,1_product,scenario.pricelist_item_product_0016501_pb2
scenario.product_pricelist_pb1,0,scenario.product_0016832_product_template,fixed,1_product,scenario.pricelist_item_product_0016832_pb1
scenario.product_pricelist_pb2,0,scenario.product_0016832_product_template,fixed,1_product,scenario.pricelist_item_product_0016832_pb2
scenario.product_pricelist_pb1,0,scenario.product_0017301_product_template,fixed,1_product,scenario.pricelist_item_product_0017301_pb1
scenario.product_pricelist_pb2,0,scenario.product_0017301_product_template,fixed,1_product,scenario.pricelist_item_product_0017301_pb2
scenario.product_pricelist_pb1,0,scenario.product_0017566_product_template,fixed,1_product,scenario.pricelist_item_product_0017566_pb1
scenario.product_pricelist_pb2,0,scenario.product_0017566_product_template,fixed,1_product,scenario.pricelist_item_product_0017566_pb2
scenario.product_pricelist_pb1,0,scenario.product_0018028_product_template,fixed,1_product,scenario.pricelist_item_product_0018028_pb1
scenario.product_pricelist_pb2,0,scenario.product_0018028_product_template,fixed,1_product,scenario.pricelist_item_product_0018028_pb2
scenario.product_pricelist_pb1,0,scenario.product_0018234_product_template,fixed,1_product,scenario.pricelist_item_product_0018234_pb1
scenario.product_pricelist_pb2,0,scenario.product_0018234_product_template,fixed,1_product,scenario.pricelist_item_product_0018234_pb2
scenario.product_pricelist_pb1,0,scenario.product_0018507_product_template,fixed,1_product,scenario.pricelist_item_product_0018507_pb1
scenario.product_pricelist_pb2,0,scenario.product_0018507_product_template,fixed,1_product,scenario.pricelist_item_product_0018507_pb2
