id,default_code,list_price,sale_delay,weight,uom_po_id/id,uom_id/id,medical_device,tracking,taxes_id/id,supplier_taxes_id/id,categ_id/id,route_ids/id,active,name,price_category_id/id
__import__.product_0029132,0029132,17.38,0,0.210,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_vitamines,purchase.route_warehouse0_buy,True,CATOSAL 100ML,
__import__.product_0037028,0037028,6.39,0,0.140,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_topiques,purchase.route_warehouse0_buy,True,DOG-ECZEMA 100GR,
__import__.product_0037820,0037820,0,0,0,product.product_uom_unit,product.product_uom_unit,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_humain,purchase.route_warehouse0_buy,True,"DURATEARS UNG OPHT 3,5GR",__setup__.product_price_category_gma
__import__.product_0045666,0045666,87.11,0,0.420,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_pis,purchase.route_warehouse0_buy,True,PATHOZONE SER 10X10ML,
__import__.product_0061887,0061887,22.44,0,0.230,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_sys_nerveux,purchase.route_warehouse0_buy,True,VETALGIN NOVALGINE 100ML,
__import__.product_0071514,0071514,6.79,0,0.340,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__temp__.product_categ_undefined,purchase.route_warehouse0_buy,True,"FLUBENOL KH 7,5ML",
__import__.product_0079327,0079327,9.62,0,0.290,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_divers_veto,purchase.route_warehouse0_buy,True,SEDOCHOL-B15 500ML,
__import__.product_0085456,0085456,25.82,0,0.500,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_sys_nerveux,purchase.route_warehouse0_buy,True,T61 50ML,
__import__.product_0095695,0095695,24.43,0,0.220,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_antimicrobiens,purchase.route_warehouse0_buy,True,DUPHACYCLINE 20% L.A. 250ML,
__import__.product_0112573,0112573,10.41,0,0.060,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_vasculo,purchase.route_warehouse0_buy,True,DIMAZON  10ML,
__import__.product_0117572,0117572,0,0,0,product.product_uom_unit,product.product_uom_unit,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_humain,purchase.route_warehouse0_buy,True,LASIX 50CP 40MG,__setup__.product_price_category_gma
__import__.product_0118703,0118703,0,0,0,product.product_uom_unit,product.product_uom_unit,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_humain,purchase.route_warehouse0_buy,True,LANITOP 50CP,__setup__.product_price_category_gma
__import__.product_0119198,0119198,0,0,0,product.product_uom_unit,product.product_uom_unit,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_humain,purchase.route_warehouse0_buy,False,"MAXITROL UNG OPHT 3,5gr",__setup__.product_price_category_gma
__import__.product_0125732,0125732,8.49,0,0.070,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__temp__.product_categ_undefined,purchase.route_warehouse0_buy,True,PANACUR PATE 24GR,
__import__.product_0136465,0136465,9.11,0,0.210,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_vitamines,purchase.route_warehouse0_buy,True,ETOSOL SE 100 ML,
__import__.product_0136945,0136945,4.78,0,0.580,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_vasculo,purchase.route_warehouse0_buy,True,PARPUMAG FORTE,
__import__.product_0253336,0253336,0,0,0,product.product_uom_unit,product.product_uom_unit,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_humain,purchase.route_warehouse0_buy,True,XYLOCAINE SPRAY 50ML,__setup__.product_price_category_gma
__import__.product_0254680,0254680,10.51,0,0.290,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,__setup__.product_categ_divers_para,purchase.route_warehouse0_buy,True,SEBOCALM 250ML,
__import__.product_0289009,0289009,33.89,0,0.460,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__temp__.product_categ_undefined,purchase.route_warehouse0_buy,True,FLUKIVER 250ML,
__import__.product_0296442,0296442,15.73,0,0.070,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_antimicrobiens,purchase.route_warehouse0_buy,True,ANTIROBE  25MG 80 GELULES,
__import__.product_0296459,0296459,30.39,0,0.070,product.product_uom_unit,product.product_uom_unit,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,__setup__.product_categ_antimicrobiens,purchase.route_warehouse0_buy,True,ANTIROBE  75MG 80 GELULES,
