id,name,active,category_id/id
product.product_uom_cm,,FALSE,product.uom_categ_length
product.product_uom_dozen,,FALSE,product.product_uom_categ_unit
product.product_uom_floz,,FALSE,product.product_uom_categ_vol
product.product_uom_gram,,FALSE,product.product_uom_categ_kgm
product.product_uom_gal,,FALSE,product.product_uom_categ_vol
product.product_uom_hour,,FALSE,product.uom_categ_wtime
product.product_uom_day,,FALSE,product.uom_categ_wtime
product.product_uom_kgm,,FALSE,product.product_uom_categ_kgm
product.product_uom_km,,FALSE,product.uom_categ_length
product.product_uom_lb,,FALSE,product.product_uom_categ_kgm
product.product_uom_litre,,FALSE,product.product_uom_categ_vol
product.product_uom_mile,,FALSE,product.uom_categ_length
product.product_uom_oz,,FALSE,product.product_uom_categ_kgm
product.product_uom_foot,,FALSE,product.uom_categ_length
product.product_uom_inch,,FALSE,product.uom_categ_length
product.product_uom_qt,,FALSE,product.product_uom_categ_vol
product.product_uom_ton,,FALSE,product.product_uom_categ_kgm
product.product_uom_meter,mètre,TRUE,product.uom_categ_length
product.product_uom_unit,pièce,TRUE,product.product_uom_categ_unit
scenario.product_uom_sac,sac,TRUE,product.product_uom_categ_unit
scenario.product_uom_boite,boîte,TRUE,product.product_uom_categ_unit
scenario.product_uom_blister,blister,TRUE,product.product_uom_categ_unit
scenario.product_uom_plateau,plateau,TRUE,product.product_uom_categ_unit
scenario.product_uom_liasse,liasse,TRUE,product.product_uom_categ_unit
scenario.product_uom_flacon,flacon,TRUE,product.product_uom_categ_unit
