id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_8017081,__import__.location_loc_EXT320,__import__.product_8017081,stock.stock_location_stock
__import__.product_stock_bin_8270065,__import__.location_loc_GK03B5,__import__.product_8270065,stock.stock_location_stock
__import__.product_stock_bin_2382729,__import__.location_loc_GGB102,__import__.product_2382729,stock.stock_location_stock
__import__.product_stock_bin_2710846,__import__.location_loc_GD02F7,__import__.product_2710846,stock.stock_location_stock
__import__.product_stock_bin_3103850,__import__.location_loc_GBH404,__import__.product_3103850,stock.stock_location_stock
__import__.product_stock_bin_5260006,__import__.location_loc_AC07A1,__import__.product_5260006,stock.stock_location_stock
__import__.product_stock_bin_5065361,__import__.location_loc_EXV300,__import__.product_5065361,stock.stock_location_stock
__import__.product_stock_bin_8069250,__import__.location_loc_QCF220,__import__.product_8069250,stock.stock_location_stock
__import__.product_stock_bin_5828662,__import__.location_loc_AA06A2,__import__.product_5828662,stock.stock_location_stock
__import__.product_stock_bin_3392750,__import__.location_loc_GBK201,__import__.product_3392750,stock.stock_location_stock
__import__.product_stock_bin_5828965,__import__.location_loc_AA03A3,__import__.product_5828965,stock.stock_location_stock
__import__.product_stock_bin_3025855,__import__.location_loc_GD09B2,__import__.product_3025855,stock.stock_location_stock
__import__.product_stock_bin_5173360,__import__.location_loc_QMA140,__import__.product_5173360,stock.stock_location_stock
__import__.product_stock_bin_5829183,__import__.location_loc_AA02A3,__import__.product_5829183,stock.stock_location_stock
__import__.product_stock_bin_4500404,__import__.location_loc_AC01A2,__import__.product_4500404,stock.stock_location_stock
__import__.product_stock_bin_2876597,__import__.location_loc_GC06D2,__import__.product_2876597,stock.stock_location_stock
__import__.product_stock_bin_2446532,__import__.location_loc_GH09E4,__import__.product_2446532,stock.stock_location_stock
__import__.product_stock_bin_7110020,__import__.location_loc_GBX405,__import__.product_7110020,stock.stock_location_stock
__import__.product_stock_bin_5192761,__import__.location_loc_GBY205,__import__.product_5192761,stock.stock_location_stock
__import__.product_stock_bin_2853299,__import__.location_loc_GGG203,__import__.product_2853299,stock.stock_location_stock
__import__.product_stock_bin_6969765,__import__.location_loc_GF28C4,__import__.product_6969765,stock.stock_location_stock
__import__.product_stock_bin_2691723,__import__.location_loc_QFB310,__import__.product_2691723,stock.stock_location_stock
__import__.product_stock_bin_6350318,__import__.location_loc_GK02A5,__import__.product_6350318,stock.stock_location_stock
__import__.product_stock_bin_1118876,__import__.location_loc_GC31E1,__import__.product_1118876,stock.stock_location_stock
__import__.product_stock_bin_1013390,__import__.location_loc_GBP211,__import__.product_1013390,stock.stock_location_stock
__import__.product_stock_bin_3038825,__import__.location_loc_GE14C1,__import__.product_3038825,stock.stock_location_stock
__import__.product_stock_bin_5828408,__import__.location_loc_AA02A2,__import__.product_5828408,stock.stock_location_stock
__import__.product_stock_bin_2251874,__import__.location_loc_QCD320,__import__.product_2251874,stock.stock_location_stock
__import__.product_stock_bin_7197017,__import__.location_loc_AC10B1,__import__.product_7197017,stock.stock_location_stock
__import__.product_stock_bin_7197017,__import__.location_loc_ADE140,__import__.product_7197017,stock.stock_location_stock
__import__.product_stock_bin_3016003,__import__.location_loc_GE07G7,__import__.product_3016003,stock.stock_location_stock
__import__.product_stock_bin_0428060,__import__.location_loc_GBV302,__import__.product_0428060,stock.stock_location_stock
__import__.product_stock_bin_3288000,__import__.location_loc_AI13B2,__import__.product_3288000,stock.stock_location_stock
__import__.product_stock_bin_3424371,__import__.location_loc_QCE110,__import__.product_3424371,stock.stock_location_stock
__import__.product_stock_bin_2816395,__import__.location_loc_GBK503,__import__.product_2816395,stock.stock_location_stock
__import__.product_stock_bin_5620096,__import__.location_loc_GBB203,__import__.product_5620096,stock.stock_location_stock
__import__.product_stock_bin_1510635,__import__.location_loc_GI03B2,__import__.product_1510635,stock.stock_location_stock
