id,name,origin,client_order_ref,user_id/id,state,currency_id/id,date_order,partner_id/id
__import__.sale_order_2691678_1725_1,2691678,,1710234507038,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_1725
__import__.sale_order_2691679_4254_1,2691679,,1710147500000,__setup__.res_user_15,draft,base.EUR,2017-05-15,__import__.customer_4254
__import__.sale_order_2691680_2642_1,2691680,,1700202300076,,draft,base.EUR,2017-05-15,__import__.customer_2642
__import__.sale_order_2691681_5943_1,2691681,,1700287700001,__setup__.res_user_15,draft,base.EUR,2017-05-15,__import__.customer_5943
__import__.sale_order_2691682_432_1,2691682,,1710367200000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_432
__import__.sale_order_2691683_1197_1,2691683,,1710234300515,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_1197
__import__.sale_order_2691684_6961_1,2691684,,1710448800253,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_6961
__import__.sale_order_2691685_4405_1,2691685,,,,draft,base.EUR,2017-05-15,__import__.customer_4405
__import__.sale_order_2691686_321_1,2691686,,1710267100000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_321
__import__.sale_order_2691687_8515_1,2691687,17100001247,1710394001247,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_8515
__import__.sale_order_2691688_7384_1,2691688,,1710454600024,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_7384
__import__.sale_order_2691689_5638_1,2691689,,1710409400022,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_5638
__import__.sale_order_2691690_4095_1,2691690,17127852197,1710278502197,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_4095
__import__.sale_order_2691691_7118_1,2691691,,1710342300014,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_7118
__import__.sale_order_2691692_321_1,2691692,,1710267100000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_321
__import__.sale_order_2691693_8978_1,2691693,,1710281500040,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_8978
__import__.sale_order_2691694_3701_1,2691694,,1710396400617,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_3701
__import__.sale_order_2691695_379_1,2691695,,DR N DUCHENE,,draft,base.EUR,2017-05-15,__import__.customer_379
__import__.sale_order_2691696_3845_1,2691696,,1710270800000,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_3845
__import__.sale_order_2691697_667_1,2691697,,1710139600115,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_667
__import__.sale_order_2691698_331_1,2691698,,1710176700000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_331
__import__.sale_order_2691699_8043_1,2691699,1700034,1710336400034,__setup__.res_user_15,draft,base.EUR,2017-05-15,__import__.customer_8043
__import__.sale_order_2691700_328_1,2691700,,1710213000000,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_328
__import__.sale_order_2691701_4408_1,2691701,,1710414000024,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_4408
__import__.sale_order_2691702_7771_1,2691702,,1710365100000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_7771
__import__.sale_order_2691703_528_1,2691703,,1710284900000,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_528
__import__.sale_order_2691704_6891_1,2691704,,1710288000000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_6891
__import__.sale_order_2691705_383_1,2691705,,1710187900000,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_383
__import__.sale_order_2691706_807_1,2691706,,1710332900000,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_807
__import__.sale_order_2691707_5964_1,2691707,,1710420600000,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_5964
__import__.sale_order_2691708_6981_1,2691708,00000089.csv,1710467500059,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_6981
__import__.sale_order_2691709_7738_1,2691709,,2017-05-15_09:1,,draft,base.EUR,2017-05-15,__import__.customer_7738
__import__.sale_order_2691710_7469_1,2691710,,1710382700586,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_7469
__import__.sale_order_2691711_1645_1,2691711,,1710199900596,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_1645
