id,name,origin,client_order_ref,user_id/id,currency_id/id,date_order,partner_id/id,state
__import__.sale_order_2691474_4772_1,2691474,,1710243500018,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_4772,done
__import__.sale_order_2691476_805_1,2691476,,1710232200429,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_805,done
__import__.sale_order_2691477_3753_1,2691477,17000039,1710229800039,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_3753,done
__import__.sale_order_2691478_2496_1,2691478,,1710084700005,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_2496,done
__import__.sale_order_2691479_2496_1,2691479,,1710084700006,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_2496,done
__import__.sale_order_2691480_4820_1,2691480,,1710164900000,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_4820,done
__import__.sale_order_2691481_4135_1,2691481,,1710413600018,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_4135,done
__import__.sale_order_2691482_4135_1,2691482,,1710413600019,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_4135,done
__import__.sale_order_2691483_2283_1,2691483,,1710321000083,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_2283,done
__import__.sale_order_2691484_4159_1,2691484,,1710296700002,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_4159,done
__import__.sale_order_2691485_8264_1,2691485,,001705121202021,,base.EUR,2017-05-15,__import__.customer_8264,done
__import__.sale_order_2691486_8114_1,2691486,,001705121204022,,base.EUR,2017-05-15,__import__.customer_8114,done
__import__.sale_order_2691487_4152_1,2691487,,1710285901137,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_4152,done
__import__.sale_order_2691488_7624_1,2691488,,1710496800052,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_7624,done
__import__.sale_order_2691489_7262_1,2691489,,,,base.EUR,2017-05-15,__import__.customer_7262,done
__import__.sale_order_2691490_3123_1,2691490,,,,base.EUR,2017-05-15,__import__.customer_3123,done
__import__.sale_order_2691491_8862_1,2691491,,,,base.EUR,2017-05-15,__import__.customer_8862,done
__import__.sale_order_2691492_2169_1,2691492,,,,base.EUR,2017-05-15,__import__.customer_2169,done
__import__.sale_order_2691493_2139_1,2691493,,,,base.EUR,2017-05-15,__import__.customer_2139,done
__import__.sale_order_2691494_3109_1,2691494,,,,base.EUR,2017-05-15,__import__.customer_3109,done
__import__.sale_order_2691495_8862_1,2691495,,,,base.EUR,2017-05-15,__import__.customer_8862,done
__import__.sale_order_2691496_2151_1,2691496,,,,base.EUR,2017-05-15,__import__.customer_2151,done
__import__.sale_order_2691497_2157_1,2691497,,,,base.EUR,2017-05-15,__import__.customer_2157,done
__import__.sale_order_2691498_2171_1,2691498,,,,base.EUR,2017-05-15,__import__.customer_2171,done
__import__.sale_order_2691499_2112_1,2691499,,,,base.EUR,2017-05-15,__import__.customer_2112,done
__import__.sale_order_2691500_8862_1,2691500,,,,base.EUR,2017-05-15,__import__.customer_8862,done
__import__.sale_order_2691501_3111_1,2691501,,,,base.EUR,2017-05-15,__import__.customer_3111,done
__import__.sale_order_2691502_2139_1,2691502,,,,base.EUR,2017-05-15,__import__.customer_2139,done
__import__.sale_order_2691503_4028_1,2691503,,1710177100061,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_4028,done
__import__.sale_order_2691504_1853_1,2691504,,1710333400000,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_1853,done
__import__.sale_order_2691505_7738_1,2691505,,2017-05-15_07:0,,base.EUR,2017-05-15,__import__.customer_7738,done
__import__.sale_order_2691506_7847_1,2691506,,1710473200007,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_7847,done
__import__.sale_order_2691507_4182_1,2691507,,1710238500010,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_4182,done
__import__.sale_order_2691508_5114_1,2691508,,1710393600386,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_5114,done
__import__.sale_order_2691509_4203_1,2691509,,1710212500027,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_4203,done
__import__.sale_order_2691510_8364_1,2691510,,1710433800030,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_8364,done
__import__.sale_order_2691511_6117_1,2691511,levan,1700327800000,__setup__.res_user_15,base.EUR,2017-05-15,__import__.customer_6117,done
__import__.sale_order_2691512_6250_1,2691512,levan,1700237200000,__setup__.res_user_15,base.EUR,2017-05-15,__import__.customer_6250,done
__import__.sale_order_2691513_4778_1,2691513,,1710275909944,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_4778,done
__import__.sale_order_2691514_8321_1,2691514,,1710466202569,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_8321,done
__import__.sale_order_2691515_3236_1,2691515,0345,1710384500000,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_3236,done
__import__.sale_order_2691516_1122_1,2691516,REP,1710090300000,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_1122,done
__import__.sale_order_2691517_7404_1,2691517,,7383678,,base.EUR,2017-05-15,__import__.customer_7404,done
__import__.sale_order_2691518_4810_1,2691518,REP,1710183200404,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_4810,done
__import__.sale_order_2691519_4759_1,2691519,,1710251900000,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_4759,done
__import__.sale_order_2691520_7469_1,2691520,,1710382700584,__setup__.res_user_19,base.EUR,2017-05-15,__import__.customer_7469,done
__import__.sale_order_2691521_7003_1,2691521,,1710477300029,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_7003,done
__import__.sale_order_2691522_3850_1,2691522,,1710397600000,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_3850,done
__import__.sale_order_2691523_4463_1,2691523,,171     00000,,base.EUR,2017-05-15,__import__.customer_4463,done
__import__.sale_order_2691524_1916_1,2691524,,171     00000,,base.EUR,2017-05-15,__import__.customer_1916,done
__import__.sale_order_2691525_4617_1,2691525,,1710350700141,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_4617,done
__import__.sale_order_2691526_6264_1,2691526,,1710460700008,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_6264,done
__import__.sale_order_2691527_6472_1,2691527,,1700108800000,,base.EUR,2017-05-15,__import__.customer_6472,done
__import__.sale_order_2691528_331_1,2691528,,1710176700059,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_331,done
__import__.sale_order_2691529_470_1,2691529,,1710284301883,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_470,done
__import__.sale_order_2691530_8390_1,2691530,,1710533400020,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_8390,done
__import__.sale_order_2691531_25_1,2691531,01082728666,1710272808981,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_25,done
__import__.sale_order_2691532_8522_1,2691532,,1710328400149,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_8522,done
__import__.sale_order_2691533_1930_1,2691533,,1710209400028,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_1930,done
__import__.sale_order_2691535_6964_1,2691535,141,1710350700000,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_6964,done
__import__.sale_order_2691536_342_1,2691536,,sylvie,,base.EUR,2017-05-15,__import__.customer_342,done
__import__.sale_order_2691537_2579_1,2691537,,1710272600014,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_2579,done
__import__.sale_order_2691538_2060_1,2691538,,171     00000,,base.EUR,2017-05-15,__import__.customer_2060,done
__import__.sale_order_2691539_4062_1,2691539,,1710410500192,__setup__.res_user_12,base.EUR,2017-05-15,__import__.customer_4062,done
__import__.sale_order_2691540_1408_1,2691540,,1710328500033,__setup__.res_user_2,base.EUR,2017-05-15,__import__.customer_1408,done
