id,location_id/id,product_qty,product_id/id,prod_lot_id/id
__import__.stock_inventory_line_AA1136RA_3129723,__import__.location_loc_GD11D1,194,__import__.product_3129723,__import__.stock_production_lot_AA1136RA_3129723
__import__.stock_inventory_line_AA2133PC_3129657,__import__.location_loc_GD23D2,245,__import__.product_3129657,__import__.stock_production_lot_AA2133PC_3129657
__import__.stock_inventory_line_AL718872AC_2680551,__import__.location_loc_GBM511,76,__import__.product_2680551,__import__.stock_production_lot_AL718872AC_2680551
__import__.stock_inventory_line_A050A09_6741223,__import__.location_loc_GD02F2,9,__import__.product_6741223,__import__.stock_production_lot_A050A09_6741223
__import__.stock_inventory_line_A074A01_2976991,__import__.location_loc_QLA120,1685,__import__.product_2976991,__import__.stock_production_lot_A074A01_2976991
__import__.stock_inventory_line_A075A01_2976991,__import__.location_loc_QLA120,1200,__import__.product_2976991,__import__.stock_production_lot_A075A01_2976991
__import__.stock_inventory_line_A086B02_7110025,__import__.location_loc_QBA420,329,__import__.product_7110025,__import__.stock_production_lot_A086B02_7110025
__import__.stock_inventory_line_A181A01_0061887,__import__.location_loc_GK03A2,8,__import__.product_0061887,__import__.stock_production_lot_A181A01_0061887
__import__.stock_inventory_line_A188A01_0061887,__import__.location_loc_GK03A2,495,__import__.product_0061887,__import__.stock_production_lot_A188A01_0061887
__import__.stock_inventory_line_A211A01_0877373,__import__.location_loc_GBK301,268,__import__.product_0877373,__import__.stock_production_lot_A211A01_0877373
__import__.stock_inventory_line_A231A01_0085456,__import__.location_loc_GBK401,189,__import__.product_0085456,__import__.stock_production_lot_A231A01_0085456
__import__.stock_inventory_line_A255A02_0660945,__import__.location_loc_GD14C5,34,__import__.product_0660945,__import__.stock_production_lot_A255A02_0660945
__import__.stock_inventory_line_A307A01_0660944,__import__.location_loc_GBK105,118,__import__.product_0660944,__import__.stock_production_lot_A307A01_0660944
__import__.stock_inventory_line_A33005F_2959773,__import__.location_loc_GE20D5,40,__import__.product_2959773,__import__.stock_production_lot_A33005F_2959773
__import__.stock_inventory_line_A66413_1688803,__import__.location_loc_GK11A5,61,__import__.product_1688803,__import__.stock_production_lot_A66413_1688803
__import__.stock_inventory_line_A69156_1688811,__import__.location_loc_GK01A2,8,__import__.product_1688811,__import__.stock_production_lot_A69156_1688811
__import__.stock_inventory_line_A700A01_6350318,__import__.location_loc_GK02A5,25,__import__.product_6350318,__import__.stock_production_lot_A700A01_6350318
__import__.stock_inventory_line_A701B01_6350318,__import__.location_loc_GK02A5,480,__import__.product_6350318,__import__.stock_production_lot_A701B01_6350318
__import__.stock_inventory_line_B0320_1013192,__import__.location_loc_GK04A4,87,__import__.product_1013192,__import__.stock_production_lot_B0320_1013192
__import__.stock_inventory_line_B119803_2379782,__import__.location_loc_GBF504,132,__import__.product_2379782,__import__.stock_production_lot_B119803_2379782
__import__.stock_inventory_line_B170126A_5450017,__import__.location_loc_GGT505,19,__import__.product_5450017,__import__.stock_production_lot_B170126A_5450017
__import__.stock_inventory_line_CER001AAB_3113412,__import__.location_loc_GGB408,98,__import__.product_3113412,__import__.stock_production_lot_CER001AAB_3113412
__import__.stock_inventory_line_CER003AAA_3113412,__import__.location_loc_GGB408,3200,__import__.product_3113412,__import__.stock_production_lot_CER003AAA_3113412
__import__.stock_inventory_line_C0816121201_2816452,__import__.location_loc_GBT515,1635,__import__.product_2816452,__import__.stock_production_lot_C0816121201_2816452
__import__.stock_inventory_line_C0816121401_2816411,__import__.location_loc_GGL507,509,__import__.product_2816411,__import__.stock_production_lot_C0816121401_2816411
__import__.stock_inventory_line_C0816121901_2816437,__import__.location_loc_GBX515,4164,__import__.product_2816437,__import__.stock_production_lot_C0816121901_2816437
__import__.stock_inventory_line_C0917022201_2816395,__import__.location_loc_GBK503,495,__import__.product_2816395,__import__.stock_production_lot_C0917022201_2816395
__import__.stock_inventory_line_C117064_2746501,__import__.location_loc_GGB103,86,__import__.product_2746501,__import__.stock_production_lot_C117064_2746501
__import__.stock_inventory_line_C210181704_3392750,__import__.location_loc_GBK201,53,__import__.product_3392750,__import__.stock_production_lot_C210181704_3392750
__import__.stock_inventory_line_C722614A_7505842,__import__.location_loc_GGE201,173,__import__.product_7505842,__import__.stock_production_lot_C722614A_7505842
__import__.stock_inventory_line_D712811641_3392768,__import__.location_loc_GBT403,34,__import__.product_3392768,__import__.stock_production_lot_D712811641_3392768
__import__.stock_inventory_line_EU1601A_6931194,__import__.location_loc_GD02D4,12,__import__.product_6931194,__import__.stock_production_lot_EU1601A_6931194
