id,life_date,checksum,product_id/id,name
__import__.stock_production_lot_26320A11_0037028,2018-05-31 00:00:00,247,__import__.product_0037028,26320A11
__import__.stock_production_lot_63504403_0045666,2018-05-31 00:00:00,821,__import__.product_0045666,63504403
__import__.stock_production_lot_A181A01_0061887,2019-07-31 00:00:00,153,__import__.product_0061887,A181A01
__import__.stock_production_lot_15LQ049_0071514,2018-11-30 00:00:00,580,__import__.product_0071514,15LQ049
__import__.stock_production_lot_6K02Z2_0079327,2018-09-30 00:00:00,993,__import__.product_0079327,6K02Z2
__import__.stock_production_lot_A230A02_0085456,2019-09-30 00:00:00,803,__import__.product_0085456,A230A02
__import__.stock_production_lot_637594A_0095695,2018-09-16 00:00:00,771,__import__.product_0095695,637594A
__import__.stock_production_lot_637594B_0095695,2018-09-16 00:00:00,162,__import__.product_0095695,637594B
__import__.stock_production_lot_A133A02_0112573,2019-09-30 00:00:00,808,__import__.product_0112573,A133A02
__import__.stock_production_lot_E239A05_0125732,2018-12-31 00:00:00,240,__import__.product_0125732,E239A05
__import__.stock_production_lot_E241A02_0125732,2019-06-30 00:00:00,342,__import__.product_0125732,E241A02
__import__.stock_production_lot_084689_0136465,2018-04-30 00:00:00,682,__import__.product_0136465,084689
__import__.stock_production_lot_H291802_0136945,2018-07-31 00:00:00,704,__import__.product_0136945,H291802
__import__.stock_production_lot_H501602_0136945,2018-12-31 00:00:00,808,__import__.product_0136945,H501602
__import__.stock_production_lot_65LU_0254680,2019-01-31 00:00:00,255,__import__.product_0254680,65LU
__import__.stock_production_lot_PO0342_0289009,2018-02-28 00:00:00,347,__import__.product_0289009,PO0342
__import__.stock_production_lot_P00342_0289009,2018-02-28 00:00:00,645,__import__.product_0289009,P00342
__import__.stock_production_lot_B071505_0296442,2021-07-31 00:00:00,514,__import__.product_0296442,B071505
__import__.stock_production_lot_B071311_0296459,2021-07-31 00:00:00,310,__import__.product_0296459,B071311
__import__.stock_production_lot_6221103_0317347,2018-09-30 00:00:00,347,__import__.product_0317347,6221103
__import__.stock_production_lot_16J03_0320123,2020-10-31 00:00:00,257,__import__.product_0320123,16J03
__import__.stock_production_lot_16J03_0320167,2020-10-31 00:00:00,138,__import__.product_0320167,16J03
__import__.stock_production_lot_16J03_0320244,2020-10-31 00:00:00,515,__import__.product_0320244,16J03
__import__.stock_production_lot_698801002_0391383,2021-12-31 00:00:00,489,__import__.product_0391383,698801002
__import__.stock_production_lot_J1380225_0428060,2019-06-30 00:00:00,465,__import__.product_0428060,J1380225
__import__.stock_production_lot_E426B01_0430398,2018-06-30 00:00:00,243,__import__.product_0430398,E426B01
__import__.stock_production_lot_17B06787_0458281,2022-02-28 00:00:00,232,__import__.product_0458281,17B06787
__import__.stock_production_lot_615251A_0470039,2018-04-12 00:00:00,169,__import__.product_0470039,615251A
__import__.stock_production_lot_615252A_0470039,2018-04-12 00:00:00,357,__import__.product_0470039,615252A
__import__.stock_production_lot_26584A10_0491357,2021-01-31 00:00:00,126,__import__.product_0491357,26584A10
__import__.stock_production_lot_26085A16_0493288,2019-05-31 00:00:00,686,__import__.product_0493288,26085A16
__import__.stock_production_lot_KP0BDSE_0616300,2020-05-31 00:00:00,916,__import__.product_0616300,KP0BDSE
__import__.stock_production_lot_KP0BL7K_0624825,2020-02-28 00:00:00,200,__import__.product_0624825,KP0BL7K
__import__.stock_production_lot_A297A04_0660944,2021-05-31 00:00:00,726,__import__.product_0660944,A297A04
__import__.stock_production_lot_A255A02_0660945,2019-09-30 00:00:00,173,__import__.product_0660945,A255A02
__import__.stock_production_lot_E365A01_0660946,2019-07-31 00:00:00,125,__import__.product_0660946,E365A01
__import__.stock_production_lot_KP0B11S_0661132,2019-10-31 00:00:00,770,__import__.product_0661132,KP0B11S
__import__.stock_production_lot_RXP0261CB_0676023,2019-06-30 00:00:00,756,__import__.product_0676023,RXP0261CB
__import__.stock_production_lot_26791A12_0685370,2020-03-31 00:00:00,993,__import__.product_0685370,26791A12
__import__.stock_production_lot_26600A11_0815761,2020-01-31 00:00:00,389,__import__.product_0815761,26600A11
__import__.stock_production_lot_H221702_0836627,2019-05-31 00:00:00,468,__import__.product_0836627,H221702
__import__.stock_production_lot_66952402_0843136,2018-02-28 00:00:00,208,__import__.product_0843136,66952402
__import__.stock_production_lot_66976702_0843136,2018-05-31 00:00:00,607,__import__.product_0843136,66976702
__import__.stock_production_lot_S1R0582BA_0864058,2019-12-31 00:00:00,258,__import__.product_0864058,S1R0582BA
__import__.stock_production_lot_S1P0471AA_0864066,2019-08-31 00:00:00,502,__import__.product_0864066,S1P0471AA
__import__.stock_production_lot_S1P0541BA_0864066,2019-09-30 00:00:00,173,__import__.product_0864066,S1P0541BA
__import__.stock_production_lot_DCM133CA_0868059,2018-01-31 00:00:00,866,__import__.product_0868059,DCM133CA
__import__.stock_production_lot_DCM134BA_0868059,2018-06-30 00:00:00,888,__import__.product_0868059,DCM134BA
__import__.stock_production_lot_66930904_0868547,2018-04-30 00:00:00,630,__import__.product_0868547,66930904
__import__.stock_production_lot_66930913_0868547,2018-04-30 00:00:00,280,__import__.product_0868547,66930913
__import__.stock_production_lot_26075A10_0874131,2018-01-31 00:00:00,555,__import__.product_0874131,26075A10
__import__.stock_production_lot_26075A11_0874131,2018-01-31 00:00:00,125,__import__.product_0874131,26075A11
__import__.stock_production_lot_A198A01_0877373,2018-01-31 00:00:00,338,__import__.product_0877373,A198A01
__import__.stock_production_lot_A211A01_0877373,2018-05-31 00:00:00,818,__import__.product_0877373,A211A01
__import__.stock_production_lot_A208A01_0877894,2019-10-31 00:00:00,295,__import__.product_0877894,A208A01
__import__.stock_production_lot_085760_0878272,2018-04-30 00:00:00,326,__import__.product_0878272,085760
__import__.stock_production_lot_L437855_1002021,2018-07-26 00:00:00,193,__import__.product_1002021,L437855
__import__.stock_production_lot_E718A01_1009809,2019-07-31 00:00:00,318,__import__.product_1009809,E718A01
__import__.stock_production_lot_624121A_1013143,2018-06-13 00:00:00,324,__import__.product_1013143,624121A
__import__.stock_production_lot_174480_1013168,2018-06-30 00:00:00,423,__import__.product_1013168,174480
__import__.stock_production_lot_B0320_1013192,2020-03-31 00:00:00,125,__import__.product_1013192,B0320
__import__.stock_production_lot_C1219_1013192,2019-12-31 00:00:00,165,__import__.product_1013192,C1219
__import__.stock_production_lot_G0320_1013192,2020-03-31 00:00:00,295,__import__.product_1013192,G0320
__import__.stock_production_lot_J1361027_1013390,2020-12-31 00:00:00,316,__import__.product_1013390,J1361027
__import__.stock_production_lot_K1360528_1013390,2021-03-31 00:00:00,266,__import__.product_1013390,K1360528
__import__.stock_production_lot_6AD4_1013465,2019-01-31 00:00:00,399,__import__.product_1013465,6AD4
__import__.stock_production_lot_H20303B11_1013481,2020-06-30 00:00:00,462,__import__.product_1013481,H20303B11
__import__.stock_production_lot_5143314_1013549,2019-07-31 00:00:00,245,__import__.product_1013549,5143314
__import__.stock_production_lot_ACP0111BC_1021906,2019-03-31 00:00:00,125,__import__.product_1021906,ACP0111BC
__import__.stock_production_lot_170100003_1035724,2019-01-31 00:00:00,975,__import__.product_1035724,170100003
__import__.stock_production_lot_170300358_1035724,2019-03-31 00:00:00,857,__import__.product_1035724,170300358
__import__.stock_production_lot_1747825_1070499,2019-09-30 00:00:00,613,__import__.product_1070499,1747825
__import__.stock_production_lot_145528_1073360,2018-03-04 00:00:00,178,__import__.product_1073360,145528
__import__.stock_production_lot_KP0BU7E_1088897,2021-11-30 00:00:00,296,__import__.product_1088897,KP0BU7E
__import__.stock_production_lot_6C2201F_1112507,2019-07-31 00:00:00,565,__import__.product_1112507,6C2201F
__import__.stock_production_lot_17B17_1112622,2020-02-28 00:00:00,778,__import__.product_1112622,17B17
__import__.stock_production_lot_658959_1114099,2019-08-31 00:00:00,513,__import__.product_1114099,658959
__import__.stock_production_lot_0218116_1115377,2018-07-31 00:00:00,263,__import__.product_1115377,0218116
__import__.stock_production_lot_1505_1118876,2018-10-31 00:00:00,487,__import__.product_1118876,1505
__import__.stock_production_lot_6C1337E_1118983,2019-04-22 00:00:00,613,__import__.product_1118983,6C1337E
__import__.stock_production_lot_KP0BLLL_1122118,2019-09-30 00:00:00,446,__import__.product_1122118,KP0BLLL
__import__.stock_production_lot_703DC_1148394,2020-07-31 00:00:00,581,__import__.product_1148394,703DC
__import__.stock_production_lot_KP0BS41_1154590,2021-11-30 00:00:00,401,__import__.product_1154590,KP0BS41
__import__.stock_production_lot_P05805A_1164037,2019-11-30 00:00:00,653,__import__.product_1164037,P05805A
__import__.stock_production_lot_R00208A_1164037,2019-12-31 00:00:00,682,__import__.product_1164037,R00208A
__import__.stock_production_lot_649A_1171487,2018-12-31 00:00:00,451,__import__.product_1171487,649A
__import__.stock_production_lot_695901002_1180454,2021-12-31 00:00:00,393,__import__.product_1180454,695901002
__import__.stock_production_lot_696601000_1180454,2021-10-31 00:00:00,837,__import__.product_1180454,696601000
__import__.stock_production_lot_1256A1_1183375,2020-01-31 00:00:00,675,__import__.product_1183375,1256A1
__import__.stock_production_lot_280218_1190340,2018-02-28 00:00:00,316,__import__.product_1190340,280218
__import__.stock_production_lot_300418_1190340,2018-04-30 00:00:00,414,__import__.product_1190340,300418
__import__.stock_production_lot_311217_1190340,2017-12-31 00:00:00,410,__import__.product_1190340,311217
__import__.stock_production_lot_0151592_1193515,2019-04-30 00:00:00,141,__import__.product_1193515,0151592
__import__.stock_production_lot_180857_1198068,2019-07-31 00:00:00,125,__import__.product_1198068,180857
__import__.stock_production_lot_199714_1198068,2019-11-30 00:00:00,805,__import__.product_1198068,199714
__import__.stock_production_lot_310718_1200060,2018-07-31 00:00:00,327,__import__.product_1200060,310718
__import__.stock_production_lot_16K01_1202266,2018-11-30 00:00:00,230,__import__.product_1202266,16K01
__import__.stock_production_lot_17B14_1202266,2019-02-28 00:00:00,480,__import__.product_1202266,17B14
__import__.stock_production_lot_7915_1202787,2022-02-28 00:00:00,867,__import__.product_1202787,7915
__import__.stock_production_lot_16I24_1202886,2019-09-30 00:00:00,368,__import__.product_1202886,16I24
__import__.stock_production_lot_K001_1202969,2019-01-31 00:00:00,685,__import__.product_1202969,K001
__import__.stock_production_lot_L435007_1203074,2019-01-06 00:00:00,157,__import__.product_1203074,L435007
__import__.stock_production_lot_16060991_1203264,2018-05-31 00:00:00,388,__import__.product_1203264,16060991
__import__.stock_production_lot_16J276_1206853,2019-10-31 00:00:00,139,__import__.product_1206853,16J276
__import__.stock_production_lot_310518_1220318,2018-05-31 00:00:00,898,__import__.product_1220318,310518
__import__.stock_production_lot_5XY3_1220466,2018-06-30 00:00:00,823,__import__.product_1220466,5XY3
__import__.stock_production_lot_300418_1231021,2018-04-30 00:00:00,595,__import__.product_1231021,300418
__import__.stock_production_lot_300918_1231021,2018-09-30 00:00:00,957,__import__.product_1231021,300918
__import__.stock_production_lot_310118_1231021,2018-01-31 00:00:00,187,__import__.product_1231021,310118
__import__.stock_production_lot_311018_1231208,2018-10-31 00:00:00,680,__import__.product_1231208,311018
__import__.stock_production_lot_310518_1232210,2018-05-31 00:00:00,168,__import__.product_1232210,310518
__import__.stock_production_lot_310818_1232210,2018-08-31 00:00:00,637,__import__.product_1232210,310818
__import__.stock_production_lot_311018_1232210,2018-10-31 00:00:00,537,__import__.product_1232210,311018
__import__.stock_production_lot_300418_1232215,2018-04-30 00:00:00,936,__import__.product_1232215,300418
__import__.stock_production_lot_310518_1232215,2018-05-31 00:00:00,535,__import__.product_1232215,310518
__import__.stock_production_lot_310518_1234014,2018-05-31 00:00:00,752,__import__.product_1234014,310518
__import__.stock_production_lot_300418_1234215,2018-04-30 00:00:00,622,__import__.product_1234215,300418
__import__.stock_production_lot_300918_1238042,2018-09-30 00:00:00,392,__import__.product_1238042,300918
__import__.stock_production_lot_300918_1239323,2018-09-30 00:00:00,402,__import__.product_1239323,300918
__import__.stock_production_lot_C567809G_1250026,2019-01-31 00:00:00,143,__import__.product_1250026,C567809G
__import__.stock_production_lot_310818_1250816,2018-08-31 00:00:00,746,__import__.product_1250816,310818
__import__.stock_production_lot_6306_1257369,2018-09-30 00:00:00,615,__import__.product_1257369,6306
__import__.stock_production_lot_A758A01_1270123,2018-01-31 00:00:00,268,__import__.product_1270123,A758A01
__import__.stock_production_lot_26975A10_1273176,2019-03-31 00:00:00,864,__import__.product_1273176,26975A10
__import__.stock_production_lot_698338003_1290204,2021-12-31 00:00:00,332,__import__.product_1290204,698338003
__import__.stock_production_lot_1535155_1300185,2019-05-31 00:00:00,994,__import__.product_1300185,1535155
__import__.stock_production_lot_1735155_1300185,2019-05-31 00:00:00,634,__import__.product_1300185,1735155
