id,ref,name,street,zip,city,phone,fax,email,vat,customer,supplier,alcyon_category_id/id,country_id/id,lang,mobile
scenario.supplier_32420,32420,NATURAL ANIMAL FEEDS LTD,Wonaqtow Road Ind. Estate West,NP25 5JA,MONMOUTH,,00441600710700,,,False,True,scenario.partner_category_supplier,base.uk,fr_BE,
scenario.supplier_62600,62600,BAYER S.A.,J.E. Mommaertslaan 14,1831,DIEGEM (MACHELEN),02/5356649,025356519,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_62782,62782,BSN MEDICAL,Technologielaan 13,3001,LEUVEN,016/396900,016396999,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_63195,63195,ALPHA REPARTITION,Rue de Mulhouse 2,4020,LIEGE,09/2809040,043492229,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_63502,63502,COLMAN LABORATOIRE,Rue de la Grande 68-70,7100,LA LOUVIERE,064/224907,064260020,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_64010,64010,DUMONT VERRERIES,Chaussée d'Ivoz 2,4400,IVOZ-RAMET,04/3369440,043379513,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_66155,66155,EICKEMEYER MEDISCHE TECHNIEK,Bellweg 44,4104,BJ CULEMBORG,0031/345589400,0031/345589401*,s vermeulen@eickemeyer.nl,,False,True,scenario.partner_category_supplier,base.nl,nl_BE,
scenario.supplier_66200,66200,ELI LILLY/ELANCO,Rue du Marquis 1,1000,BRUXELLES,080081316,027007425,orders.benelux@lilly.com,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_66906,66906,FENDIGO,"Avenue Hermann Debroux, 17",1160,BRUXELLES,02/7344690,027344899,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_67530,67530,GENIA,"Rue J-Fr. Champollion, 12",44680,ST-HILAIRE-DE-CHALEONS,0033/240032417,0033240031471*,,,False,True,scenario.partner_category_supplier,base.fr,fr_BE,
scenario.supplier_68302,68302,HARTMANN PAUL,Avenue Paul Hartmann 1,1480,SAINTES,02/3914466,043775039,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_71100,71100,MSD ANIMAL HEALTH,Clos du Lynx 5,1200,BRUXELLES,02/3709421,023709335,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_74153,74153,CERTA S.A. (MEDEVA),"Textielstraat, 20",8790,WAREGEM,02/3893332,070233143,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_74200,74200,MERIAL BELGIUM SA,Leonardo Da Vincilaan 19,1831,DIEGEM,080032369,080094905,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_77320,77320,PHARMA BELGIUM,RUE CARLISTRAAT 17/19,1140,bruxelles,064/273.273,064/273.283,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_77340,77340,PHARMA SANTE OFFICINE 31,Rue des Ecoliers 138,4100,SERAING,04/3371774,043301427,officine31@pharmasante.be,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_77605,77605,PHARMA LOGISTICS,Demeursleen 71,1654,HUIZINGEN,02/3631570,023603085,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_77666,77666,PHARMACIE DU SOUVERAIN,Boulevard du Souverain 264,1160,BRUXELLES(AUDERGHEM),02/6728249,,orders.alcyon@pharmaciesouverain.be,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_79193,79193,SERVOPRAX G.M.B.H.,AM Marienbusch 9,46485,WESEL,0049281952830,004928156071*,info@servoprax.de,,False,True,scenario.partner_category_supplier,base.de,fr_BE,
scenario.supplier_79201,79201,ZOETIS BELGIUM,Mercuriusstraat 20,1930,ZAVENTEM,02/7468270,027468853,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_79245,79245,SMITH & NEPHEW,Hector Henneaulaan 366,1930,ZAVENTEM,02/7022911,,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_79301,79301,LOHMANN & RAUSCHER,Rue Visé-Voie 81 bte 2,4000,LIEGE,04/3679711,043679733,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,0477/727086
scenario.supplier_81200,81200,VIRBAC BELGIUM    *,Esperantolaan 4,3001,LEUVEN,016/387260,016387261,order@virbac.be,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_82595,82595,VERSELE-LAGA  *,Kapellestraat 70,9800,DEINZE,09/3813200,093816882,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_83300,83300,KELA VETERINARIA   *,Industriepark West 68,9100,SINT NIKLAAS,03/7806390,037806391,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
scenario.supplier_93910,93910,STEROP,AVENUE DE SCHEUT 45_50,1070,BRUXELLES,02/5243966,025216071,,,False,True,scenario.partner_category_supplier,base.be,fr_BE,
