id,type,active
__import__.customer_709,invoice,1
__import__.customer_1583,invoice,1
__import__.customer_1653,invoice,1
__import__.customer_2463,invoice,1
__import__.customer_2581,invoice,1
__import__.customer_2587,invoice,1
__import__.customer_2646,invoice,1
__import__.customer_3200,invoice,1
__import__.customer_3355,invoice,1
__import__.customer_4250,invoice,1
__import__.customer_4316,invoice,1
__import__.customer_4416,invoice,1
__import__.customer_4707,invoice,1
__import__.customer_4863,invoice,1
__import__.customer_5232,invoice,1
__import__.customer_5465,invoice,1
__import__.customer_5538,invoice,1
__import__.customer_5716,invoice,1
__import__.customer_6799,invoice,1
__import__.customer_6846,invoice,1
__import__.customer_6892,invoice,1
__import__.customer_7630,invoice,1
__import__.customer_7730,invoice,1
__import__.customer_8114,invoice,1
__import__.customer_8364,invoice,1
__import__.customer_8694,invoice,1
__import__.customer_8967,invoice,1
__import__.customer_9170,invoice,1
__import__.customer_4416,invoice,1
__import__.customer_6,invoice,1
__import__.customer_7,invoice,1
__import__.customer_8,invoice,1
__import__.customer_9,invoice,1
__import__.customer_10,invoice,1
__import__.customer_11,invoice,1
__import__.customer_17,invoice,1
__import__.customer_18,invoice,1
__import__.customer_20,invoice,1
__import__.customer_7557,invoice,1
__import__.customer_34,invoice,1
__import__.customer_36,invoice,1
__import__.customer_44,invoice,1
__import__.customer_47,invoice,1
__import__.customer_48,invoice,1
__import__.customer_52,invoice,1
__import__.customer_54,invoice,1
__import__.customer_55,invoice,1
__import__.customer_57,invoice,1
__import__.customer_60,invoice,1
__import__.customer_63,invoice,1
__import__.customer_65,invoice,1
__import__.customer_67,invoice,1
__import__.customer_5421,invoice,1
__import__.customer_73,invoice,1
__import__.customer_76,invoice,1
__import__.customer_77,invoice,1
__import__.customer_80,invoice,1
__import__.customer_84,invoice,1
__import__.customer_4854,invoice,1
__import__.customer_90,invoice,1
__import__.customer_92,invoice,1
__import__.customer_95,invoice,1
__import__.customer_100,invoice,1
__import__.customer_103,invoice,1
__import__.customer_106,invoice,1
__import__.customer_107,invoice,1
__import__.customer_112,invoice,1
__import__.customer_114,invoice,1
__import__.customer_120,invoice,1
__import__.customer_123,invoice,1
__import__.customer_129,invoice,1
__import__.customer_130,invoice,1
__import__.customer_132,invoice,1
__import__.customer_134,invoice,1
__import__.customer_136,invoice,1
__import__.customer_4913,invoice,1
__import__.customer_141,invoice,1
__import__.customer_144,invoice,1
__import__.customer_5531,invoice,1
__import__.customer_150,invoice,1
__import__.customer_6925,invoice,1
__import__.customer_155,invoice,1
__import__.customer_157,invoice,1
__import__.customer_3856,invoice,1
__import__.customer_165,invoice,1
__import__.customer_174,invoice,1
__import__.customer_4923,invoice,1
__import__.customer_181,invoice,1
__import__.customer_184,invoice,1
__import__.customer_4940,invoice,1
__import__.customer_190,invoice,1
__import__.customer_200,invoice,1
__import__.customer_203,invoice,1
__import__.customer_206,invoice,1
__import__.customer_207,invoice,1
__import__.customer_210,invoice,1
__import__.customer_246,invoice,1
__import__.customer_248,invoice,1
__import__.customer_250,invoice,1
__import__.customer_252,invoice,1
__import__.customer_254,invoice,1
__import__.customer_256,invoice,1
__import__.customer_7181,invoice,1
