id,type
__import__.customer_595,delivery
__import__.customer_597,delivery
__import__.customer_599,delivery
__import__.customer_600,delivery
__import__.customer_603,delivery
__import__.customer_605,delivery
__import__.customer_619,delivery
__import__.customer_621,delivery
__import__.customer_694,delivery
__import__.customer_1061,delivery
__import__.customer_1176,contact
__import__.customer_1274,delivery
__import__.customer_1330,delivery
__import__.customer_1341,delivery
__import__.customer_1793,delivery
__import__.customer_1856,delivery
__import__.customer_2231,delivery
__import__.customer_2352,delivery
__import__.customer_2440,delivery
__import__.customer_2863,delivery
__import__.customer_4420,delivery
__import__.customer_4620,delivery
__import__.customer_5504,delivery
__import__.customer_6698,delivery
__import__.customer_7126,delivery
__import__.customer_7204,delivery
__import__.customer_7235,delivery
__import__.customer_7768,delivery
__import__.customer_7888,delivery
__import__.customer_8131,delivery
__import__.customer_8497,delivery
__import__.customer_8688,delivery
__import__.customer_8831,contact
__import__.customer_9155,delivery
__import__.customer_3358,delivery
__import__.customer_4359,delivery
__import__.customer_4360,delivery
__import__.customer_4362,delivery
__import__.customer_4596,delivery
__import__.customer_4598,delivery
__import__.customer_4601,delivery
__import__.customer_4605,delivery
__import__.customer_4677,delivery
__import__.customer_4830,delivery
__import__.customer_4831,delivery
__import__.customer_4959,delivery
__import__.customer_5334,delivery
__import__.customer_5335,delivery
__import__.customer_5336,delivery
__import__.customer_5338,delivery
__import__.customer_5570,delivery
__import__.customer_6922,delivery
__import__.customer_7807,delivery
__import__.customer_7994,delivery
__import__.customer_8456,delivery
__import__.customer_2952,delivery
__import__.customer_2955,delivery
__import__.customer_2970,delivery
__import__.customer_3029,delivery
__import__.customer_3039,delivery
__import__.customer_3044,delivery
__import__.customer_3059,delivery
__import__.customer_3062,delivery
__import__.customer_3168,delivery
__import__.customer_3696,delivery
__import__.customer_3698,delivery
__import__.customer_4519,delivery
__import__.customer_4685,delivery
__import__.customer_5457,delivery
__import__.customer_5463,delivery
__import__.customer_5464,delivery
__import__.customer_5551,delivery
__import__.customer_5559,delivery
__import__.customer_5698,delivery
__import__.customer_5725,delivery
__import__.customer_7122,delivery
__import__.customer_7705,delivery
__import__.customer_8284,delivery
__import__.customer_8463,delivery
__import__.customer_9047,delivery
__import__.customer_9202,delivery
__import__.customer_4997,other
__import__.customer_8391,delivery
