id,parent_id/id,company_type
__import__.customer_6789,__import__.customer_709,person
__import__.customer_3806,__import__.customer_1583,person
__import__.customer_7583,__import__.customer_1653,person
__import__.customer_4484,__import__.customer_2587,person
__import__.customer_5281,__import__.customer_2646,person
__import__.customer_595,__import__.customer_3200,person
__import__.customer_597,__import__.customer_3200,person
__import__.customer_599,__import__.customer_3200,person
__import__.customer_600,__import__.customer_3200,person
__import__.customer_603,__import__.customer_3200,person
__import__.customer_605,__import__.customer_3200,person
__import__.customer_619,__import__.customer_3200,person
__import__.customer_621,__import__.customer_3200,person
__import__.customer_694,__import__.customer_3200,person
__import__.customer_1061,__import__.customer_3200,person
__import__.customer_1176,__import__.customer_3200,person
__import__.customer_1274,__import__.customer_3200,person
__import__.customer_1330,__import__.customer_3200,person
__import__.customer_1341,__import__.customer_3200,person
__import__.customer_1793,__import__.customer_3200,person
__import__.customer_1856,__import__.customer_3200,person
__import__.customer_2231,__import__.customer_3200,person
__import__.customer_2352,__import__.customer_3200,person
__import__.customer_2440,__import__.customer_3200,person
__import__.customer_2863,__import__.customer_3200,person
__import__.customer_4420,__import__.customer_3200,person
__import__.customer_4620,__import__.customer_3200,person
__import__.customer_5504,__import__.customer_3200,person
__import__.customer_6698,__import__.customer_3200,person
__import__.customer_7126,__import__.customer_3200,person
__import__.customer_7204,__import__.customer_3200,person
__import__.customer_7235,__import__.customer_3200,person
__import__.customer_7768,__import__.customer_3200,person
__import__.customer_7888,__import__.customer_3200,person
__import__.customer_8131,__import__.customer_3200,person
__import__.customer_8497,__import__.customer_3200,person
__import__.customer_8688,__import__.customer_3200,person
__import__.customer_8831,__import__.customer_3200,person
__import__.customer_9155,__import__.customer_3200,person
__import__.customer_3358,__import__.customer_3355,person
__import__.customer_4359,__import__.customer_3355,person
__import__.customer_4360,__import__.customer_3355,person
__import__.customer_4362,__import__.customer_3355,person
__import__.customer_4596,__import__.customer_3355,person
__import__.customer_4598,__import__.customer_3355,person
__import__.customer_4601,__import__.customer_3355,person
__import__.customer_4605,__import__.customer_3355,person
__import__.customer_4677,__import__.customer_3355,person
__import__.customer_4830,__import__.customer_3355,person
__import__.customer_4831,__import__.customer_3355,person
__import__.customer_4959,__import__.customer_3355,person
__import__.customer_5334,__import__.customer_3355,person
__import__.customer_5335,__import__.customer_3355,person
__import__.customer_5336,__import__.customer_3355,person
__import__.customer_5338,__import__.customer_3355,person
__import__.customer_5570,__import__.customer_3355,person
__import__.customer_6175,__import__.customer_3355,person
__import__.customer_6922,__import__.customer_3355,person
__import__.customer_7807,__import__.customer_3355,person
__import__.customer_7994,__import__.customer_3355,person
__import__.customer_8456,__import__.customer_3355,person
__import__.customer_9263,__import__.customer_4250,person
__import__.customer_8357,__import__.customer_4316,person
__import__.customer_4997,__import__.customer_4416,person
__import__.customer_8391,__import__.customer_4416,person
__import__.customer_4769,__import__.customer_4707,person
__import__.customer_5331,__import__.customer_4863,person
__import__.customer_1568,__import__.customer_5232,person
__import__.customer_8581,__import__.customer_5465,person
__import__.customer_8287,__import__.customer_5522,person
__import__.customer_8350,__import__.customer_5522,person
__import__.customer_8288,__import__.customer_5522,person
__import__.customer_8351,__import__.customer_5522,person
__import__.customer_7830,__import__.customer_5716,person
__import__.customer_6800,__import__.customer_6799,person
__import__.customer_4692,__import__.customer_6846,person
__import__.customer_6086,__import__.customer_6846,person
__import__.customer_6893,__import__.customer_6892,person
__import__.customer_7140,__import__.customer_6892,person
__import__.customer_8559,__import__.customer_7630,person
__import__.customer_7738,__import__.customer_7730,person
__import__.customer_8264,__import__.customer_8114,person
__import__.customer_9148,__import__.customer_8364,person
__import__.customer_8695,__import__.customer_8694,person
__import__.customer_8968,__import__.customer_8967,person
__import__.customer_2952,__import__.customer_9170,person
__import__.customer_2955,__import__.customer_9170,person
__import__.customer_2970,__import__.customer_9170,person
__import__.customer_3029,__import__.customer_9170,person
__import__.customer_3039,__import__.customer_9170,person
__import__.customer_3044,__import__.customer_9170,person
__import__.customer_3059,__import__.customer_9170,person
__import__.customer_3062,__import__.customer_9170,person
__import__.customer_3168,__import__.customer_9170,person
__import__.customer_3696,__import__.customer_9170,person
__import__.customer_3698,__import__.customer_9170,person
__import__.customer_4519,__import__.customer_9170,person
__import__.customer_4685,__import__.customer_9170,person
__import__.customer_5457,__import__.customer_9170,person
__import__.customer_5463,__import__.customer_9170,person
__import__.customer_5464,__import__.customer_9170,person
__import__.customer_5551,__import__.customer_9170,person
__import__.customer_5559,__import__.customer_9170,person
__import__.customer_5698,__import__.customer_9170,person
__import__.customer_5725,__import__.customer_9170,person
__import__.customer_7122,__import__.customer_9170,person
__import__.customer_7705,__import__.customer_9170,person
__import__.customer_8284,__import__.customer_9170,person
__import__.customer_8463,__import__.customer_9170,person
__import__.customer_9047,__import__.customer_9170,person
__import__.customer_9202,__import__.customer_9170,person
__import__.customer_4997,__import__.customer_4416,person
__import__.customer_8391,__import__.customer_4416,person
__import__.customer_6,__import__.customer_1653,person
__import__.customer_7,__import__.customer_1653,person
__import__.customer_8,__import__.customer_1653,person
__import__.customer_9,__import__.customer_1653,person
__import__.customer_10,__import__.customer_1653,person
__import__.customer_11,__import__.customer_1653,person
__import__.customer_17,__import__.customer_1653,person
__import__.customer_18,__import__.customer_1653,person
__import__.customer_20,__import__.customer_1653,person
__import__.customer_7557,__import__.customer_1653,person
__import__.customer_34,__import__.customer_1653,person
__import__.customer_36,__import__.customer_1653,person
__import__.customer_44,__import__.customer_1653,person
__import__.customer_47,__import__.customer_1653,person
__import__.customer_48,__import__.customer_1653,person
__import__.customer_52,__import__.customer_1653,person
__import__.customer_54,__import__.customer_1653,person
__import__.customer_55,__import__.customer_1653,person
__import__.customer_57,__import__.customer_1653,person
__import__.customer_60,__import__.customer_1653,person
__import__.customer_63,__import__.customer_1653,person
__import__.customer_65,__import__.customer_1653,person
__import__.customer_67,__import__.customer_1653,person
__import__.customer_5421,__import__.customer_1653,person
__import__.customer_73,__import__.customer_1653,person
__import__.customer_76,__import__.customer_1653,person
__import__.customer_77,__import__.customer_1653,person
__import__.customer_80,__import__.customer_1653,person
__import__.customer_84,__import__.customer_1653,person
__import__.customer_4854,__import__.customer_1653,person
__import__.customer_90,__import__.customer_1653,person
__import__.customer_92,__import__.customer_1653,person
__import__.customer_95,__import__.customer_1653,person
__import__.customer_100,__import__.customer_1653,person
__import__.customer_103,__import__.customer_1653,person
__import__.customer_106,__import__.customer_1653,person
__import__.customer_107,__import__.customer_1653,person
__import__.customer_112,__import__.customer_1653,person
__import__.customer_114,__import__.customer_1653,person
__import__.customer_120,__import__.customer_1653,person
__import__.customer_123,__import__.customer_1653,person
__import__.customer_129,__import__.customer_1653,person
__import__.customer_130,__import__.customer_1653,person
__import__.customer_132,__import__.customer_1653,person
__import__.customer_134,__import__.customer_1653,person
__import__.customer_136,__import__.customer_1653,person
__import__.customer_4913,__import__.customer_1653,person
__import__.customer_141,__import__.customer_1653,person
__import__.customer_144,__import__.customer_1653,person
__import__.customer_5531,__import__.customer_1653,person
__import__.customer_150,__import__.customer_1653,person
__import__.customer_6925,__import__.customer_1653,person
__import__.customer_155,__import__.customer_1653,person
__import__.customer_157,__import__.customer_1653,person
__import__.customer_3856,__import__.customer_1653,person
__import__.customer_165,__import__.customer_1653,person
__import__.customer_174,__import__.customer_1653,person
__import__.customer_4923,__import__.customer_1653,person
__import__.customer_181,__import__.customer_1653,person
__import__.customer_184,__import__.customer_1653,person
__import__.customer_4940,__import__.customer_1653,person
__import__.customer_190,__import__.customer_1653,person
__import__.customer_200,__import__.customer_1653,person
__import__.customer_203,__import__.customer_1653,person
__import__.customer_206,__import__.customer_1653,person
__import__.customer_207,__import__.customer_1653,person
__import__.customer_210,__import__.customer_1653,person
__import__.customer_246,__import__.customer_1653,person
__import__.customer_248,__import__.customer_1653,person
__import__.customer_250,__import__.customer_1653,person
__import__.customer_252,__import__.customer_1653,person
__import__.customer_254,__import__.customer_1653,person
__import__.customer_256,__import__.customer_1653,person
__import__.customer_7181,__import__.customer_1653,person
__import__.customer_262,__import__.customer_1653,person
__import__.customer_265,__import__.customer_1653,person
__import__.customer_266,__import__.customer_1653,person
__import__.customer_268,__import__.customer_1653,person
__import__.customer_272,__import__.customer_1653,person
__import__.customer_276,__import__.customer_1653,person
__import__.customer_7590,__import__.customer_1653,person
__import__.customer_281,__import__.customer_1653,person
__import__.customer_284,__import__.customer_1653,person
__import__.customer_4600,__import__.customer_1653,person
__import__.customer_294,__import__.customer_1653,person
__import__.customer_2339,__import__.customer_1653,person
__import__.customer_298,__import__.customer_1653,person
__import__.customer_300,__import__.customer_1653,person
__import__.customer_303,__import__.customer_1653,person
__import__.customer_305,__import__.customer_1653,person
__import__.customer_307,__import__.customer_1653,person
