id,name,color
__setup__.account_analytic_tag_DOS_ADMIN,ADMINISTRA. ENTREPRISE,2
__setup__.account_analytic_tag_DOS_AMELC,AMELIORATION PROCES CCIAL,2
__setup__.account_analytic_tag_DOS_AMELA,AMELIORATION PROCES ADMIN,2
__setup__.account_analytic_tag_DOS_AMELL,AMELIORATION PROCES LOGIS,2
__setup__.account_analytic_tag_DOS_COMMU,COMMUNICATION,2
__setup__.account_analytic_tag_DOS_ASSUR,ASSURANCE GENERALE,2
__setup__.account_analytic_tag_DOS_TRACA,TRAVAUX CONSEIL ADMIN.,2
__setup__.account_analytic_tag_DOS_FOENT,FONCTIONEMENT ENTREPRISE,2
__setup__.account_analytic_tag_DOS_CONGR,CONGRES,2
__setup__.account_analytic_tag_DOS_CONSO,CONSOMMABLE ENTREPRISE,2
__setup__.account_analytic_tag_DOS_TOURN,TOURNEES,2
__setup__.account_analytic_tag_DOS_COPDI,COOPERATION DIVERS,2
__setup__.account_analytic_tag_DOS_TRIPA,TRIPARTITE,2
__setup__.account_analytic_tag_DOS_COPFO,COOPERATION FOURNISSEUR,2
__setup__.account_analytic_tag_DOS_FOADM,FONCTIONNEMENT ADMIN.,2
__setup__.account_analytic_tag_DOS_COCIA,CONTACT CCIAL CLIENT,2
__setup__.account_analytic_tag_DOS_DEPLA,DEPLACEMENT,2
__setup__.account_analytic_tag_DOS_DIVER,DIVERS NON AFFECTE,2
__setup__.account_analytic_tag_DOS_LOGIS,LOGISTIQUE,2
__setup__.account_analytic_tag_DOS_EMBAL,EMBALLAGE,2
__setup__.account_analytic_tag_DOS_ENTRC,ENTRETIEN COURANT,2
__setup__.account_analytic_tag_DOS_ENTRT,ENTRETIEN TECHNIQUE,2
__setup__.account_analytic_tag_DOS_ENTRS,ENTRETIEN SPECIFIQUE,2
__setup__.account_analytic_tag_DOS_TRESO,GESTION TRESORERIE,2
__setup__.account_analytic_tag_DOS_FINAN,FINANCEMENT HAUT DE BILAN,2
__setup__.account_analytic_tag_DOS_PARTI,GESTION PARTICIPATIONS,2
__setup__.account_analytic_tag_DOS_ENERG,ENERGIE,2
__setup__.account_analytic_tag_DOS_IMPRI,IMPRIMES CLIENT,2
__setup__.account_analytic_tag_DOS_COADM,CONTACT ADM CLIENT,2
__setup__.account_analytic_tag_DOS_REUNI,REUNION,2
__setup__.account_analytic_tag_DOS_REMIS,REMISE CLIENT,2
__setup__.account_analytic_tag_DOS_INCIT,INCITATION COMMERCIALE,2
__setup__.account_analytic_tag_DOS_ESCLI,ESCOMPTE CLIENT,2
__setup__.account_analytic_tag_DOS_ESFOU,ESCOMPTE FOURNISSEUR,2
__setup__.account_analytic_tag_DOS_INFOE,INFORMATIQUE EXPLOITATION,2
__setup__.account_analytic_tag_DOS_INFOR,INFORMATIQUE AUTRES,2
__setup__.account_analytic_tag_DOS_AMELI,AMELIORATION PROCES INFOR,2
__setup__.account_analytic_tag_DOS_RELFO,RELATION FOURNISSEUR,2
__setup__.account_analytic_tag_DOS_RELCA,RELATION CLIENT VUE ADMIN,2
__setup__.account_analytic_tag_DOS_RELCR,RELATION CLIENT VUE AUTRE,2
__setup__.account_analytic_tag_DOS_RELAC,RELATION CLIENT VUE CIALE,2
__setup__.account_analytic_tag_DOS_VENTE,VENTES,2
__setup__.account_analytic_tag_DOS_ACHAT,ACHATS CONSOMMES,2
__setup__.account_analytic_tag_DOS_MARGE,MARGE,2
__setup__.account_analytic_tag_DOS_OPESI,OPERATION CCIALE SITE,2
__setup__.account_analytic_tag_DOS_RELAO,RELATION ORGANISMES PRO,2
__setup__.account_analytic_tag_DOS_ENVIR,ENTREPRISE ET ENVIRONNEMT,2
__setup__.account_analytic_tag_DOS_OUTCL,OUTIL COMMUNICATION CLIEN,2
__setup__.account_analytic_tag_DOS_PUBLI,PUBLICATION POUR CLIENT,2
__setup__.account_analytic_tag_DOS_REUNG,REUNION GROUPE,2
__setup__.account_analytic_tag_DOS_SUIPO,SUIVI JURIDIQUE PONCTUEL,2
__setup__.account_analytic_tag_DOS_SUIPE,SUIVI JURIDIQUE,2
__setup__.account_analytic_tag_DOS_SUICO,SUIVI COMPTABLE,2
__setup__.account_analytic_tag_DOS_TRANS,TRANSPORT EXTERNE,2
__setup__.account_analytic_tag_DOS_VILLE,VILLERS,2
__setup__.account_analytic_tag_DSY_FOENT,FONCTIONNEMENT ENTREPRISE,3
__setup__.account_analytic_tag_DSY_AMELI,AMELIORATION PROCESSUS,3
__setup__.account_analytic_tag_DSY_RECLI,RELATION CLIENTELE,3
__setup__.account_analytic_tag_DSY_POLIT,POLITIQUE DE L'ENTREPRISE,3
__setup__.account_analytic_tag_DSY_LOGIS,LOGISTIQUE,3
__setup__.account_analytic_tag_DSY_COOPE,COOPERATION,3
__setup__.account_analytic_tag_DSY_FOADM,FONCTIONNEMENT ADMIN.,3
__setup__.account_analytic_tag_DSY_DIVER,DIVERS NON AFFECTE,3
__setup__.account_analytic_tag_DSY_ENTRE,ENTRETIEN GENERAL,3
__setup__.account_analytic_tag_DSY_FINAN,FINANCIER,3
__setup__.account_analytic_tag_DSY_INCIT,INCITATION COMMERCIALE,3
__setup__.account_analytic_tag_DSY_INFOR,INFORMATIQUE,3
__setup__.account_analytic_tag_DSY_REFOU,RELATION FOURNISSEUR,3
__setup__.account_analytic_tag_DSY_MARGE,MARGE,3
__setup__.account_analytic_tag_DSY_ENVIR,ENTREPRISE/ENVIRONNEMENT,3
__setup__.account_analytic_tag_MET_ADMIN,ADMINISTRER,7
__setup__.account_analytic_tag_MET_GERER,GERER,7
__setup__.account_analytic_tag_MET_AMAGA,PILOTER MAGASIN,7
__setup__.account_analytic_tag_MET_AMARK,ANIMER MARCHE,7
__setup__.account_analytic_tag_MET_ASFON,ASSURER LE FONCTIONNEMENT,7
__setup__.account_analytic_tag_MET_INFOR,INFORMATISER,7
__setup__.account_analytic_tag_MET_TRANS,TRANSPORTER,7
__setup__.account_analytic_tag_MET_NEGOC,NEGOCIER,7
__setup__.account_analytic_tag_MET_NOTRE,NOTRE METIER,7
__setup__.account_analytic_tag_MET_COMPT,COMPTABILISER,7
__setup__.account_analytic_tag_MET_VENDR,VENDRE,7
__setup__.account_analytic_tag_MET_DIVER,DIVERS NON AFFECTE,7
__setup__.account_analytic_tag_MET_STOCK,STOCKER,7
__setup__.account_analytic_tag_MET_EXPED,EXPEDIER,7
__setup__.account_analytic_tag_MET_FINAN,FINANCER,7
__setup__.account_analytic_tag_MET_PREND,PRENDRE DES COMMANDES,7
