id,name,note,line_ids
account.account_payment_term_immediate,Comptant,Condition de paiement: Comptant,
__setup__.account_payment_term_d5,5 jours date facture,Condition de paiement: 5 jours date facture,
__setup__.account_payment_term_d7,7 jours date facture,Condition de paiement: 7 jours date facture,
__setup__.account_payment_term_d8,8 jours date facture,Condition de paiement: 8 jours date facture,
__setup__.account_payment_term_d10,10 jours date facture,Condition de paiement: 10 jours date facture,
__setup__.account_payment_term_d14,14 jours date facture,Condition de paiement: 14 jours date facture,
account.account_payment_term_15days,15 jours date facture,Condition de paiement: 15 jours date facture,
__setup__.account_payment_term_d21,21 jours date facture,Condition de paiement: 21 jours date facture,
__setup__.account_payment_term_d27,27 jours date facture,Condition de paiement: 27 jours date facture,
account.account_payment_term_net,30 jours date facture,Condition de paiement: 30 jours date facture,
__setup__.account_payment_term_d45,45 jours date facture,Condition de paiement: 45 jours date facture,
__setup__.account_payment_term_d60,60 jours date facture,Condition de paiement: 60 jours date facture,
__setup__.account_payment_term_d90,90 jours date facture,Condition de paiement: 90 jours date facture,
__setup__.account_payment_term_f0,fin de mois,Condition de paiement: fin de mois,
__setup__.account_payment_term_f5,5 jours fin de mois,Condition de paiement: 5 jours fin de mois,
__setup__.account_payment_term_f10,10 jours fin de mois,Condition de paiement: 10 jours fin de mois,
__setup__.account_payment_term_f15,15 jours fin de mois,Condition de paiement: 15 jours fin de mois,
__setup__.account_payment_term_f20,20 jours fin de mois,Condition de paiement: 20 jours fin de mois,
__setup__.account_payment_term_f25,25 jours fin de mois,Condition de paiement: 25 jours fin de mois,
__setup__.account_payment_term_f30,30 jours fin de mois,Condition de paiement: 30 jours date facture,
__setup__.account_payment_term_f45,45 jours fin de mois,Condition de paiement: 45 jours fin de mois,
__setup__.account_payment_term_f60,60 jours fin de mois,Condition de paiement: 60 jours fin de mois,
__setup__.account_payment_term_f90,90 jours fin de mois,Condition de paiement: 90 jours fin de mois,
__setup__.account_payment_term_f120,120 jours fin de mois,Condition de paiement: 120 jours fin de mois,
__setup__.account_payment_term_cr,Contre Remboursement,Contre Remboursement,
