id,payment_id/id,days,option,sequence,value
 __setup__.account_payment_term_line_d5,__setup__.account_payment_term_d5,5,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d7,__setup__.account_payment_term_d7,7,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d8,__setup__.account_payment_term_d8,8,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d10,__setup__.account_payment_term_d10,10,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d14,__setup__.account_payment_term_d14,14,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d21,__setup__.account_payment_term_d21,21,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d27,__setup__.account_payment_term_d27,27,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d45,__setup__.account_payment_term_d45,45,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d60,__setup__.account_payment_term_d60,60,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_d90,__setup__.account_payment_term_d90,90,day_after_invoice_date,500,balance
 __setup__.account_payment_term_line_f0,__setup__.account_payment_term_f0,0,last_day_current_month,500,balance
 __setup__.account_payment_term_line_f5,__setup__.account_payment_term_f5,5,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f10,__setup__.account_payment_term_f10,10,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f15,__setup__.account_payment_term_f15,15,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f20,__setup__.account_payment_term_f20,20,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f25,__setup__.account_payment_term_f25,25,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f30,__setup__.account_payment_term_f30,30,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f45,__setup__.account_payment_term_f45,45,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f60,__setup__.account_payment_term_f60,60,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f90,__setup__.account_payment_term_f90,90,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_f120,__setup__.account_payment_term_f120,120,fix_day_following_month,500,balance
 __setup__.account_payment_term_line_cr,__setup__.account_payment_term_cr,0,day_after_invoice_date,500,balance
