id,name,date
__import__.bank_holiday_new_year_2017,New Years Day,2017-01-01
__import__.bank_holiday_easter_monday_2017,Easter Monday,2017-04-17
__import__.bank_holiday_labour_day_2017,Labour Day,2017-05-01
__import__.bank_holiday_ascension_day_2017,Ascension Day,2017-05-25
__import__.bank_holiday_pentecost_monday_2017,Pentecost Monday,2017-06-05
__import__.bank_holiday_independence_day_2017,Independence Day,2017-07-21
__import__.bank_holiday_assumption_day_2017,Assumption Day,2017-08-15
__import__.bank_holiday_all_saints_day_2017,All Saints Day,2017-11-01
__import__.bank_holiday_arimistice_day_2017,Armistice Day,2017-11-11
__import__.bank_holiday_christmas_day_2017,Christmas Day,2017-12-25
__import__.bank_holiday_new_year_2018,New Years Day,2018-01-01
__import__.bank_holiday_easter_monday_2018,Easter Monday,2018-04-02
__import__.bank_holiday_labour_day_2018,Labour Day,2018-05-01
__import__.bank_holiday_ascension_day_2018,Ascension Day,2018-05-10
__import__.bank_holiday_pentecost_monday_2018,Pentecost Monday,2018-05-21
__import__.bank_holiday_independence_day_2018,Independence Day,2018-07-21
__import__.bank_holiday_assumption_day_2018,Assumption Day,2018-08-15
__import__.bank_holiday_all_saints_day_2018,All Saints Day,2018-11-01
__import__.bank_holiday_arimistice_day_2018,Armistice Day,2018-11-11
__import__.bank_holiday_christmas_day_2018,Christmas Day,2018-12-25
