id,active,ref,suite,call_name,name,street,zip,city,fax,email,vat,vet_depot_number,vet_subscription_number,help_with_fee,alcyon_category_id/id,country_id/id,title/id,legal_entity_id/id,is_company,discount_pricelist_id/id,property_delivery_carrier_id/id,supplier_promotion_sale_allowed,user_id/id,lang,is_sale_back_order_accepted,property_payment_term_id/id,customer_payment_mode_id/id,is_price_on_labels,is_passport_required,invoice_frequency,invoice_grouping,invoice_sending_method,company_type,phone,mobile,property_product_pricelist/id,category_id/id,pharmacist_id/id,property_account_position_id/id,comment
__import__.customer_1,False,1,,BL ALPHAREPARTITION,ALPHA REPARTITION,"Avenue de la Dame,91",5100,JAMBES,071601337,,BE0444692045,,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_6,True,__setup__.pricelist_11,__setup__.deliver_carrier_by_client,,,fr_BE,False,__setup__.account_payment_term_cr,,,,10_days,all_at_once,letter,company,081/245111,,specific_data.product_pricelist_pb2,__setup__.customer_category_petit_grossiste,,__setup__.fiscal_position_nat,
__import__.customer_2,False,2,,BL SAVENOR,SAVENOR,Rue Bourgelat BP 3,62051,ST LAURENT BLANGY CEDEX,0033321246555,,FR24314284175,,,0,specific_partner.partner_category_customerexport,base.fr,,__setup__.legal_entity_6,True,,__setup__.deliver_carrier_by_client,,,fr_BE,True,account.account_payment_term_net,,,,10_days,all_at_once,letter,company,0033321246570,,specific_data.product_pricelist_pb2,,,__setup__.fiscal_position_intra,
__import__.customer_3,True,3,,ASMABORGERS,ASMA BORGERS,Belcrowsl 13,2100,DEURNE,033242650,,BE0404753482,,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_6,True,,__setup__.deliver_carrier_by_client,,,nl_BE,True,__setup__.account_payment_term_d7,,,,10_days,all_at_once,letter,company,03/3267575,,specific_data.product_pricelist_pb2,__setup__.customer_category_petit_grossiste,,__setup__.fiscal_position_nat,
__import__.customer_4,True,4,,DEVOOZORGS.M.,DE VOOZORG S.M.,Walenstraat 77,3500,HASSELT,011242474,,BE0401364224,,,0,specific_partner.partner_category_pharmacy,base.be,,,,,__setup__.deliver_carrier_by_client,,,nl_BE,True,__setup__.account_payment_term_d7,,,,10_days,by_delivery,letter,person,011/211192,,specific_data.product_pricelist_pb2,__setup__.customer_category_petit_grossiste,,__setup__.fiscal_position_nat,
__import__.customer_6,True,6,,EPC001*,EPC 001 *,Place Albert 1er 14,5580,ROCHEFORT,084213546,rochefort@epc-familia.be,BE0401388176,APB941701,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,084/211058,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_7,True,7,,EPC002,EPC 002 *,Rue de Rochefort 62,5570,BEAURAING,082714831,beauraing.zoning@epc-familia.be,BE0401388176,APB911301,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,082/714830,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_8,True,8,,EPC003,EPC 003 *,Rue de Gembloux 125,5002,SAINT SERVAIS,081740574,saint.servais@epc-familia.be,BE0401388176,APB951703,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,081/730459,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_9,True,9,,EPC004,EPC 004,"Rue Joseph Renquin, 74",6600,BASTOGNE,061211245,bastogne@epc-familia.be,BE0401388176,APB820303,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,061/216047,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_10,True,10,,EPC005,EPC 005,Place Reine Astrid 8,5500,DINANT,082225048,dinant@epc-familia.be,BE0401388176,APB913402,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,082/222101,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
__import__.customer_11,True,11,,EPC006,EPC 006,Place Dr Hollenfeltz 14,6700,ARLON,063235145,arlon@epc-familia.be,BE0401388176,APB810101,,0,specific_partner.partner_category_pharmacy,base.be,,__setup__.legal_entity_8,True,__setup__.pricelist_12,__setup__.deliver_carrier_alcyon,,,fr_BE,False,__setup__.account_payment_term_d7,__setup__.account_payment_mode_1,,,10_days,all_at_once,letter,company,063/224171,,specific_data.product_pricelist_pb2,__setup__.customer_category_epece,,__setup__.fiscal_position_nat,
