id,itinerary_id/id,sequence,partner_id/id
__setup__.deliveryitineraryposition1_1,__setup__.dr20180828_itinerary_1,1,__import__.customer_1653
__setup__.deliveryitineraryposition1_2,__setup__.dr20180828_itinerary_1,2,__import__.customer_address_delivery_262
__setup__.deliveryitineraryposition1_3,__setup__.dr20180828_itinerary_1,3,__import__.customer_address_delivery_256
__setup__.deliveryitineraryposition1_4,__setup__.dr20180828_itinerary_1,4,__import__.customer_address_delivery_165
__setup__.deliveryitineraryposition1_5,__setup__.dr20180828_itinerary_1,5,__import__.customer_address_delivery_252
__setup__.deliveryitineraryposition1_6,__setup__.dr20180828_itinerary_1,6,__import__.customer_address_delivery_130
__setup__.deliveryitineraryposition1_7,__setup__.dr20180828_itinerary_1,7,__import__.customer_address_delivery_294
__setup__.deliveryitineraryposition1_8,__setup__.dr20180828_itinerary_1,8,__import__.customer_address_delivery_5046
__setup__.deliveryitineraryposition1_9,__setup__.dr20180828_itinerary_1,9,__import__.customer_address_delivery_200
__demo__.deliveryitineraryposition1_10,__setup__.dr20180828_itinerary_1,10,__import__.customer_address_delivery_206
__demo__.deliveryitineraryposition1_11,__setup__.dr20180828_itinerary_1,11,__import__.customer_address_delivery_266
__demo__.deliveryitineraryposition1_12,__setup__.dr20180828_itinerary_1,12,__import__.customer_address_delivery_184
__demo__.deliveryitineraryposition1_13,__setup__.dr20180828_itinerary_1,13,__import__.customer_address_delivery_160
__demo__.deliveryitineraryposition1_14,__setup__.dr20180828_itinerary_1,14,__import__.customer_address_delivery_268
__demo__.deliveryitineraryposition1_16,__setup__.dr20180828_itinerary_1,16,__import__.customer_address_delivery_187
__demo__.deliveryitineraryposition1_17,__setup__.dr20180828_itinerary_1,17,__import__.customer_address_delivery_190
__demo__.deliveryitineraryposition1_18,__setup__.dr20180828_itinerary_1,18,__import__.customer_address_delivery_210
__demo__.deliveryitineraryposition1_19,__setup__.dr20180828_itinerary_1,19,__import__.customer_address_delivery_18
__demo__.deliveryitineraryposition1_20,__setup__.dr20180828_itinerary_1,20,__import__.customer_address_delivery_8
__demo__.deliveryitineraryposition1_21,__setup__.dr20180828_itinerary_1,21,__import__.customer_address_delivery_174
__demo__.deliveryitineraryposition1_22,__setup__.dr20180828_itinerary_1,22,__import__.customer_address_delivery_272
__demo__.deliveryitineraryposition1_23,__setup__.dr20180828_itinerary_1,23,__import__.customer_address_delivery_2551
__demo__.deliveryitineraryposition1_24,__setup__.dr20180828_itinerary_1,24,__import__.customer_address_delivery_67
__demo__.deliveryitineraryposition1_25,__setup__.dr20180828_itinerary_1,25,__import__.customer_address_delivery_57
__demo__.deliveryitineraryposition1_26,__setup__.dr20180828_itinerary_1,26,__import__.customer_address_delivery_48
__demo__.deliveryitineraryposition1_27,__setup__.dr20180828_itinerary_1,27,__import__.customer_address_delivery_20
__demo__.deliveryitineraryposition1_28,__setup__.dr20180828_itinerary_1,28,__import__.customer_address_delivery_52
__demo__.deliveryitineraryposition1_29,__setup__.dr20180828_itinerary_1,29,__import__.customer_address_delivery_44
__demo__.deliveryitineraryposition1_30,__setup__.dr20180828_itinerary_1,30,__import__.customer_address_delivery_144
__demo__.deliveryitineraryposition1_31,__setup__.dr20180828_itinerary_1,31,__import__.customer_address_delivery_309
__demo__.deliveryitineraryposition1_32,__setup__.dr20180828_itinerary_1,32,__import__.customer_address_delivery_11
__demo__.deliveryitineraryposition1_33,__setup__.dr20180828_itinerary_1,33,__import__.customer_address_delivery_80
__demo__.deliveryitineraryposition1_34,__setup__.dr20180828_itinerary_1,34,__import__.customer_address_delivery_34
__demo__.deliveryitineraryposition1_35,__setup__.dr20180828_itinerary_1,35,__import__.customer_address_delivery_150
__demo__.deliveryitineraryposition1_36,__setup__.dr20180828_itinerary_1,36,__import__.customer_address_delivery_9
__demo__.deliveryitineraryposition1_37,__setup__.dr20180828_itinerary_1,37,__import__.customer_address_delivery_248
__demo__.deliveryitineraryposition1_38,__setup__.dr20180828_itinerary_1,38,__import__.customer_address_delivery_2339
__demo__.deliveryitineraryposition1_39,__setup__.dr20180828_itinerary_1,39,__import__.customer_address_delivery_6
__demo__.deliveryitineraryposition1_40,__setup__.dr20180828_itinerary_1,40,__import__.customer_address_delivery_47
__demo__.deliveryitineraryposition1_41,__setup__.dr20180828_itinerary_1,41,__import__.customer_address_delivery_305
__demo__.deliveryitineraryposition1_42,__setup__.dr20180828_itinerary_1,42,__import__.customer_address_delivery_10
__demo__.deliveryitineraryposition1_43,__setup__.dr20180828_itinerary_1,43,__import__.customer_address_delivery_246
__demo__.deliveryitineraryposition1_44,__setup__.dr20180828_itinerary_1,44,__import__.customer_address_delivery_307
__demo__.deliveryitineraryposition1_45,__setup__.dr20180828_itinerary_1,45,__import__.customer_address_delivery_134
__demo__.deliveryitineraryposition1_46,__setup__.dr20180828_itinerary_1,46,__import__.customer_address_delivery_76
__demo__.deliveryitineraryposition1_47,__setup__.dr20180828_itinerary_1,47,__import__.customer_address_delivery_265
