id,code,name,template_ids/id
__setup__.dr20180828_itinerary_1,1E,EPC,__setup__.dr20180828_template_1E
__setup__.dr20180828_itinerary_2,2,Verviers matin,__setup__.dr20180828_template_2
__setup__.dr20180828_itinerary_3,3,LIFE,__setup__.delivery_template_longterm
__setup__.dr20180828_itinerary_4,4E,PHARMA BELGIUM,__setup__.dr20180828_template_4E
__setup__.dr20180828_itinerary_5,5,VETRIA,__setup__.dr20180828_template_5
__setup__.dr20180828_itinerary_6,6,OLALUX,__setup__.dr20180828_template_6
__setup__.dr20180828_itinerary_8,8,Lejeune,__setup__.dr20180828_template_8
__setup__.dr20180828_itinerary_10,10,Pharma du peuple,__setup__.dr20180828_template_10
__setup__.dr20180828_itinerary_13,13E,Belmedis,__setup__.dr20180828_template_13E
__setup__.dr20180828_itinerary_14,14E,LLOYD Pharma,__setup__.dr20180828_template_14E
__setup__.dr20180828_itinerary_21,21,FL Occ,__setup__.dr20180828_template_21
__setup__.dr20180828_itinerary_22,22,Fl Occ (2),__setup__.dr20180828_template_22
__setup__.dr20180828_itinerary_26,26,FL Limbourg,__setup__.dr20180828_template_26
__setup__.dr20180828_itinerary_28,28,TEST,__setup__.dr20180828_template_28
__setup__.dr20180828_itinerary_37,37,Famenne,__setup__.dr20180828_template_37
__setup__.dr20180828_itinerary_42,42,Namurois Sud,__setup__.dr20180828_template_42
__setup__.dr20180828_itinerary_45,45,Tournaisis,__setup__.dr20180828_template_45
__setup__.dr20180828_itinerary_46,46,CentreOuest,__setup__.dr20180828_template_46
__setup__.dr20180828_itinerary_47,47,Brabant Ouest,__setup__.dr20180828_template_47
__setup__.dr20180828_itinerary_48,48,Borinage,__setup__.dr20180828_template_48
__setup__.dr20180828_itinerary_55,55,Bruxelles,__setup__.dr20180828_template_55
__setup__.dr20180828_itinerary_56,56,Bruxelles,__setup__.dr20180828_template_56
__setup__.dr20180828_itinerary_57,57,Bruxelles ,__setup__.dr20180828_template_57
__setup__.dr20180828_itinerary_58,58,Bruxelles Sud,__setup__.dr20180828_template_58
__setup__.dr20180828_itinerary_59,59,Mouscron,__setup__.dr20180828_template_59
__setup__.dr20180828_itinerary_70,70,Limbourg,__setup__.dr20180828_template_70
__setup__.dr20180828_itinerary_71,71,Sud,__setup__.dr20180828_template_71
__setup__.dr20180828_itinerary_72,72,Est Proche,__setup__.dr20180828_template_72
__setup__.dr20180828_itinerary_73,73,Condroz,__setup__.dr20180828_template_73
__setup__.dr20180828_itinerary_74,74,Ouest,__setup__.dr20180828_template_74
__setup__.dr20180828_itinerary_75,75,Hesbaye,__setup__.dr20180828_template_75
__setup__.dr20180828_itinerary_76,76,Centre,__setup__.dr20180828_template_76
__setup__.dr20180828_itinerary_77,77,Brabant Est,__setup__.dr20180828_template_77
__setup__.dr20180828_itinerary_78,78,Sud-Ouest,__setup__.dr20180828_template_78
__setup__.dr20180828_itinerary_79,79,Brabant Sud,__setup__.dr20180828_template_79
__setup__.dr20180828_itinerary_80,80,Liège matin,__setup__.dr20180828_template_80
__setup__.dr20180828_itinerary_81,81,Est Loin,__setup__.dr20180828_template_81
__setup__.dr20180828_itinerary_82,82,Namurois,__setup__.dr20180828_template_82
__setup__.dr20180828_itinerary_85,85,"CERP, Pharma Sante, EPC Depot",__setup__.dr20180828_template_85
__setup__.dr20180828_itinerary_85E,85E,PHARMA BELGIUM,__setup__.dr20180828_template_85E
__setup__.dr20180828_itinerary_86,86,Long Terme,__setup__.delivery_template_longterm
__setup__.dr20180828_itinerary_90,90,OLD90,__setup__.delivery_template_longterm
__setup__.dr20180828_itinerary_95,95,Comptoir,__setup__.delivery_template_comptoir
__setup__.dr20180828_itinerary_98,98,Papier,__setup__.delivery_template_longterm
