id,code,name,time_leave_planned,time_picking_planned,version_ids/id
__demo__.template59,59,Zone 6/7000,7,5.5,__setup__.delivery_template_version_1
__demo__.template70,70,Zone 1/3/4000,7.5,6,__setup__.delivery_template_version_1
__demo__.template71,71,Zone 6000/GDL,8,6.5,__setup__.delivery_template_version_1
__demo__.template72,72,Zone 4000,8.5,7,__setup__.delivery_template_version_1
__demo__.template73,73,Zone 4/5000,9,7.5,__setup__.delivery_template_version_1
__demo__.template78,78,Zone 4/6000,9,8,__setup__.delivery_template_version_1
__demo__.template79,79,Zone 1000,9.5,8.5,__setup__.delivery_template_version_1
__demo__.template74,74,Zone 5/6000,9.5,9,__setup__.delivery_template_version_1
__demo__.template80,80,Zone 4000,10,9.1,__setup__.delivery_template_version_1
__demo__.template75,75,Zone 4/5000,10,9.2,__setup__.delivery_template_version_1
__demo__.template81,81,Zone 4/6000,10.5,9.3,__setup__.delivery_template_version_1
__demo__.template76,76,Zone 6000,10.5,9.4,__setup__.delivery_template_version_1
__demo__.template77,77,Zone 1000,10.5,9.5,__setup__.delivery_template_version_1
__demo__.template42,42,Zone 5000,11.45,10,__setup__.delivery_template_version_1
__demo__.template46,46,Zone 6/7000,11.5,10.2,__setup__.delivery_template_version_1
__demo__.template55,55,Zone 1/3000,11.55,10.3,__setup__.delivery_template_version_1
__demo__.template82,82,Zone 5000,11.55,10.5,__setup__.delivery_template_version_1
__demo__.template48,48,Zone 5/7000,15,13,__setup__.delivery_template_version_1
__demo__.template37,37,Zone 4/5/6000,15,13.5,__setup__.delivery_template_version_1
__demo__.template45,45,Zone 7/8/9000,15.02,14,__setup__.delivery_template_version_1
__demo__.template47,47,Zone 1/7000,15.02,14.25,__setup__.delivery_template_version_1
__demo__.template56,56,Zone 1000,15.02,14.5,__setup__.delivery_template_version_1
__demo__.template58,58,Zone 1/4/5/6/7000,15.07,14.75,__setup__.delivery_template_version_1
__demo__.template57,57,Zone 1/3000,15.5,15,__setup__.delivery_template_version_1
