id,name,bin_checksum_1,bin_checksum_2,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_AA01A1,AA01A1,08,08,__import__.location_family_A,bin,A,A,01,A,1
__import__.location_loc_AA01A2,AA01A2,62,62,__import__.location_family_A,bin,A,A,01,A,2
__import__.location_loc_AA01A3,AA01A3,84,84,__import__.location_family_A,bin,A,A,01,A,3
__import__.location_loc_AA01A4,AA01A4,82,82,__import__.location_family_A,bin,A,A,01,A,4
__import__.location_loc_AA01B1,AA01B1,95,95,__import__.location_family_A,bin,A,A,01,B,1
__import__.location_loc_AA01B2,AA01B2,12,12,__import__.location_family_A,bin,A,A,01,B,2
__import__.location_loc_AA01B3,AA01B3,01,01,__import__.location_family_A,bin,A,A,01,B,3
__import__.location_loc_AA01B4,AA01B4,34,34,__import__.location_family_A,bin,A,A,01,B,4
__import__.location_loc_AA02A1,AA02A1,65,65,__import__.location_family_A,bin,A,A,02,A,1
__import__.location_loc_AA02A3,AA02A3,42,42,__import__.location_family_A,bin,A,A,02,A,3
__import__.location_loc_AA02A4,AA02A4,04,04,__import__.location_family_A,bin,A,A,02,A,4
__import__.location_loc_AA02B1,AA02B1,09,09,__import__.location_family_A,bin,A,A,02,B,1
__import__.location_loc_AA02B2,AA02B2,18,18,__import__.location_family_A,bin,A,A,02,B,2
__import__.location_loc_AA02B3,AA02B3,03,03,__import__.location_family_A,bin,A,A,02,B,3
__import__.location_loc_AA02B4,AA02B4,37,37,__import__.location_family_A,bin,A,A,02,B,4
__import__.location_loc_AA03A1,AA03A1,24,24,__import__.location_family_A,bin,A,A,03,A,1
__import__.location_loc_AA03A2,AA03A2,39,39,__import__.location_family_A,bin,A,A,03,A,2
__import__.location_loc_AA03A3,AA03A3,75,75,__import__.location_family_A,bin,A,A,03,A,3
__import__.location_loc_AA03A4,AA03A4,13,13,__import__.location_family_A,bin,A,A,03,A,4
__import__.location_loc_AA03B1,AA03B1,86,86,__import__.location_family_A,bin,A,A,03,B,1
__import__.location_loc_AA03B2,AA03B2,30,30,__import__.location_family_A,bin,A,A,03,B,2
__import__.location_loc_AA03B3,AA03B3,01,01,__import__.location_family_A,bin,A,A,03,B,3
__import__.location_loc_AA03B4,AA03B4,60,60,__import__.location_family_A,bin,A,A,03,B,4
__import__.location_loc_AA04A1,AA04A1,25,25,__import__.location_family_A,bin,A,A,04,A,1
__import__.location_loc_AA04A2,AA04A2,03,03,__import__.location_family_A,bin,A,A,04,A,2
__import__.location_loc_AA04A3,AA04A3,00,00,__import__.location_family_A,bin,A,A,04,A,3
__import__.location_loc_AA04A4,AA04A4,30,30,__import__.location_family_A,bin,A,A,04,A,4
__import__.location_loc_AA04B1,AA04B1,67,67,__import__.location_family_A,bin,A,A,04,B,1
__import__.location_loc_AA04B2,AA04B2,95,95,__import__.location_family_A,bin,A,A,04,B,2
__import__.location_loc_AA04B3,AA04B3,44,44,__import__.location_family_A,bin,A,A,04,B,3
__import__.location_loc_AA05B1,AA05B1,54,54,__import__.location_family_A,bin,A,A,05,B,1
__import__.location_loc_AA06A1,AA06A1,09,09,__import__.location_family_A,bin,A,A,06,A,1
__import__.location_loc_AA06A2,AA06A2,14,14,__import__.location_family_A,bin,A,A,06,A,2
__import__.location_loc_AA06A3,AA06A3,11,11,__import__.location_family_A,bin,A,A,06,A,3
