id,name,location_id/id,kind
__import__.location_family_A,A,__setup__.stock_location_ali,
__import__.location_row_AA,AA,__setup__.stock_location_ali,
__import__.location_row_AB,AB,__setup__.stock_location_ali,
__import__.location_row_AC,AC,__setup__.stock_location_ali,
__import__.location_row_AD,AD,__setup__.stock_location_ali,
__import__.location_row_AE,AE,__setup__.stock_location_ali,
__import__.location_row_AG,AG,__setup__.stock_location_ali,
__import__.location_row_AH,AH,__setup__.stock_location_ali,
__import__.location_row_AI,AI,__setup__.stock_location_ali,
__import__.location_row_AK,AK,__setup__.stock_location_ali,
__import__.location_row_AL,AL,__setup__.stock_location_ali,
__import__.location_row_AZ,AZ,__setup__.stock_location_ali,
__import__.location_family_G,G,__setup__.stock_location_medoc,
__import__.location_family_Q,Q,__setup__.stock_location_frigo,
__import__.location_family_P,P,__setup__.stock_location_materiel,
__import__.location_family_E,E,__setup__.stock_location_materiel,
