id,name,location_id/id,barcode_picking_type_id/id,kind,zone,corridor,shelf,height,box
__setup__.stock_location_PA_U01,U01,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U01,,,,
__setup__.stock_location_PA_U02,U02,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U02,,,,
__setup__.stock_location_PA_U03,U03,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U03,,,,
__setup__.stock_location_PA_U04,U04,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U04,,,,
__setup__.stock_location_PA_U05,U05,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U05,,,,
__setup__.stock_location_PA_U06,U06,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U06,,,,
__setup__.stock_location_PA_U07,U07,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U07,,,,
__setup__.stock_location_PA_U08,U08,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U08,,,,
__setup__.stock_location_PA_U09,U09,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U09,,,,
__setup__.stock_location_PA_U10,U10,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U10,,,,
__setup__.stock_location_PA_U11,U11,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U11,,,,
__setup__.stock_location_PA_U12,U12,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U12,,,,
__setup__.stock_location_PA_U13,U13,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U13,,,,
__setup__.stock_location_PA_U14,U14,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U14,,,,
__setup__.stock_location_PA_U15,U15,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U15,,,,
__setup__.stock_location_PA_U16,U16,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U16,,,,
__setup__.stock_location_PA_U17,U17,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U17,,,,
__setup__.stock_location_PA_U18,U18,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U18,,,,
__setup__.stock_location_PA_U19,U19,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U19,,,,
__setup__.stock_location_PA_U20,U20,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U20,,,,
__setup__.stock_location_PA_U21,U21,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U21,,,,
__setup__.stock_location_PA_U22,U22,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U22,,,,
__setup__.stock_location_PA_U23,U23,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking,U23,,,,
