id,master_partner_id/id
__import__.customer_15,__import__.customer_5651
__import__.customer_38,__import__.customer_5895
__import__.customer_59,__import__.customer_7457
__import__.customer_61,__import__.customer_2840
__import__.customer_75,__import__.customer_353
__import__.customer_79,__import__.customer_4676
__import__.customer_97,__import__.customer_8523
__import__.customer_104,__import__.customer_9384
__import__.customer_110,__import__.customer_4551
__import__.customer_128,__import__.customer_4672
__import__.customer_138,__import__.customer_6088
__import__.customer_158,__import__.customer_5653
__import__.customer_171,__import__.customer_4464
__import__.customer_201,__import__.customer_8227
__import__.customer_211,__import__.customer_5104
__import__.customer_241,__import__.customer_5309
__import__.customer_263,__import__.customer_8035
__import__.customer_267,__import__.customer_5964
__import__.customer_269,__import__.customer_6827
__import__.customer_285,__import__.customer_4938
__import__.customer_302,__import__.customer_5455
__import__.customer_316,__import__.customer_7967
__import__.customer_324,__import__.customer_8506
__import__.customer_352,__import__.customer_9073
__import__.customer_356,__import__.customer_5623
__import__.customer_363,__import__.customer_4025
__import__.customer_377,__import__.customer_7971
__import__.customer_388,__import__.customer_4271
__import__.customer_414,__import__.customer_8082
__import__.customer_435,__import__.customer_6929
__import__.customer_443,__import__.customer_4464
__import__.customer_458,__import__.customer_4670
__import__.customer_460,__import__.customer_4674
__import__.customer_464,__import__.customer_466
__import__.customer_473,__import__.customer_3595
__import__.customer_475,__import__.customer_2362
__import__.customer_478,__import__.customer_2549
__import__.customer_480,__import__.customer_4988
__import__.customer_484,__import__.customer_590
__import__.customer_497,__import__.customer_4486
__import__.customer_498,__import__.customer_9321
__import__.customer_506,__import__.customer_3258
__import__.customer_507,__import__.customer_5481
__import__.customer_508,__import__.customer_3953
__import__.customer_532,__import__.customer_8523
__import__.customer_562,__import__.customer_5362
__import__.customer_566,__import__.customer_3219
__import__.customer_567,__import__.customer_3128
__import__.customer_578,__import__.customer_5414
__import__.customer_581,__import__.customer_770
__import__.customer_589,__import__.customer_1469
__import__.customer_595,__import__.customer_3200
__import__.customer_597,__import__.customer_3200
__import__.customer_599,__import__.customer_3200
__import__.customer_600,__import__.customer_3200
__import__.customer_601,__import__.customer_3200
__import__.customer_603,__import__.customer_3200
__import__.customer_605,__import__.customer_3200
__import__.customer_610,__import__.customer_2203
__import__.customer_614,__import__.customer_5167
__import__.customer_618,__import__.customer_3200
__import__.customer_619,__import__.customer_3200
__import__.customer_620,__import__.customer_3200
__import__.customer_621,__import__.customer_3200
__import__.customer_622,__import__.customer_3200
__import__.customer_643,__import__.customer_4014
__import__.customer_645,__import__.customer_1686
__import__.customer_672,__import__.customer_5257
__import__.customer_677,__import__.customer_4622
__import__.customer_682,__import__.customer_8321
__import__.customer_684,__import__.customer_7910
__import__.customer_694,__import__.customer_3200
__import__.customer_696,__import__.customer_2408
__import__.customer_697,__import__.customer_8898
__import__.customer_721,__import__.customer_7478
__import__.customer_731,__import__.customer_7389
__import__.customer_735,__import__.customer_5069
__import__.customer_736,__import__.customer_3157
__import__.customer_768,__import__.customer_3968
__import__.customer_775,__import__.customer_4458
__import__.customer_778,__import__.customer_8963
__import__.customer_780,__import__.customer_2348
