pricelist_id/id,fixed_price,product_tmpl_id/id,compute_price,applied_on,id
scenario.product_pricelist_pb1,0.46,scenario.product_0011001_product_template,fixed,1_product,scenario.pricelist_item_product_0011001_pb1
scenario.product_pricelist_pb2,0.46,scenario.product_0011001_product_template,fixed,1_product,scenario.pricelist_item_product_0011001_pb2
scenario.product_pricelist_pb1,12.77,scenario.product_0011002_product_template,fixed,1_product,scenario.pricelist_item_product_0011002_pb1
scenario.product_pricelist_pb2,12.77,scenario.product_0011002_product_template,fixed,1_product,scenario.pricelist_item_product_0011002_pb2
scenario.product_pricelist_pb1,2.57,scenario.product_0014290_product_template,fixed,1_product,scenario.pricelist_item_product_0014290_pb1
scenario.product_pricelist_pb2,2.57,scenario.product_0014290_product_template,fixed,1_product,scenario.pricelist_item_product_0014290_pb2
scenario.product_pricelist_pb1,8.50,scenario.product_0015305_product_template,fixed,1_product,scenario.pricelist_item_product_0015305_pb1
scenario.product_pricelist_pb2,8.50,scenario.product_0015305_product_template,fixed,1_product,scenario.pricelist_item_product_0015305_pb2
scenario.product_pricelist_pb1,12.22,scenario.product_0021830_product_template,fixed,1_product,scenario.pricelist_item_product_0021830_pb1
scenario.product_pricelist_pb2,13.58,scenario.product_0021830_product_template,fixed,1_product,scenario.pricelist_item_product_0021830_pb2
scenario.product_pricelist_pb1,183.15,scenario.product_0022014_product_template,fixed,1_product,scenario.pricelist_item_product_0022014_pb1
scenario.product_pricelist_pb2,183.15,scenario.product_0022014_product_template,fixed,1_product,scenario.pricelist_item_product_0022014_pb2
scenario.product_pricelist_pb1,17.50,scenario.product_0026963_product_template,fixed,1_product,scenario.pricelist_item_product_0026963_pb1
scenario.product_pricelist_pb2,17.50,scenario.product_0026963_product_template,fixed,1_product,scenario.pricelist_item_product_0026963_pb2
scenario.product_pricelist_pb1,1.95,scenario.product_0027904_product_template,fixed,1_product,scenario.pricelist_item_product_0027904_pb1
scenario.product_pricelist_pb2,1.95,scenario.product_0027904_product_template,fixed,1_product,scenario.pricelist_item_product_0027904_pb2
scenario.product_pricelist_pb1,16.56,scenario.product_0029132_product_template,fixed,1_product,scenario.pricelist_item_product_0029132_pb1
scenario.product_pricelist_pb2,16.56,scenario.product_0029132_product_template,fixed,1_product,scenario.pricelist_item_product_0029132_pb2
scenario.product_pricelist_pb1,61.58,scenario.product_0029149_product_template,fixed,1_product,scenario.pricelist_item_product_0029149_pb1
scenario.product_pricelist_pb2,61.58,scenario.product_0029149_product_template,fixed,1_product,scenario.pricelist_item_product_0029149_pb2
scenario.product_pricelist_pb1,2.06,scenario.product_0030494_product_template,fixed,1_product,scenario.pricelist_item_product_0030494_pb1
scenario.product_pricelist_pb2,2.06,scenario.product_0030494_product_template,fixed,1_product,scenario.pricelist_item_product_0030494_pb2
scenario.product_pricelist_pb1,135.45,scenario.product_0035434_product_template,fixed,1_product,scenario.pricelist_item_product_0035434_pb1
scenario.product_pricelist_pb2,135.45,scenario.product_0035434_product_template,fixed,1_product,scenario.pricelist_item_product_0035434_pb2
scenario.product_pricelist_pb1,6.21,scenario.product_0037028_product_template,fixed,1_product,scenario.pricelist_item_product_0037028_pb1
scenario.product_pricelist_pb2,6.21,scenario.product_0037028_product_template,fixed,1_product,scenario.pricelist_item_product_0037028_pb2
scenario.product_pricelist_pb1,6.90,scenario.product_0037077_product_template,fixed,1_product,scenario.pricelist_item_product_0037077_pb1
scenario.product_pricelist_pb2,6.90,scenario.product_0037077_product_template,fixed,1_product,scenario.pricelist_item_product_0037077_pb2
