id,name,code,tag_ids/id
__setup__.account_analytic_account_ali_divers,Articles divers,ALI_DIVERS,__setup__.account_analytic_tag_ALIMENT
__setup__.account_analytic_account_ali_dietetique,Diététique,ALI_DIETETIQUE,__setup__.account_analytic_tag_ALIMENT
__setup__.account_analytic_account_ali_physio,Physiologique,ALI_PHYSIO,__setup__.account_analytic_tag_ALIMENT
__setup__.account_analytic_account_mat_cardio,Anesth-Rea-Cardio-Resp,MAT_CARDIO,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_conso,Consommables,MAT_CONSO,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_dentisterie,Dentisterie,MAT_DENTISTERIE,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_equipement,Equipement,MAT_EQUIPEMENT,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_img_echo,Imagerie Médicale - échographie,MAT_IMG_ECHO,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_img_endo,Imagerie Médicale - endoscopie,MAT_IMG_ENDO,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_img_radio,Imagerie Médicale - radiologie,MAT_IMG_RADIO,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_instrumentation,Instrumentation,MAT_INSTRUMENTATION,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_sav,Main d'œuvre - Service - SAV,MAT_SAV,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_marge,Marge s/vtes Alcyon,MAT_MARGE,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_rurale,Matériel de Médecine Rurale,MAT_RURALE,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_equins,"Mat, pour Equins",MAT_EQUINS,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_occasion,Occasion,MAT_OCCASION,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_ortho,Orthopedie,MAT_ORTHO,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_petshop,Petshop,MAT_PETSHOP,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_sut_bobine,Sutures en bobine,MAT_SUT_BOBINE,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_mat_sutures,Sutures en pochette,MAT_SUTURES,__setup__.account_analytic_tag_MATERIEL
__setup__.account_analytic_account_importation,Cascade importation,IMPORTATION,__setup__.account_analytic_tag_MEDICAMENT
__setup__.account_analytic_account_humain,Médicaments humains,HUMAIN,__setup__.account_analytic_tag_MEDICAMENT
__setup__.account_analytic_account_antimicrobiens,Antimicrobiens,ANTIMICROBIENS,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_antiparasite,Antiparasitaire,ANTIPARASITE,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_hormones,Hormones,HORMONES,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_oeil_oreille,Médicaments de l'oeil - oreille,OEIL_OREILLE,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_pis,medicaments du pis,PIS,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_sys_nerveux,Médicaments du système nerveux,SYS_NERVEUX,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_vasculo,Médicaments du système vasculo-circ,VASCULO,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_divers_veto,Médicaments Vétérinaire Divers,DIVERS_VETO,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_psychotropes_25,Psychotropes Annexe III,PSYCHOTROPES_25,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_stupefiant,Stupéfiants,STUPEFIANT,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_topiques,Topiques,TOPIQUES,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_vaccins,"Vaccins, sérums",VACCINS,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_vitamines,Vitamines,VITAMINES,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_MEDICAMENT_VET_BELGE"
__setup__.account_analytic_account_ali_comp,Aliments complémentaires,ALI_COMP,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_PARAPHARMACIE"
__setup__.account_analytic_account_chimiques,Chimiques (pas d'APB),CHIMIQUES,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_PARAPHARMACIE"
__setup__.account_analytic_account_divers_para,Divers parapharmacie,DIVERS_PARA,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_PARAPHARMACIE"
__setup__.account_analytic_account_homeo,"Homéopathie, Phytotérapie",HOMEO,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_PARAPHARMACIE"
__setup__.account_analytic_account_phytosanitaires,Phytosanitaires,PHYTOSANITAIRES,"__setup__.account_analytic_tag_MEDICAMENT,__setup__.account_analytic_tag_PARAPHARMACIE"
