id,property_account_expense_categ_id/id,property_account_income_categ_id/id
specific_data.product_categ_materiel,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_ali,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_medoc,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_vet_belges,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_importation,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_humain,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_parapharmacie,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_divers,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_opcli,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_coope,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_antimicrobiens,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_pis,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_oeil_oreille,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_antiparasite,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_sys_nerveux,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_vasculo,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_vitamines,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_vaccins,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_divers_veto,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_hormones,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_psychotropes_25,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_stupefiant,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_topiques,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_phytosanitaires,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_homeo,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_chimiques,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_divers_para,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_ali_comp,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_ali_dietetique,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_ali_physio,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_ali_divers,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_sutures,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_cardio,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_dentisterie,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_equins,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_rurale,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_sav,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_ortho,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_sut_bobine,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_equipement,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_instrumentation,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_img_echo,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_img_radio,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_img_endo,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_occasion,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_conso,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_petshop,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_mat_marge,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_frais,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_remises_fournisseurs,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_divers_divers,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_bonus_actionnaires,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_remises_partenariat,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_remises_geste_commercial,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_cheques_clients,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_finance_divers_service,l10n_be.1_a604,l10n_be.1_a7000
specific_data.product_categ_undefined,l10n_be.1_a604,l10n_be.1_a7000
