id,name,parent_id/id
__setup__.product_categ_materiel,Matériel,product.product_category_all
__setup__.product_categ_ali,Aliments,product.product_category_all
__setup__.product_categ_medoc,Médicaments,product.product_category_all
__setup__.product_categ_frigo,Frigo,product.product_category_all
__setup__.product_categ_vet_belges,Médicaments vétérinaires belges,__setup__.product_categ_medoc
__setup__.product_categ_importation,Cascade importation,__setup__.product_categ_medoc
__setup__.product_categ_humain,Médicaments humains,__setup__.product_categ_medoc
__setup__.product_categ_parapharmacie,Parapharmacie,__setup__.product_categ_medoc
__setup__.product_categ_antimicrobiens,Antimicrobiens,__setup__.product_categ_vet_belges
__setup__.product_categ_pis,medicaments du pis,__setup__.product_categ_vet_belges
__setup__.product_categ_oeil_oreille,Médicaments de l'oeil - oreille,__setup__.product_categ_vet_belges
__setup__.product_categ_antiparasite,Antiparasitaire,__setup__.product_categ_vet_belges
__setup__.product_categ_sys_nerveux,Médicaments du système nerveux,__setup__.product_categ_vet_belges
__setup__.product_categ_vasculo,Médicaments du système vasculo-circ,__setup__.product_categ_vet_belges
__setup__.product_categ_vitamines,Vitamines,__setup__.product_categ_vet_belges
__setup__.product_categ_vaccins,"Vaccins, sérums",__setup__.product_categ_vet_belges
__setup__.product_categ_divers_veto,Médicaments Vétérinaire Divers,__setup__.product_categ_vet_belges
__setup__.product_categ_ketamine,Kétamine,__setup__.product_categ_vet_belges
__setup__.product_categ_hormones,Hormones,__setup__.product_categ_vet_belges
__setup__.product_categ_psychotropes_25,Psychotropes ART. 25,__setup__.product_categ_vet_belges
__setup__.product_categ_stupefiant,Stupéfiants,__setup__.product_categ_vet_belges
__setup__.product_categ_topiques,Topiques,__setup__.product_categ_vet_belges
__setup__.product_categ_psychotropes_38,Psychotrope ART.38,__setup__.product_categ_vet_belges
__setup__.product_categ_phytosanitaires,Phytosanitaires,__setup__.product_categ_parapharmacie
__setup__.product_categ_homeo,"Homéopathie, Phytotérapie",__setup__.product_categ_parapharmacie
__setup__.product_categ_chimiques,Chimiques (pas d'APB),__setup__.product_categ_parapharmacie
__setup__.product_categ_divers_para,Divers parapharmacie,__setup__.product_categ_parapharmacie
__setup__.product_categ_ali_comp,Aliments complémentaires,__setup__.product_categ_parapharmacie
__setup__.product_categ_ali_dietetique,Diététique,__setup__.product_categ_ali
__setup__.product_categ_ali_physio,Physiologique,__setup__.product_categ_ali
__setup__.product_categ_mat_sutures,Sutures en pochette,__setup__.product_categ_materiel
__setup__.product_categ_mat_cardio,Anesth-Rea-Cardio-Resp,__setup__.product_categ_materiel
__setup__.product_categ_mat_dentisterie,Dentisterie,__setup__.product_categ_materiel
__setup__.product_categ_mat_equins,"Mat, pour Equins",__setup__.product_categ_materiel
__setup__.product_categ_mat_rurale,Matériel de Médecine Rurale,__setup__.product_categ_materiel
__setup__.product_categ_mat_ortho,Orthopedie,__setup__.product_categ_materiel
__setup__.product_categ_mat_sut_bobine,Sutures en bobine,__setup__.product_categ_materiel
__setup__.product_categ_mat_equipement,Equipement,__setup__.product_categ_materiel
__setup__.product_categ_mat_instrumentation,Instrumentation,__setup__.product_categ_materiel
__setup__.product_categ_mat_img_echo,Imagerie Médicale - échographie,__setup__.product_categ_materiel
__setup__.product_categ_mat_img_radio,Imagerie Médicale - radiologie,__setup__.product_categ_materiel
__setup__.product_categ_mat_img_endo,Imagerie Médicale - endoscopie,__setup__.product_categ_materiel
__setup__.product_categ_mat_occasion,Occasion,__setup__.product_categ_materiel
__setup__.product_categ_mat_conso,Consommables,__setup__.product_categ_materiel
__setup__.product_categ_mat_petshop,Petshop,__setup__.product_categ_materiel
