id,income_analytic_account_id/id,expense_analytic_account_id/id
specific_data.product_categ_materiel,,
specific_data.product_categ_ali,,
specific_data.product_categ_medoc,,
specific_data.product_categ_finance,,
specific_data.product_categ_vet_belges,,
specific_data.product_categ_importation,__setup__.account_analytic_account_importation,__setup__.account_analytic_account_importation
specific_data.product_categ_humain,__setup__.account_analytic_account_humain,__setup__.account_analytic_account_humain
specific_data.product_categ_parapharmacie,__setup__.account_analytic_account_divers_para,__setup__.account_analytic_account_divers_para
specific_data.product_categ_finance_divers,,
specific_data.product_categ_finance_opcli,,
specific_data.product_categ_finance_coope,,
specific_data.product_categ_antimicrobiens,__setup__.account_analytic_account_antimicrobiens,__setup__.account_analytic_account_antimicrobiens
specific_data.product_categ_pis,__setup__.account_analytic_account_pis,__setup__.account_analytic_account_pis
specific_data.product_categ_oeil_oreille,__setup__.account_analytic_account_oeil_oreille,__setup__.account_analytic_account_oeil_oreille
specific_data.product_categ_antiparasite,__setup__.account_analytic_account_antiparasite,__setup__.account_analytic_account_antiparasite
specific_data.product_categ_sys_nerveux,__setup__.account_analytic_account_sys_nerveux,__setup__.account_analytic_account_sys_nerveux
specific_data.product_categ_vasculo,__setup__.account_analytic_account_vasculo,__setup__.account_analytic_account_vasculo
specific_data.product_categ_vitamines,__setup__.account_analytic_account_vitamines,__setup__.account_analytic_account_vitamines
specific_data.product_categ_vaccins,__setup__.account_analytic_account_vaccins,__setup__.account_analytic_account_vaccins
specific_data.product_categ_divers_veto,__setup__.account_analytic_account_divers_veto,__setup__.account_analytic_account_divers_veto
specific_data.product_categ_hormones,__setup__.account_analytic_account_hormones,__setup__.account_analytic_account_hormones
specific_data.product_categ_psychotropes_25,__setup__.account_analytic_account_psychotropes_25,__setup__.account_analytic_account_psychotropes_25
specific_data.product_categ_stupefiant,__setup__.account_analytic_account_stupefiant,__setup__.account_analytic_account_stupefiant
specific_data.product_categ_topiques,__setup__.account_analytic_account_topiques,__setup__.account_analytic_account_topiques
specific_data.product_categ_phytosanitaires,__setup__.account_analytic_account_phytosanitaires,__setup__.account_analytic_account_phytosanitaires
specific_data.product_categ_homeo,__setup__.account_analytic_account_homeo,__setup__.account_analytic_account_homeo
specific_data.product_categ_chimiques,__setup__.account_analytic_account_chimiques,__setup__.account_analytic_account_chimiques
specific_data.product_categ_divers_para,__setup__.account_analytic_account_divers_para,__setup__.account_analytic_account_divers_para
specific_data.product_categ_ali_comp,__setup__.account_analytic_account_ali_comp,__setup__.account_analytic_account_ali_comp
specific_data.product_categ_ali_dietetique,__setup__.account_analytic_account_ali_dietetique,__setup__.account_analytic_account_ali_dietetique
specific_data.product_categ_ali_physio,__setup__.account_analytic_account_ali_physio,__setup__.account_analytic_account_ali_physio
specific_data.product_categ_ali_divers,__setup__.account_analytic_account_ali_divers,__setup__.account_analytic_account_ali_divers
specific_data.product_categ_mat_sutures,__setup__.account_analytic_account_mat_sutures,__setup__.account_analytic_account_mat_sutures
specific_data.product_categ_mat_cardio,__setup__.account_analytic_account_mat_cardio,__setup__.account_analytic_account_mat_cardio
specific_data.product_categ_mat_dentisterie,__setup__.account_analytic_account_mat_dentisterie,__setup__.account_analytic_account_mat_dentisterie
specific_data.product_categ_mat_equins,__setup__.account_analytic_account_mat_equins,__setup__.account_analytic_account_mat_equins
specific_data.product_categ_mat_rurale,__setup__.account_analytic_account_mat_rurale,__setup__.account_analytic_account_mat_rurale
specific_data.product_categ_mat_sav,__setup__.account_analytic_account_mat_sav,__setup__.account_analytic_account_mat_sav
specific_data.product_categ_mat_ortho,__setup__.account_analytic_account_mat_ortho,__setup__.account_analytic_account_mat_ortho
specific_data.product_categ_mat_sut_bobine,__setup__.account_analytic_account_mat_sut_bobine,__setup__.account_analytic_account_mat_sut_bobine
specific_data.product_categ_mat_equipement,__setup__.account_analytic_account_mat_equipement,__setup__.account_analytic_account_mat_equipement
specific_data.product_categ_mat_instrumentation,__setup__.account_analytic_account_mat_instrumentation,__setup__.account_analytic_account_mat_instrumentation
specific_data.product_categ_mat_img_echo,__setup__.account_analytic_account_mat_img_echo,__setup__.account_analytic_account_mat_img_echo
specific_data.product_categ_mat_img_radio,__setup__.account_analytic_account_mat_img_radio,__setup__.account_analytic_account_mat_img_radio
specific_data.product_categ_mat_img_endo,__setup__.account_analytic_account_mat_img_endo,__setup__.account_analytic_account_mat_img_endo
specific_data.product_categ_mat_occasion,__setup__.account_analytic_account_mat_occasion,__setup__.account_analytic_account_mat_occasion
specific_data.product_categ_mat_conso,__setup__.account_analytic_account_mat_conso,__setup__.account_analytic_account_mat_conso
specific_data.product_categ_mat_petshop,__setup__.account_analytic_account_mat_petshop,__setup__.account_analytic_account_mat_petshop
specific_data.product_categ_mat_marge,__setup__.account_analytic_account_mat_marge,__setup__.account_analytic_account_mat_marge
specific_data.product_categ_finance_frais,,
specific_data.product_categ_finance_remises_fournisseurs,,
specific_data.product_categ_finance_divers_divers,,
specific_data.product_categ_finance_bonus_actionnaires,,
specific_data.product_categ_finance_remises_partenariat,,
specific_data.product_categ_finance_remises_geste_commercial,,
specific_data.product_categ_finance_cheques_clients,,
specific_data.product_categ_finance_divers_service,,
specific_data.product_categ_undefined,,
