id/id,code_intrastat
__import__.product_8342591_product_template,48192000
__import__.product_5904040_product_template,64011000
__import__.product_5904045_product_template,64011000
__import__.product_8038657_product_template,64039193
__import__.product_8120001_product_template,30023000
__import__.product_6825009_product_template,23091051
__import__.product_5829273_product_template,23091051
__import__.product_5826197_product_template,23091031
__import__.product_8211067_product_template,30059099
__import__.product_6825144_product_template,23091031
__import__.product_7351524_product_template,23091051
__import__.product_5826293_product_template,23091031
__import__.product_5822115_product_template,23091011
__import__.product_7241333_product_template,23091031
__import__.product_5822233_product_template,23091031
__import__.product_5992145_product_template,63079092
__import__.product_5823129_product_template,23091051
__import__.product_5826139_product_template,23091051
__import__.product_6969624_product_template,33051000
__import__.product_8002429_product_template,90183110
__import__.product_7420008_product_template,30023000
__import__.product_5828690_product_template,23091051
__import__.product_6828887_product_template,23091051
__import__.product_5810178_product_template,23091051
__import__.product_5512004_product_template,30023000
__import__.product_5810545_product_template,23091031
__import__.product_8120637_product_template,23099096
__import__.product_5810745_product_template,23091051
__import__.product_5394006_product_template,23099096
__import__.product_5043552_product_template,90183900
__import__.product_1071125_product_template,33061000
__import__.product_1575323_product_template,63079092
__import__.product_2936797_product_template,30043900
__import__.product_3085628_product_template,30049000
__import__.product_1300235_product_template,30023000
__import__.product_4900402_product_template,23091011
__import__.product_4910101_product_template,23091011
__import__.product_5394002_product_template,23099096
__import__.product_2310399_product_template,30023000
__import__.product_4469981_product_template,33051000
__import__.product_1251004_product_template,23091031
__import__.product_4970037_product_template,23091011
__import__.product_4950052_product_template,23091011
__import__.product_4270142_product_template,23091051
__import__.product_4007025_product_template,23091031
__import__.product_4007021_product_template,23091031
__import__.product_4500461_product_template,23091031
__import__.product_4500425_product_template,23091031
__import__.product_4500424_product_template,23091031
__import__.product_4500281_product_template,23091031
__import__.product_4500325_product_template,23091031
__import__.product_2458115_product_template,30049000
__import__.product_2792133_product_template,30049000
__import__.product_4213014_product_template,23091051
__import__.product_2915437_product_template,23091031
__import__.product_4290045_product_template,23091011
__import__.product_4990950_product_template,23091011
__import__.product_3542883_product_template,30023000
__import__.product_5811141_product_template,23091051
__import__.product_5221123_product_template,23091011
__import__.product_5221083_product_template,23091011
__import__.product_5304100_product_template,90183900
__import__.product_6040053_product_template,90183900
__import__.product_8063508_product_template,96032980
__import__.product_1239091_product_template,23091031
__import__.product_1239335_product_template,23091031
__import__.product_5829266_product_template,23091051
__import__.product_6827362_product_template,23091031
__import__.product_5828097_product_template,23091051
__import__.product_6825011_product_template,23091051
