id/id,name
__import__.product_0004528_product_template,PRO PLAN DOG PUPPY ATHLETIC3KGAGNEAU
__import__.product_0004588_product_template,PRO PLAN DOG PUPPY ATHLETIC 15KG
__import__.product_0159800_product_template,SHN DOG MINI STARTER  1KG
__import__.product_0159820_product_template,SHN DOG MINI STARTER 3KG
__import__.product_0159830_product_template,"SHN DOG MINI STARTER 8,5KG"
__import__.product_0159860_product_template,SHN DOG MEDIUM STARTER  1KG
__import__.product_0159870_product_template,SHN DOG MEDIUM STARTER  4KG
__import__.product_0159880_product_template,SHN DOG MEDIUM STARTER 12KG
__import__.product_0159910_product_template,SHN DOG MAXI STARTER  1KG
__import__.product_0159920_product_template,SHN DOG MAXI STARTER  4KG
__import__.product_0159930_product_template,SHN DOG MAXI STARTER 15KG
__import__.product_0159960_product_template,SHN DOG GIANT STARTER  1KG
__import__.product_0159970_product_template,SHN DOG GIANT STARTER  4KG
__import__.product_0159980_product_template,SHN DOG GIANT STARTER 15KG
__import__.product_0422027_product_template,NUTRIBIRD G14 TROPICAL 4KG
__import__.product_0631470_product_template,ROYAL CANIN CANIN RENAL 14KG
__import__.product_0639730_product_template,VET CAT YOUNG ADULT 10KG
__import__.product_0657793_product_template,"SPECIFIC CXD PHYSIO 2,5KG"
__import__.product_0657807_product_template,"SPECIFIC CXD PHYSIO 7,5KG"
__import__.product_1037500_product_template,PRO PLAN DOG LIGHT 15KG POULET
__import__.product_1047500_product_template,PRO PLAN DOG SENIOR 15KG POULET
__import__.product_1160402_product_template,SPORTINGLIFE TRAIL 4300 15KG
__import__.product_1160452_product_template,SPORTINGLIFE ENDURANCE 4800 15KG
__import__.product_1180053_product_template,GERMAN SHEPHERD JUNIOR 3KG
__import__.product_1180059_product_template,GERMAN SHEPHERD JUNIOR 12KG
__import__.product_1180061_product_template,GERMAN SHEPHERD 3KG
__import__.product_1180062_product_template,GERMAN SHEPHERD 12KG
__import__.product_1180071_product_template,LABRADOR RET  3KG
__import__.product_1180072_product_template,LABRADOR RET 12KG
__import__.product_1180083_product_template,LABRADOR RET  JUNIOR  3KG
__import__.product_1180086_product_template,LABRADOR RET  JUNIOR 12KG
__import__.product_1180091_product_template,GERMAN SHEPHERD 14KG (12+2KG)
__import__.product_1190103_product_template,SHN DOG STARTER PUPPY 2KG
__import__.product_1190110_product_template,SHN DOG STARTER PUPPY 10KG
__import__.product_1190302_product_template,SHN DOG BABYDOG MILK 2KG
__import__.product_1190310_product_template,SHN DOG STARTER MOUSSE 190GR
__import__.product_1190400_product_template,EDUC 60x50GR
__import__.product_1190401_product_template,ENERGY BOOSTER 60x50GR
__import__.product_1200583_product_template,SUPREME SCIENCE COBAYE 10KG
__import__.product_1200584_product_template,SUPREME SCIENCE RAT 2KG
__import__.product_1200585_product_template,"SUPREME SCIENCE CHINCHILLA 1,5KG"
__import__.product_1201088_product_template,SUPREME SCIENCE CHINCHILLA 5x350GR
__import__.product_1201090_product_template,SUPREME SCIENCE FURET 5x350GR
__import__.product_1201091_product_template,SUPREME SCIENCE FURET 2KG
__import__.product_1201092_product_template,SUPREME SCIENCE COBAYE 5x350GR
__import__.product_1201093_product_template,SUPREME SCIENCE LAPIN 5x350GR
__import__.product_1201094_product_template,SUPREME SCIENCE LAPIN 3KG
__import__.product_1201095_product_template,SUPREME SCIENCE RAT 350GR
__import__.product_1202403_product_template,SUPREME SCIENCE DEGOE OCTODON 5x350gr
__import__.product_1202404_product_template,SUPREME SCIENCE HAMSTER 5x350GR
__import__.product_1202405_product_template,SUPREME SCIENCE SOURIS 5x350GR
__import__.product_1202406_product_template,SUPREME SCIENCE LAPIN JUNIOR 2KG
__import__.product_1202407_product_template,SUPREME SCIENCE LAPIN JUNIOR 5x350GR
__import__.product_1202408_product_template,SUPREME SCIENCE LAPIN MATURE 2KG
__import__.product_1202409_product_template,SUPREME SCIENCE LAPIN MATURE 5x350GR
__import__.product_1205182_product_template,VETCAREPLUS DIGESTIVE LAPIN 1KG
__import__.product_1205183_product_template,VETCAREPLUS WEIGHT LAPIN 1KG
__import__.product_1205184_product_template,SUPREME SCIENCE RECOVERY PLUS 10x20GR
__import__.product_1205185_product_template,VETCAREPLUS URINARY LAPIN 1KG
__import__.product_1205186_product_template,SUPREME SCIENCE RECOVERY TUB 500GR
__import__.product_1205187_product_template,PREME SCIENCE RECOVERY TUB PLUS 3
__import__.product_1220268_product_template,TROVET ASD CHIEN 3KG
__import__.product_1220276_product_template,TROVET ASD CHAT 3KG
__import__.product_1220284_product_template,TROVET HLD CHIEN 3KG
__import__.product_1220292_product_template,TROVET HLD CHAT 3KG
__import__.product_1220318_product_template,TROVET RID CHAT 3KG
__import__.product_1229063_product_template,DACHSHUND TECKEL 6KG
__import__.product_1230031_product_template,SHN DOG XSMALL JUNIOR  500GR
__import__.product_1230032_product_template,"SHN DOG XSMALL JUNIOR 1,5KG"
__import__.product_1230033_product_template,SHN DOG XSMALL JUNIOR 3KG
__import__.product_1230041_product_template,SHN DOG XSMALL ADULT  500GR
__import__.product_1230042_product_template,"SHN DOG XSMALL ADULT 1,5KG"
__import__.product_1230043_product_template,SHN DOG XSMALL ADULT 3KG
__import__.product_1230061_product_template,SHN DOG XSMALL MATURE +8  500GR
__import__.product_1230062_product_template,"SHN DOG XSMALL MATURE +8 1,5KG"
__import__.product_1230063_product_template,SHN DOG XSMALL MATURE +8 3KG
__import__.product_1230068_product_template,SHN DOG XSMALL MATURE +12  500GR
__import__.product_1230069_product_template,"SHN DOG XSMALL MATURE +12 1,5KG"
__import__.product_1231001_product_template,SHN DOG MINI JUNIOR 1KG
__import__.product_1231003_product_template,SHN DOG MINI JUNIOR 3KG
__import__.product_1231009_product_template,"SHN DOG MINI JUNIOR 8,5KG"
__import__.product_1231021_product_template,SHN DOG MINI JUNIOR  800GR
__import__.product_1231022_product_template,SHN DOG MINI JUNIOR 2KG
__import__.product_1231024_product_template,SHN DOG MINI JUNIOR 4KG
__import__.product_1231025_product_template,SHN DOG MINI JUNIOR 8KG
__import__.product_1231202_product_template,SHN DOG MINI ADULT 2KG
__import__.product_1231204_product_template,SHN DOG MINI ADULT 4KG
__import__.product_1231206_product_template,SHN DOG MINI ADULT  500GR
__import__.product_1231208_product_template,SHN DOG MINI ADULT 8KG
__import__.product_1231331_product_template,SHN DOG MINI ADULT 800GR
__import__.product_1231403_product_template,SHN DOG MINI MATURE +8 2KG
__import__.product_1231405_product_template,SHN DOG MINI MATURE +8 4KG
__import__.product_1231408_product_template,SHN DOG MINI MATURE +8 8KG
__import__.product_1231963_product_template,SHN DOG MEDIUM JUNIOR 10KG
__import__.product_1232002_product_template,SHN DOG MEDIUM JUNIOR  1KG
__import__.product_1232005_product_template,SHN DOG MEDIUM JUNIOR  4KG
__import__.product_1232008_product_template,SHN DOG MEDIUM JUNIOR 9KG
__import__.product_1232014_product_template,SHN DOG MEDIUM JUNIOR 15KG
__import__.product_1232203_product_template,SHN DOG MEDIUM ADULT  1KG
__import__.product_1232204_product_template,SHN DOG MEDIUM ADULT  4KG
__import__.product_1232207_product_template,"SHN DOG MEDIUM ADULT 7,5KG"
__import__.product_1232210_product_template,SHN DOG MEDIUM ADULT 10KG
__import__.product_1232215_product_template,SHN DOG MEDIUM ADULT 15KG
__import__.product_1232322_product_template,SHN DOG MEDIUM ADULT 18KG (15+3)
__import__.product_1232404_product_template,SHN DOG MEDIUM ADULT 7+ (MATURE)  4KG
__import__.product_1232408_product_template,SHN DOG MEDIUM MATURE 8KG
__import__.product_1232410_product_template,SHN DOG MEDIUM ADULT 7+ (MATURE) 10KG
__import__.product_1232415_product_template,SHN DOG MEDIUM ADULT 7+ (MATURE) 15KG
__import__.product_1232511_product_template,SHN DOG MEDIUM AGEING 10+ 3KG
__import__.product_1232512_product_template,SHN DOG MEDIUM AGEING 10+ 15KG
__import__.product_1233963_product_template,SHN DOG MAXI JUNIOR 10KG
__import__.product_1234002_product_template,SHN DOG MAXI JUNIOR  1KG
__import__.product_1234005_product_template,SHN DOG MAXI JUNIOR 4KG
__import__.product_1234009_product_template,SHN DOG MAXI JUNIOR 8KG
__import__.product_1234014_product_template,SHN DOG MAXI JUNIOR 15KG
__import__.product_1234051_product_template,SHN DOG MAXI JUNIOR ACTIVE  1KG
__import__.product_1234052_product_template,SHN DOG MAXI JUNIOR ACTIVE  4KG
__import__.product_1234053_product_template,SHN DOG MAXI JUNIOR ACTIVE 15KG
__import__.product_1234203_product_template,SHN DOG MAXI ADULT  1KG
__import__.product_1234204_product_template,SHN DOG MAXI ADULT 4KG
__import__.product_1234208_product_template,SHN DOG MAXI ADULT 8KG
__import__.product_1234210_product_template,SHN DOG MAXI ADULT 10KG
__import__.product_1234215_product_template,SHN DOG MAXI ADULT 15KG
__import__.product_1234321_product_template,SHN DOG MAXI ADULT 18KG (15+3)
__import__.product_1234404_product_template,SHN DOG MAXI ADULT 5+ (MATURE) 4KG
__import__.product_1234408_product_template,SHN DOG MAXI MATURE 8KG
__import__.product_1234410_product_template,SHN DOG MAXI ADULT 5+ (MATURE) 10KG
__import__.product_1234415_product_template,SHN DOG MAXI ADULT 5+ (MATURE) 15KG
__import__.product_1234434_product_template,SHN DOGMAXIADULT5+(MATURE)18KG(15+3)
__import__.product_1234472_product_template,SHN DOG MAXI AGEING 8+ 15KG
__import__.product_1235004_product_template,SHN DOG MAXI BABYDOG 4KG
__import__.product_1235009_product_template,"SHN DOG MAXI BABYDOG 9,5KG"
__import__.product_1235010_product_template,SHN DOG MAXI BABYDOG 15KG
__import__.product_1237004_product_template,SHN DOG GIANT BABYDOG 4KG
__import__.product_1237015_product_template,SHN DOG GIANT BABYDOG 15KG
__import__.product_1237091_product_template,SHN DOG GIANT PUPPY ACTIVE 15KG
__import__.product_1237092_product_template,GHN DOG GIANT PUPPY ACTIVE 15KG
__import__.product_1237104_product_template,SHN DOG GIANT PUPPY 4KG
__import__.product_1237115_product_template,SHN DOG GIANT PUPPY 15KG
__import__.product_1237291_product_template,SHN DOG GIANT JUNIOR ACTIVE 15KG
__import__.product_1237304_product_template,SHN DOG GIANT JUNIOR 4KG
__import__.product_1237315_product_template,SHN DOG GIANT JUNIOR 15KG
__import__.product_1237504_product_template,SHN DOG GIANT ADULT 4KG
__import__.product_1237515_product_template,SHN DOG GIANT ADULT 15KG
__import__.product_1237532_product_template,SHN DOG GIANT ADULT 18KG (15+3KG)
__import__.product_1238005_product_template,"CHIHUAHUA JUNIOR 1,5KG"
__import__.product_1238021_product_template,"DACHSHUND TECKEL 7,5KG"
__import__.product_1238041_product_template,CAVALIER KING CHARLES JUNIOR 500GR
__import__.product_1238042_product_template,"CAVALIER KING CHARLES JUNIOR 1,5KG"
__import__.product_1238049_product_template,WEST HIGHLAND WHITE TERRIER 3KG
__import__.product_1238054_product_template,"PUG JUNIOR 1,5KG"
__import__.product_1238060_product_template,PUG 3KG
__import__.product_1238064_product_template,BULLDOG FRENCH  JUNIOR  3KG
__import__.product_1238069_product_template,"BULLDOG FRENCH  1,5KG"
__import__.product_1238072_product_template,BULLDOG FRENCH 9KG
__import__.product_1238076_product_template,COCKER 12KG
__import__.product_1238081_product_template,JACK RUSSEL JUNIOR  500GR
__import__.product_1238082_product_template,"JACK RUSSEL JUNIOR 1,5KG"
__import__.product_1238083_product_template,JACK RUSSEL JUNIOR 3KG
__import__.product_1238089_product_template,"JACK RUSSEL ADULT 1,5KG"
__import__.product_1238090_product_template,JACK RUSSEL ADULT 3KG
__import__.product_1238091_product_template,"JACK RUSSEL ADULT 7,5KG"
__import__.product_1238096_product_template,BEAGLE  3KG
__import__.product_1238097_product_template,BEAGLE 12KG
__import__.product_1238102_product_template,BICHON FRISE  500GR
__import__.product_1238103_product_template,"BICHON FRISE 1,5KG"
__import__.product_1239002_product_template,"YORKSHIRE 1,5KG"
__import__.product_1239007_product_template,"YORKSHIRE 7,5KG"
__import__.product_1239051_product_template,YORKSHIRE 500GR
__import__.product_1239059_product_template,DACHSHUND TECKEL 500GR
__import__.product_1239062_product_template,"DACHSHUND TECKEL 1,5KG"
__import__.product_1239063_product_template,DACHSHUND TECKEL 6KG
__import__.product_1239073_product_template,"POODLE CANICHE 7,5KG"
__import__.product_1239078_product_template,POODLE CANICHE 500GR
__import__.product_1239081_product_template,BOXER 3KG
__import__.product_1239082_product_template,BOXER 12KG
__import__.product_1239083_product_template,BOXER 14KG (12+2KG)
__import__.product_1239091_product_template,BULLDOG ENG 3KG
__import__.product_1239092_product_template,BULLDOG ENG 12KG
__import__.product_1239093_product_template,BULLDOG ENG 14KG (12+2KG)
__import__.product_1239099_product_template,"POODLE CANICHE 1,5KG"
__import__.product_1239103_product_template,"SHI-TZU 1,5KG"
__import__.product_1239104_product_template,SHI-TZU  500GR
__import__.product_1239105_product_template,"SHI-TZU 7,5KG"
__import__.product_1239112_product_template,"CHIHUAHUA  1,5KG"
__import__.product_1239113_product_template,CHIHUAHUA   500GR
__import__.product_1239114_product_template,CHIHUAHUA 3KG
__import__.product_1239303_product_template,SCHNAUZER 3KG
__import__.product_1239304_product_template,SCHNAUZER 500GR
__import__.product_1239321_product_template,CAVALIER KING CHARLES  500GR
__import__.product_1239322_product_template,"CAVALIER KING CHARLES 1,5KG"
__import__.product_1239323_product_template,"CAVALIER KING CHARLES 7,5KG"
__import__.product_1239333_product_template,BULLDOG ENG JUNIOR 3KG
__import__.product_1239335_product_template,BULLDOG ENG JUNIOR 12KG
__import__.product_1239343_product_template,COCKER  3KG
__import__.product_1239345_product_template,COCKER 13KG
__import__.product_1239353_product_template,BOXER JUNIOR 3KG
__import__.product_1239355_product_template,BOXER JUNIOR 12KG
__import__.product_1239361_product_template,GOLDEN RETRIEVER  3KG
__import__.product_1239362_product_template,GOLDEN RETRIEVER 12KG
__import__.product_1239363_product_template,GOLDEN RETRIEVER 14KG (12+2KG)
__import__.product_1239370_product_template,ROTTWEILER 3KG
__import__.product_1239371_product_template,ROTTWEILER 12KG
__import__.product_1239381_product_template,GOLDEN RETRIEVER  JUNIOR  3KG
__import__.product_1239382_product_template,GOLDEN RETRIEVER  JUNIOR 12KG
__import__.product_1239391_product_template,SETTER 3KG
__import__.product_1239392_product_template,SETTER 12KG
__import__.product_1239401_product_template,GREAT DANE DOGUE ALLEMAND 3KG
__import__.product_1239402_product_template,GREAT DANE DOGUE ALLEMAND 12KG
__import__.product_1239411_product_template,WEST HIGHLAND WHITE TERRIER 500GR
__import__.product_1239412_product_template,"WEST HIGHLAND WHITE TERRIER 1,5KG"
__import__.product_1239413_product_template,WEST HIGHLAND WHITE TERRIER 4KG
__import__.product_1239421_product_template,PUG 500GR
__import__.product_1239422_product_template,"PUG 1,5KG"
__import__.product_1239451_product_template,BULLDOG FRENCH  JUNIOR  1KG
__import__.product_1239452_product_template,BULLDOG FRENCH  JUNIOR  4KG
__import__.product_1239453_product_template,BULLDOG FRENCH  JUNIOR 10KG
__import__.product_1239461_product_template,BULLDOG FRENCH  1KG
__import__.product_1239462_product_template,BULLDOG FRENCH  4KG
__import__.product_1239465_product_template,BULLDOG FRENCH 10KG
__import__.product_1239471_product_template,DALMATIEN JUNIOR 1KG
__import__.product_1239472_product_template,DALMATIEN JUNIOR 12KG
__import__.product_1239481_product_template,DALMATIEN 1KG
__import__.product_1239482_product_template,DALMATIEN 12KG
__import__.product_1239492_product_template,LABRADOR RET 14KG (12+2KG)
__import__.product_1239580_product_template,"SPORTINGLIFE AGILITY SMALL DOG 4100 1,5K"
__import__.product_1239581_product_template,"SPORTINGLIFE AGILITY SMALL DOG 4100 7,5K"
__import__.product_1239586_product_template,SPORTINGLIFE AGILITY LARGE DOG 4100 15KG
__import__.product_1240031_product_template,HT42D 17KG
__import__.product_1240032_product_template,HT42D 10KG
__import__.product_1250801_product_template,MAINE COON 400GR
__import__.product_1250802_product_template,MAINE COON 2KG
__import__.product_1250804_product_template,MAINE COON 4KG
__import__.product_1250815_product_template,KITTEN MAINE COON 36   400gr
__import__.product_1250816_product_template,KITTEN MAINE COON 36  4KG
__import__.product_1250817_product_template,KITTEN MAINE COON 36 10KG
__import__.product_1250831_product_template,SIAMESE 400GR
__import__.product_1250832_product_template,SIAMESE 2KG
__import__.product_1250834_product_template,SIAMESE 4KG
__import__.product_1250840_product_template,SIAMESE 10KG
__import__.product_1250861_product_template,PERSIAN KITTEN   400GR
__import__.product_1250862_product_template,PERSIAN KITTEN  2KG
__import__.product_1250864_product_template,PERSIAN KITTEN  4KG
__import__.product_1250870_product_template,PERSIAN KITTEN 10KG
__import__.product_1250881_product_template,PERSIAN    400GR
__import__.product_1250882_product_template,PERSIAN   2KG
__import__.product_1250884_product_template,PERSIAN   4KG
__import__.product_1250890_product_template,PERSIAN  10KG
__import__.product_1250901_product_template,SPHINX 500GR
__import__.product_1250902_product_template,SPHINX 2KG
__import__.product_1250903_product_template,SPHINX 10KG
__import__.product_1250921_product_template,BRITISH SHORTHAIR 400GR
__import__.product_1250922_product_template,BRITISH SHORTHAIR 2KG
__import__.product_1250923_product_template,BRITISH SHORTHAIR 4KG
