id/id,name
__import__.product_0004528_product_template,PRO PLAN DOG PUPPY ATHLETIC 3KG LAM
__import__.product_0004588_product_template,PRO PLAN DOG PUPPY ATHLETIC 15KG
__import__.product_0159800_product_template,SHN DOG MINI STARTER  1KG
__import__.product_0159820_product_template,SHN DOG MINI STARTER 3KG
__import__.product_0159830_product_template,"SHN DOG MINI STARTER 8,5KG"
__import__.product_0159860_product_template,SHN DOG MEDIUM STARTER 1KG
__import__.product_0159870_product_template,SHN DOG MEDIUM STARTER 4KG
__import__.product_0159880_product_template,SHN DOG MEDIUM STARTER 12KG
__import__.product_0159910_product_template,SHN DOG MAXI STARTER  1KG
__import__.product_0159920_product_template,SHN DOG MAXI STARTER  4KG
__import__.product_0159930_product_template,SHN DOG MAXI STARTER 15KG
__import__.product_0159960_product_template,SHN DOG GIANT STARTER  1KG
__import__.product_0159970_product_template,SHN DOG GIANT STARTER  4KG
__import__.product_0159980_product_template,SHN DOG GIANT STARTER 15KG
__import__.product_0422027_product_template,NUTRIBIRD G14 TROPICAL 4KG
__import__.product_0631470_product_template,!!! ROYAL CANIN CANIN RENAL 14KG
__import__.product_0639730_product_template,!!! VET CAT YOUNG ADULT 10KG
__import__.product_0657793_product_template,"!!! SPECIFIC CXD PHYSIO 2,5KG"
__import__.product_0657807_product_template,"!!! SPECIFIC CXD PHYSIO 7,5KG"
__import__.product_1037500_product_template,PRO PLAN LIGHT 15KG
__import__.product_1047500_product_template,PRO PLAN SENIOR 15KG
__import__.product_1160402_product_template,SPORTING LIFE TRAIL 4300 15KG
__import__.product_1160452_product_template,ENERGY 4800 15KG
__import__.product_1180053_product_template,GERMAN SHEPHERD JUNIOR 3KG
__import__.product_1180059_product_template,GERMAN SHEPHERD JUNIOR 12KG
__import__.product_1180061_product_template,GERMAN SHEPHERD 3KG
__import__.product_1180062_product_template,GERMAN SHEPHERD 12KG
__import__.product_1180071_product_template,LABRADOR 3KG
__import__.product_1180072_product_template,LABRADOR 12KG
__import__.product_1180083_product_template,LABRADOR RET JUNIOR 3KG
__import__.product_1180086_product_template,LABRADOR JUNIOR 12KG
__import__.product_1180091_product_template,GERMAN SHEPHERD 14KG (12+2KG)
__import__.product_1190103_product_template,SHN DOG STARTER PUPPY 2KG
__import__.product_1190110_product_template,SHN DOG STARTER PUPPY 10KG
__import__.product_1190302_product_template,SHN DOG FIRST AGE 2KG
__import__.product_1190310_product_template,SHN DOG STARTER MOUSSE 190GR
__import__.product_1190400_product_template,EDUC 60x50GR
__import__.product_1190401_product_template,ENERGY BOOSTER 60x50GR
__import__.product_1200583_product_template,SUPREME SCIENCE CAVIA  10KG
__import__.product_1200584_product_template,SUPREME SCIENCE RAT 2KG
__import__.product_1200585_product_template,SUPREME SCIENCE CHINCHILLA 2KG
__import__.product_1201088_product_template,SUPREME SCIENCE CHINCHILLA 5x350GR
__import__.product_1201090_product_template,SUPREME SCIENCE FRET 5x350GR
__import__.product_1201091_product_template,SUPREME SCIENCE FRET 2KG
__import__.product_1201092_product_template,SUPREME SCIENCE CAVIA  5x350GR
__import__.product_1201093_product_template,SUPREME SCIENCE KONIJN 5x350GR
__import__.product_1201094_product_template,SUPREME SCIENCE KONIJN 3KG
__import__.product_1201095_product_template,SUPREME SCIENCE RAT 350GR
__import__.product_1202403_product_template,SCIENCE SELECTIVE DEGOE OCTODON 5x350gr
__import__.product_1202404_product_template,SUPREME SCIENCE HAMSTER 5x350GR
__import__.product_1202405_product_template,SUPREME SCIENCE MOUSE 5x350GR
__import__.product_1202406_product_template,SUPREME SCIENCE KONIJN JUNIOR 2KG
__import__.product_1202407_product_template,SUPREME SCIENCE KONIJN JUNIOR 5x350GR
__import__.product_1202408_product_template,SUPREME SCIENCE KONIJN MATURE 2KG
__import__.product_1202409_product_template,SUPREME SCIENCE KONIJN MATURE 5x350GR
__import__.product_1205182_product_template,VETCAREPLUS DIGESTIVE 1KG
__import__.product_1205183_product_template,VETCAREPLUS WEIGHT 1KG
__import__.product_1205184_product_template,SUPREME SCIENCE RECOVERY PLUS 10x20GR
__import__.product_1205185_product_template,VETCAREPLUS URINARY 1KG
__import__.product_1205186_product_template,SUPREME SCIENCE RECOVERY TUB 500GR
__import__.product_1205187_product_template,SUPREME SCIENCE RECOVERY TUB PLUS 300GR
__import__.product_1220268_product_template,TROVET ASD HOND 3KG
__import__.product_1220276_product_template,TROVET ASD KAT 3KG
__import__.product_1220284_product_template,TROVET HLD HOND 3KG
__import__.product_1220292_product_template,TROVET HLD KAT 3KG
