id,description_picking
__import__.product_8015521,G
__import__.product_8019944,E
__import__.product_8020781,E
__import__.product_8021556,E
__import__.product_8023064,E
__import__.product_8023704,E
__import__.product_8024796,E
__import__.product_8013203,E
__import__.product_8039065,E
__import__.product_8019453,E
__import__.product_8007639,G
__import__.product_8007591,G
__import__.product_8014697,E
__import__.product_8044149,G
__import__.product_6112332,E
__import__.product_8014639,G
__import__.product_1284579,Q
__import__.product_1284561,Q
__import__.product_1013028,G
__import__.product_1246701,G
__import__.product_0399782,G
__import__.product_1179985,G
__import__.product_0399907,G
__import__.product_0275362,G
__import__.product_0275370,G
__import__.product_0399915,G
__import__.product_0259754,G
__import__.product_1151687,Q
__import__.product_1065606,G
__import__.product_1013119,G
__import__.product_0030494,G
__import__.product_0110000,G
__import__.product_0444240,G
__import__.product_0478362,G
__import__.product_0497669,G
__import__.product_0202184,G
__import__.product_0262113,G
__import__.product_0891283,G
__import__.product_1047331,G
__import__.product_1225879,G
__import__.product_1082122,G
__import__.product_1107440,G
__import__.product_1286343,G
__import__.product_0878066,Q
__import__.product_1395904,Q
__import__.product_1444892,Q
__import__.product_1202233,Q
__import__.product_1202241,Q
__import__.product_1425149,G
__import__.product_0287342,G
__import__.product_1080241,G
__import__.product_1411453,Q
__import__.product_1120880,G
__import__.product_0884064,G
__import__.product_1400500,G
__import__.product_1505000,G
__import__.product_1505016,G
__import__.product_1505017,G
__import__.product_8008277,E
__import__.product_8014361,E
__import__.product_0817197,G
__import__.product_0482240,G
__import__.product_1308451,G
__import__.product_1308469,G
__import__.product_1308477,E
__import__.product_1232966,G
__import__.product_1232958,G
__import__.product_8013999,G
__import__.product_8014013,G
__import__.product_8014042,G
__import__.product_8003759,E
__import__.product_8040565,E
__import__.product_8020203,E
__import__.product_8020226,E
__import__.product_8017098,E
__import__.product_8020396,E
__import__.product_1290338,G
__import__.product_0830679,G
__import__.product_6502223,E
__import__.product_6600806,G
__import__.product_6600817,Q
__import__.product_6600832,G
__import__.product_7142316,E
__import__.product_6600844,G
__import__.product_6600857,G
__import__.product_0320124,G
__import__.product_6355010,E
__import__.product_6197003,G
__import__.product_6197009,G
__import__.product_6355019,E
__import__.product_6355025,E
__import__.product_6450022,E
__import__.product_6355030,E
__import__.product_6355040,E
__import__.product_6815005,E
__import__.product_6815006,E
__import__.product_8056004,E
__import__.product_8021002,E
__import__.product_8051504,E
__import__.product_8051904,E
__import__.product_7429004,E
__import__.product_7429065,E
__import__.product_5244020,E
__import__.product_7764005,G
__import__.product_7764012,G
