id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_4130003,__import__.location_loc_AA01A1,__import__.product_4130003_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500265,__import__.location_loc_AA01A2,__import__.product_4500265_product_template,stock.stock_location_stock
__import__.product_stock_bin_5826139,__import__.location_loc_AA01A3,__import__.product_5826139_product_template,stock.stock_location_stock
__import__.product_stock_bin_4220007,__import__.location_loc_AA01A4,__import__.product_4220007_product_template,stock.stock_location_stock
__import__.product_stock_bin_5822842,__import__.location_loc_AA01B1,__import__.product_5822842_product_template,stock.stock_location_stock
__import__.product_stock_bin_5822843,__import__.location_loc_AA01B2,__import__.product_5822843_product_template,stock.stock_location_stock
__import__.product_stock_bin_7196644,__import__.location_loc_AA01B3,__import__.product_7196644_product_template,stock.stock_location_stock
__import__.product_stock_bin_5821725,__import__.location_loc_AA02A1,__import__.product_5821725_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828408,__import__.location_loc_AA02A2,__import__.product_5828408_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829183,__import__.location_loc_AA02A3,__import__.product_5829183_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829188,__import__.location_loc_AA02B1,__import__.product_5829188_product_template,stock.stock_location_stock
__import__.product_stock_bin_5826198,__import__.location_loc_AA02B2,__import__.product_5826198_product_template,stock.stock_location_stock
__import__.product_stock_bin_3145034,__import__.location_loc_AA02B3,__import__.product_3145034_product_template,stock.stock_location_stock
__import__.product_stock_bin_3287158,__import__.location_loc_AA03A1,__import__.product_3287158_product_template,stock.stock_location_stock
__import__.product_stock_bin_6825670,__import__.location_loc_AA03A2,__import__.product_6825670_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828965,__import__.location_loc_AA03A3,__import__.product_5828965_product_template,stock.stock_location_stock
__import__.product_stock_bin_6828887,__import__.location_loc_AA03B1,__import__.product_6828887_product_template,stock.stock_location_stock
__import__.product_stock_bin_3145018,__import__.location_loc_AA03B2,__import__.product_3145018_product_template,stock.stock_location_stock
__import__.product_stock_bin_5822098,__import__.location_loc_AA03B3,__import__.product_5822098_product_template,stock.stock_location_stock
__import__.product_stock_bin_4008024,__import__.location_loc_AA04A1,__import__.product_4008024_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829181,__import__.location_loc_AA04A2,__import__.product_5829181_product_template,stock.stock_location_stock
__import__.product_stock_bin_4220014,__import__.location_loc_AA04A3,__import__.product_4220014_product_template,stock.stock_location_stock
__import__.product_stock_bin_3265782,__import__.location_loc_AA04A4,__import__.product_3265782_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828667,__import__.location_loc_AA04B1,__import__.product_5828667_product_template,stock.stock_location_stock
__import__.product_stock_bin_5822148,__import__.location_loc_AA04B2,__import__.product_5822148_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829000,__import__.location_loc_AA04B3,__import__.product_5829000_product_template,stock.stock_location_stock
__import__.product_stock_bin_4120103,__import__.location_loc_AA05A1,__import__.product_4120103_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500325,__import__.location_loc_AA05A2,__import__.product_4500325_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829002,__import__.location_loc_AA05A3,__import__.product_5829002_product_template,stock.stock_location_stock
__import__.product_stock_bin_4007024,__import__.location_loc_AA05A4,__import__.product_4007024_product_template,stock.stock_location_stock
__import__.product_stock_bin_4150002,__import__.location_loc_AA05B1,__import__.product_4150002_product_template,stock.stock_location_stock
__import__.product_stock_bin_4902602,__import__.location_loc_AA05B2,__import__.product_4902602_product_template,stock.stock_location_stock
__import__.product_stock_bin_4220002,__import__.location_loc_AA05B3,__import__.product_4220002_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829186,__import__.location_loc_AA05B4,__import__.product_5829186_product_template,stock.stock_location_stock
__import__.product_stock_bin_4160104,__import__.location_loc_AA06A1,__import__.product_4160104_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828662,__import__.location_loc_AA06A2,__import__.product_5828662_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500365,__import__.location_loc_AA06A3,__import__.product_4500365_product_template,stock.stock_location_stock
