id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_parking_7437071,__setup__.stock_location_PA_AI,__import__.product_7437071_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7437036,__setup__.stock_location_PA_AD,__import__.product_7437036_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7437042,__setup__.stock_location_PA_AB,__import__.product_7437042_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7314003,__setup__.stock_location_PA_AC,__import__.product_7314003_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7314026,__setup__.stock_location_PA_AE,__import__.product_7314026_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196555,__setup__.stock_location_PA_AA,__import__.product_7196555_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196621,__setup__.stock_location_PA_AA,__import__.product_7196621_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196650,__setup__.stock_location_PA_AB,__import__.product_7196650_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196704,__setup__.stock_location_PA_AD,__import__.product_7196704_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196822,__setup__.stock_location_PA_AB,__import__.product_7196822_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7416695,__setup__.stock_location_PA_AA,__import__.product_7416695_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196348,__setup__.stock_location_PA_AG,__import__.product_7196348_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196443,__setup__.stock_location_PA_AC,__import__.product_7196443_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196466,__setup__.stock_location_PA_AB,__import__.product_7196466_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7464642,__setup__.stock_location_PA_AG,__import__.product_7464642_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196934,__setup__.stock_location_PA_AD,__import__.product_7196934_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7520895,__setup__.stock_location_PA_AA,__import__.product_7520895_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7197017,__setup__.stock_location_PA_AA,__import__.product_7197017_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7197069,__setup__.stock_location_PA_AB,__import__.product_7197069_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7197106,__setup__.stock_location_PA_AA,__import__.product_7197106_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196874,__setup__.stock_location_PA_AB,__import__.product_7196874_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7196880,__setup__.stock_location_PA_AD,__import__.product_7196880_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7228315,__setup__.stock_location_PA_AC,__import__.product_7228315_product_template,__setup__.stock_location_parking_ali
__import__.product_stock_bin_parking_7197141,__setup__.stock_location_PA_AB,__import__.product_7197141_product_template,__setup__.stock_location_parking_ali
