id,name,bic
__import__.bank_AARBBEB1,AAREAL BANK AG,AARBBEB1
__import__.bank_EBATBEBB,ABE CLEARING SAS/EBA CLEARING,EBATBEBB
__import__.bank_EBACBEBB,ABE CLEARING SAS/EBA CLEARING,EBACBEBB
__import__.bank_ABERBE21,ABK BANK CVBA (FORMERLY ANTWERPS BEROEPSKREDIET CV),ABERBE21
__import__.bank_ABNABE2AIDJ,ABN AMRO BANK N.V. BELGIAN BRANCH,ABNABE2AIDJ
__import__.bank_ABNABE2AMYO,ABN AMRO BANK N.V. BELGIAN BRANCH,ABNABE2AMYO
__import__.bank_ABNABE2AIPC,ABN AMRO BANK N.V. BELGIAN BRANCH,ABNABE2AIPC
__import__.bank_FTSBBE22,ABN AMRO BANK N.V. BELGIAN BRANCH,FTSBBE22
__import__.bank_ABNABE2A,ABN AMRO BANK N.V. BELGIAN BRANCH,ABNABE2A
__import__.bank_ACCOBEB3,ACCORD,ACCOBEB3
__import__.bank_ISSUBEB1,AG INSURANCE,ISSUBEB1
__import__.bank_AGFGBEBB,AGFA-GEVAERT NV,AGFGBEBB
__import__.bank_ALENBEB1,ALENA SA,ALENBEB1
__import__.bank_ABIXBEBB,ANHEUSER-BUSCH INBEV NV,ABIXBEBB
__import__.bank_ARSPBE22,ARGENTA,ARSPBE22
__import__.bank_ASSTBE21,"ASSOCIATED STOCKBROKERS, BVBA",ASSTBE21
__import__.bank_WAFABEBBANT,ATTIJARIWAFA BANK (FORMERLY WAFABANK),WAFABEBBANT
__import__.bank_WAFABEBB,ATTIJARIWAFA BANK (FORMERLY WAFABANK),WAFABEBB
__import__.bank_AUETBE21,AUDI NV,AUETBE21
__import__.bank_AUXIBEB1,AUXIFINA SA,AUXIBEB1
__import__.bank_AVEVBE21,AVEVE SA,AVEVBE21
__import__.bank_AXABBE22,AXA BANK EUROPE (FORMERLY AXA BANK BELGIUM),AXABBE22
__import__.bank_AXBIBEBB,AXA BELGIUM,AXBIBEBB
__import__.bank_BNDDBE21326,B AND BT NV,BNDDBE21326
__import__.bank_BNDDBE21,B AND BT NV,BNDDBE21
__import__.bank_BMPBBEBB,BANCA MONTE PASCHI BELGIO,BMPBBEBB
__import__.bank_BMPBBEBBTGT,BANCA MONTE PASCHI BELGIO,BMPBBEBBTGT
__import__.bank_BBVABEBB,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BBVABEBB
__import__.bank_BSCHBEBR,BANCO SANTANDER CENTRAL HISPANO,BSCHBEBR
__import__.bank_BCMCBEBB,BANCONTACT-MISTERCASH SA/NV,BCMCBEBB
__import__.bank_DELEBE22,BANK DELEN NV,DELEBE22
__import__.bank_DELEBE22NRA,BANK DELEN NV,DELEBE22NRA
__import__.bank_DELEBE22THE,BANK DELEN NV,DELEBE22THE
__import__.bank_JVBABE22,BANK J. VAN BREDA AND CO NV,JVBABE22
__import__.bank_BOFABE3X,"BANK OF AMERICA, N.A. ANTWERP",BOFABE3X
__import__.bank_BARBBEBB,BANK OF BARODA (BRUSSELS BRANCH),BARBBEBB
__import__.bank_BKCHBEBB,BANK OF CHINA (LUXEMBOURG) S.A. BRUSSELS BRANCH,BKCHBEBB
__import__.bank_BKIDBE22,BANK OF INDIA,BKIDBE22
__import__.bank_IRVTBEB1,"BANK OF NEW YORK (LUXEMBOURG)SA, THE",IRVTBEB1
__import__.bank_BOTKBEBX,"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",BOTKBEBX
__import__.bank_BMECBEB1,BANQUE BCP S.A. LUXEMBOURG-SUCCURSALE DE BELGIQUE,BMECBEB1
__import__.bank_BCPOBEB1,BANQUE CENTRALE POPULAIRE SA,BCPOBEB1
__import__.bank_BCDMBEBB,BANQUE CHAABI DU MAROC,BCDMBEBB
__import__.bank_BLUXBE41,"BANQUE DE LUXEMBOURG, SUCCURSALE DE BELGIQUE",BLUXBE41
__import__.bank_DEGRBEBBTG2,BANQUE DEGROOF PETERCAM SA/NV (FORMERLY BANQUE DEGROOF),DEGRBEBBTG2
__import__.bank_DEGRBEBB,BANQUE DEGROOF PETERCAM SA/NV (FORMERLY BANQUE DEGROOF),DEGRBEBB
__import__.bank_PECSBEBB009,BANQUE DEGROOF PETERCAM SA/NV (FORMERLY PETERCAM SA),PECSBEBB009
__import__.bank_PECSBEBB,BANQUE DEGROOF PETERCAM SA/NV (FORMERLY PETERCAM SA),PECSBEBB
__import__.bank_BDREBE41,BANQUE DREZE,BDREBE41
__import__.bank_ENIBBEBB,BANQUE ENI S.A.,ENIBBEBB
__import__.bank_BNAGBEBB,BANQUE NAGELMACKERS S.A. - BANK NAGELMACKERS NV,BNAGBEBB
__import__.bank_NBBEBEBB273,BANQUE NATIONALE DE BELGIQUE,NBBEBEBB273
__import__.bank_NBBEBEBB243,BANQUE NATIONALE DE BELGIQUE,NBBEBEBB243
__import__.bank_NBBEBEBBTRE,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBTRE
__import__.bank_NBBEBEBBCEC,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBCEC
__import__.bank_NBBEBEBB203,BANQUE NATIONALE DE BELGIQUE,NBBEBEBB203
__import__.bank_NBBEBEBBEOC,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBEOC
__import__.bank_NBBEBEBBCAC,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBCAC
__import__.bank_NBBEBEBBNLX,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBNLX
__import__.bank_NBBEBEBBFRX,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBFRX
__import__.bank_NBBEBEBBECL,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBECL
__import__.bank_NBBEBEBBMAC,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBMAC
__import__.bank_NBBEBEBB223,BANQUE NATIONALE DE BELGIQUE,NBBEBEBB223
__import__.bank_NBBEBEBBOVP,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBOVP
__import__.bank_NBBEBEBB216,BANQUE NATIONALE DE BELGIQUE,NBBEBEBB216
__import__.bank_NBBEBEBBMIG,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBMIG
__import__.bank_NBBEBEBBWTX,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBWTX
__import__.bank_NBBEBEBB,BANQUE NATIONALE DE BELGIQUE,NBBEBEBB
__import__.bank_ECMSBEBB,BANQUE NATIONALE DE BELGIQUE,ECMSBEBB
__import__.bank_ECMSBEBBCCB,BANQUE NATIONALE DE BELGIQUE,ECMSBEBBCCB
__import__.bank_NBBEBEBBCON,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBCON
__import__.bank_NBBEBEBBDCK,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBDCK
__import__.bank_NBBEBEBBGLB,BANQUE NATIONALE DE BELGIQUE,NBBEBEBBGLB
__import__.bank_PRIBBEBB,"BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE, BELGIANBRANCH",PRIBBEBB
__import__.bank_PSABBEB1,BANQUE PSA FINANCE SUCCURSALE EN BELGIQUE,PSABBEB1
__import__.bank_BAUVBEB1,BAUDOUX VERTONGEN ET CIE,BAUVBEB1
__import__.bank_BGHVBE21,"BEECKMANS, VAN GAVER ET CIE, SCS",BGHVBE21
__import__.bank_BENGBEB1,BELGIAN NATIONAL REGISTRY,BENGBEB1
__import__.bank_BELHBEB1,BELHYPERION,BELHBEB1
__import__.bank_BEMBBEB1,BEMO HOLDING SA,BEMBBEB1
__import__.bank_CTBKBEBXTGT,BEOBANK NV/SA,CTBKBEBXTGT
__import__.bank_CTBKBEBX,BEOBANK NV/SA,CTBKBEBX
__import__.bank_XANTBE21,BEURS VAN ANTWERPEN (ANTWERP STOCK EXCHANGE),XANTBE21
__import__.bank_BHBEBEB1,BHW BAUSPARKASSE AG,BHBEBEB1
__import__.bank_BIBLBE21,BINCKBANK NV,BIBLBE21
__import__.bank_BIOABE71,BIOPARTICIPATIONS SA,BIOABE71
__import__.bank_BUSSBE81,BKCP SECURITIES NV,BUSSBE81
__import__.bank_BMEUBEB1,BMCE EUROSERVICES,BMEUBEB1
__import__.bank_GEBABEBB01A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB01A
__import__.bank_GEBABEBB18A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB18A
__import__.bank_GEBABEBB02A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB02A
__import__.bank_GEBABEBB13A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB13A
__import__.bank_GEBABEBBLDN,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBBLDN
__import__.bank_GEBABEBB36A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB36A
__import__.bank_GEBABEBBIPA,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBBIPA
__import__.bank_GEBABEBBSSD,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBBSSD
__import__.bank_GEBABEBB00A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB00A
__import__.bank_GEBABEBBALM,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBBALM
__import__.bank_GEBABEBBDBK,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBBDBK
__import__.bank_GEBABEBB03A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB03A
__import__.bank_GEBABEBB08E,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB08E
__import__.bank_GEBABEBB05A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB05A
__import__.bank_GEBABEBB14A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB14A
__import__.bank_GEBABEBB07B,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB07B
__import__.bank_GEBABEBB04A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB04A
__import__.bank_GEBABEBB06A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB06A
__import__.bank_GEBABEBB08A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB08A
__import__.bank_GEBABEBB07A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB07A
__import__.bank_GEBABEBB08B,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB08B
__import__.bank_GEBABEBB09A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB09A
__import__.bank_GEBABEBB10A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB10A
__import__.bank_GEBABEBB18B,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB18B
__import__.bank_GEBABEBB06B,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB06B
__import__.bank_GEBABEBB05B,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB05B
__import__.bank_GEBABEBB01B,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB01B
__import__.bank_GEBABEBB08C,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB08C
__import__.bank_GEBABEBB11A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB11A
__import__.bank_GEBABEBB08D,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB08D
__import__.bank_GEBABEBB12A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB12A
__import__.bank_GEBABEBB07C,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GEBABEBB07C
__import__.bank_FIMGBEBB,BNP PARIBAS IP BELGIUM SA,FIMGBEBB
__import__.bank_BPPBBEB1,BNP PARIBAS PRIVATE BANK,BPPBBEB1
__import__.bank_BNPABEBB,BNP PARIBAS S.A. BELGIUM - BELGIUM BRANCH,BNPABEBB
__import__.bank_PARBBEBZ,"BNP PARIBAS SECURITIES SERVICES, BELGIUM",PARBBEBZ
__import__.bank_PARBBEBZISI,"BNP PARIBAS SECURITIES SERVICES, BELGIUM",PARBBEBZISI
__import__.bank_PARBBEBZMDC,"BNP PARIBAS SECURITIES SERVICES, BRUSSELS BRANCH",PARBBEBZMDC
__import__.bank_GCSDBEBB,BNY MELLON CSD SA/NV,GCSDBEBB
__import__.bank_BOALBE22,BOREALIS FINANCIAL SERVICES NV,BOALBE22
__import__.bank_PCHQBEBB,BPOST,PCHQBEBB
__import__.bank_BPOTBEBE,BPOST BANK-BPOST BANQUE,BPOTBEBE
__import__.bank_BPOTBEB1ISA,BPOSTBANK-BPOSTBANQUE,BPOTBEB1ISA
__import__.bank_BPOTBEB1,BPOSTBANK-BPOSTBANQUE,BPOTBEB1
__import__.bank_BCSEBEB1,BRANQUART COSTERMANS SECURITIES SA,BCSEBEB1
__import__.bank_BRLEBEB1,BRUGS LEENKREDIET BVBA,BRLEBEB1
__import__.bank_XBFOBEB1,BRUSSELS EXCHANGES CLEARING HOUSE NV,XBFOBEB1
__import__.bank_BYBBBEBB,BYBLOS BANK EUROPE S.A.,BYBBBEBB
__import__.bank_ISAEBEBB,CACEIS BANK LUXEMBOURG BRUSSELS BRANCH,ISAEBEBB
__import__.bank_FNETBEBB,CACEIS BELGIUM,FNETBEBB
__import__.bank_CEVNBEB1,CAISSE D'EPARGNE DE LA VILLE DE NIVELLES,CEVNBEB1
__import__.bank_FCECBEB1,CAISSE D'EPARGNE LA FAMILLE,FCECBEB1
__import__.bank_ESESBEBBMIG,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBMIG
__import__.bank_ESESBEBBCSD,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBCSD
__import__.bank_ESESBEBBIAC,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBIAC
__import__.bank_ESESBEBBIAD,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBIAD
__import__.bank_ESESBEBBSCC,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBSCC
__import__.bank_ESESBEBBT2X,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBT2X
__import__.bank_ESESBEBB,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBB
__import__.bank_ESESBEBBFDB,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBFDB
__import__.bank_ESESBEBBINT,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBINT
__import__.bank_ESESBEBBLE1,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBLE1
__import__.bank_ESESBEBBLE2,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBLE2
__import__.bank_DXAMBEBB,CANDRIAM BELGIUM,DXAMBEBB
__import__.bank_CFENBEB1,CAPITAL AND FINANCE ASSET MANAGEMENT SA,CFENBEB1
__import__.bank_CAPWBEBB,CAPITAL AT WORK SA,CAPWBEBB
__import__.bank_CAFVBEB1,CARDIF LEVEN,CAFVBEB1
__import__.bank_CARGBEBL,CARFIN SA,CARGBEBL
__import__.bank_CAFIBEBB,CARREFOUR FINANCE SA,CAFIBEBB
__import__.bank_CAFFBEB1,CATERPILLAR FINANCE FRANCE SA,CAFFBEB1
__import__.bank_CREGBEBBTGT,CBC BANQUE S.A.,CREGBEBBTGT
__import__.bank_CREGBEBBNBB,CBC BANQUE S.A.,CREGBEBBNBB
__import__.bank_CBPXBE99,CBP QUILVEST S.A. (LUXEMBOURG) SUCCURSALE BELGIQUE,CBPXBE99
__import__.bank_CEINBEBB,CELIO INTERNATIONAL,CEINBEBB
__import__.bank_GUSEBEB1,CELS SECURITIES N.V.,GUSEBEB1
__import__.bank_HSAABE21,CENTEA,HSAABE21
__import__.bank_CEKVBE81,CENTRALE KREDIETVERLENING,CEKVBE81
__import__.bank_BCSMBEB1,CENTRE FOR EXCHANGE AND CLEARING,BCSMBEB1
__import__.bank_BCSMBEB1STT,CENTRE FOR EXCHANGE AND CLEARING,BCSMBEB1STT
__import__.bank_CEIPBE21,CENTURY INVESTMENT,CEIPBE21
__import__.bank_CPCHBEBB,CHEVRON PHILLIPS CHEMICALS INTERNATIONAL NV,CPCHBEBB
__import__.bank_CHOCBEB1,CHOPPINET SPRL,CHOCBEB1
__import__.bank_CITIBEBX,CITIBANK INTERNATIONAL LIMITED BELGIUM BRANCH,CITIBEBX
__import__.bank_CLIQBEB1,CLEARNET BRUSSELS BRANCH,CLIQBEB1
__import__.bank_CMCIBEB1BTB,CM-CIC BELGIUM,CMCIBEB1BTB
__import__.bank_CMCIBEB1,CM-CIC BELGIUM,CMCIBEB1
__import__.bank_CMCIBEB1SEC,CM-CIC BELGIUM,CMCIBEB1SEC
__import__.bank_CDBXBE33,CODABOX SA,CDBXBE33
__import__.bank_COBABEB1022,"COMMERZBANK AG,THE,BRUSSELS BRANCH",COBABEB1022
__import__.bank_COBABEBXTBU,"COMMERZBANK AG,THE,BRUSSELS BRANCH",COBABEBXTBU
__import__.bank_COBABEBX,"COMMERZBANK AG,THE,BRUSSELS BRANCH",COBABEBX
