id,bic,name
__import__.bank_ABERBE21,ABERBE21,Antwerps Beroepskrediet (A.B.K.)
__import__.bank_ABNABEBR,ABNABEBR,RABOBANK
__import__.bank_ABNABEBR,ABNABEBR,The Royal Bank of Scotland N.V. (Be
__import__.bank_ABNANL2A,ABNANL2A,abn
__import__.bank_ABNANL2A,ABNANL2A,ABN amro
__import__.bank_ABNANL2A,ABNANL2A,ABN AMRO
__import__.bank_ABNANL2A,ABNANL2A,ABN AMRO BANK
__import__.bank_ABNANL2A,ABNANL2A,AMRO BANK
__import__.bank_ABNANL2A,ABNANL2A,KVK GRONINGEN 02033672
__import__.bank_AGBACZPP,AGBACZPP,GE MONEY BANK
__import__.bank_AGRIFRPP802,AGRIFRPP802,CRCAM DU NORD EST
__import__.bank_AGRIFRPP822,AGRIFRPP822,CREDIT AGRICOLE DES COTES DARMOR
__import__.bank_AGRIFRPP844,AGRIFRPP844,Credit Agricole
__import__.bank_AGRIFRPP847,AGRIFRPP847,Crédit agricole
__import__.bank_AGRIFRPP861,AGRIFRPP861,CREDIT AGRICOLE DE LORRAINE
__import__.bank_AGRIFRPP867,AGRIFRPP867,Crédit Agricole Mutuel
__import__.bank_AGRIFRPP867,AGRIFRPP867,CREDIT AGRICOLE
__import__.bank_AGRIFRPP869,AGRIFRPP869,CREDIT AGRICOLE
__import__.bank_AGRIFRPP878,AGRIFRPP878,CRCAM Centre Est
__import__.bank_AGRIFRPP882,AGRIFRPP882,CREDIT AGRICOLE IDF
__import__.bank_AGRIFRPP895,AGRIFRPP895,Crédit Agricole du Centre Ouest
__import__.bank_ARSPBE22,ARSPBE22,Argenta Banque d'Epargne (ASPA)
__import__.bank_AXABBE22,AXABBE22,AXA Bank Europe
__import__.bank_BACRIT21013,BACRIT21013,CREDEM
__import__.bank_BARCGB22,BARCGB22,Barclays
__import__.bank_BARCGB22,BARCGB22,Barclays Bank
__import__.bank_BARCGB22,BARCGB22,Barclays Bank Pic
__import__.bank_BBRUBEBB,BBRUBEBB,ing
__import__.bank_BBRUBEBB,BBRUBEBB,ING
__import__.bank_BBRUBEBB,BBRUBEBB,ING Belgique
__import__.bank_BBRUBEBB,BBRUBEBB,ING BANK
__import__.bank_BBVAESMM,BBVAESMM,BBVA Girona
__import__.bank_BCEELULL,BCEELULL,Banque/Caisse d'Epargne de l'etat
__import__.bank_BCEELULL,BCEELULL,BCEE
__import__.bank_BCVLCH2LXXX,BCVLCH2LXXX,Banque Cantonale Vaudoise
__import__.bank_BDCHBE22,BDCHBE22,Deutsche Bank
__import__.bank_BGLLLULL,BGLLLULL,BGL BNP Paribas S.A.
__import__.bank_BILLLULL,BILLLULL,Bil Bank
__import__.bank_BKBKESMMXXX,BKBKESMMXXX,BANKINTER (Vigo Branch)
__import__.bank_BKCPBEB1BKB,BKCPBEB1BKB,BKCP
__import__.bank_BLOPIT22,BLOPIT22,UBI BANCA
__import__.bank_BNAGBEBB,BNAGBEBB,Delta Lloyd Bank
__import__.bank_BNAGBEBB,BNAGBEBB,Nagelmackers
__import__.bank_BNPAFRPPLPD,BNPAFRPPLPD,BNP PARIBAS SA
__import__.bank_BNPAFRPPMAS,BNPAFRPPMAS,BNP
__import__.bank_BNPAFRPPPAU,BNPAFRPPPAU,BNP PARIBAS SA
__import__.bank_BNPAFRPPSTR,BNPAFRPPSTR,BNP Paribas Strasbourg
__import__.bank_BNPAFRPPVCS,BNPAFRPPVCS,BNP PARIBAS
__import__.bank_BNPAFRPPVLE,BNPAFRPPVLE,BNP Reze Pont Rousseau
__import__.bank_BNPAFRPPVLE,BNPAFRPPVLE,BNP-PARIBAS SA
__import__.bank_BNPAFRPPVRS,BNPAFRPPVRS,BNP Paribas
__import__.bank_BNPAGB22,BNPAGB22,BNP PARIBAS
__import__.bank_BNPANL2A,BNPANL2A,BNB BANK AMSTERDAM
__import__.bank_BNPANL2A,BNPANL2A,BNP
__import__.bank_BNPANL2A,BNPANL2A,BNP PARIBAS
__import__.bank_BOFABE3X,BOFABE3X,Bank of America
__import__.bank_BOFABE3X,BOFABE3X,"Bank of America, National Associati"
__import__.bank_BOFIIE2D,BOFIIE2D,BANK OF IRELAND
__import__.bank_BOFSGB21260,BOFSGB21260,Bank of Scotland
__import__.bank_BOTKNL2X,BOTKNL2X,BANK OF TOKYO - MITSUBISHI
__import__.bank_BOUSFRPP,BOUSFRPP,Boursorama Banque
__import__.bank_BPOTBEB1,BPOTBEB1,Banque de la Poste
__import__.bank_BREXPLPWMUL,BREXPLPWMUL,Multibank
__import__.bank_BSABESBB,BSABESBB,Banc de Sabadell
__import__.bank_BSPFFRPP,BSPFFRPP,LCL Banque Palatine
__import__.bank_BYLADEM1COB,BYLADEM1COB,SPARKASSE COBURG
__import__.bank_BYLADEM1EGF,BYLADEM1EGF,Sparkasse Rottal
__import__.bank_BYLADEM1NEA,BYLADEM1NEA,Sparkasse Neustadt a.d. Aisch
__import__.bank_CAIXESBBXXX,CAIXESBBXXX,LA CAIXA
__import__.bank_CCBPFRPPBDX,CCBPFRPPBDX,Banque pop centre Atlantique
__import__.bank_CCBPFRPPGRE,CCBPFRPPGRE,Banque populaire
__import__.bank_CCBPFRPPGRE,CCBPFRPPGRE,Banque Populaire Auvergne
__import__.bank_CCBPFRPPMAR,CCBPFRPPMAR,Banque populaire méditerranée
__import__.bank_CCBPFRPPMTG,CCBPFRPPMTG,Banque Populaire
__import__.bank_CCBPFRPPMTG,CCBPFRPPMTG,Banque Populaire Rives de Paris
