id,location_id/id,product_qty,product_id/id,prod_lot_id/id
__import__.stock_inventory_line_AAB027A_3426970,__import__.location_loc_GC04D6,7,__import__.product_3426970,__import__.stock_production_lot_AAB027A_3426970
__import__.stock_inventory_line_AA00217_2171874,__import__.location_loc_GB20D2,14,__import__.product_2171874,__import__.stock_production_lot_AA00217_2171874
__import__.stock_inventory_line_AA1257RB_3129699,__import__.location_loc_GD11A1,2,__import__.product_3129699,__import__.stock_production_lot_AA1257RB_3129699
__import__.stock_inventory_line_AA1303RA_3289477,__import__.location_loc_GB28D2,3,__import__.product_3289477,__import__.stock_production_lot_AA1303RA_3289477
__import__.stock_inventory_line_AA1375RB_3129707,__import__.location_loc_GD11C3,23,__import__.product_3129707,__import__.stock_production_lot_AA1375RB_3129707
__import__.stock_inventory_line_AA1384RE_3129673,__import__.location_loc_GG05B6,59,__import__.product_3129673,__import__.stock_production_lot_AA1384RE_3129673
__import__.stock_inventory_line_AA1678RA_3129681,__import__.location_loc_GE04C2,53,__import__.product_3129681,__import__.stock_production_lot_AA1678RA_3129681
__import__.stock_inventory_line_AA1742RH_3289485,__import__.location_loc_GE32B1,3,__import__.product_3289485,__import__.stock_production_lot_AA1742RH_3289485
__import__.stock_inventory_line_AA1755RA_3129699,__import__.location_loc_GD11A1,46,__import__.product_3129699,__import__.stock_production_lot_AA1755RA_3129699
__import__.stock_inventory_line_AA1861RD_3289444,__import__.location_loc_GB09D5,87,__import__.product_3289444,__import__.stock_production_lot_AA1861RD_3289444
__import__.stock_inventory_line_AA1877RA_3129715,__import__.location_loc_GD12A2,44,__import__.product_3129715,__import__.stock_production_lot_AA1877RA_3129715
__import__.stock_inventory_line_AA1994RA_3129723,__import__.location_loc_GD11D1,42,__import__.product_3129723,__import__.stock_production_lot_AA1994RA_3129723
__import__.stock_inventory_line_AA2087RA_3129657,__import__.location_loc_GD23D2,20,__import__.product_3129657,__import__.stock_production_lot_AA2087RA_3129657
__import__.stock_inventory_line_AB2211RA_3289451,__import__.location_loc_GD01A2,50,__import__.product_3289451,__import__.stock_production_lot_AB2211RA_3289451
__import__.stock_inventory_line_ACP0112FB_1021914,__import__.location_loc_GC07D2,17,__import__.product_1021914,__import__.stock_production_lot_ACP0112FB_1021914
__import__.stock_inventory_line_ACR0121DA_1021906,__import__.location_loc_GB13A7,1,__import__.product_1021906,__import__.stock_production_lot_ACR0121DA_1021906
__import__.stock_inventory_line_ACR0121HA_1021906,__import__.location_loc_GB13A7,73,__import__.product_1021906,__import__.stock_production_lot_ACR0121HA_1021906
__import__.stock_inventory_line_AC03816_2223535,__import__.location_loc_GK03B1,1,__import__.product_2223535,__import__.stock_production_lot_AC03816_2223535
__import__.stock_inventory_line_AC04316_0677401,__import__.location_loc_GK02B3,7,__import__.product_0677401,__import__.stock_production_lot_AC04316_0677401
__import__.stock_inventory_line_AD_5120572,__import__.location_loc_GE03F5,153,__import__.product_5120572,__import__.stock_production_lot_AD_5120572
__import__.stock_inventory_line_AF_1662873,__import__.location_loc_GB04E4,34,__import__.product_1662873,__import__.stock_production_lot_AF_1662873
__import__.stock_inventory_line_AG_1662873,__import__.location_loc_GB04E4,335,__import__.product_1662873,__import__.stock_production_lot_AG_1662873
__import__.stock_inventory_line_AG04616_1317825,__import__.location_loc_GG03C6,2,__import__.product_1317825,__import__.stock_production_lot_AG04616_1317825
__import__.stock_inventory_line_AG609009_5700040,__import__.location_loc_GD13B5,2,__import__.product_5700040,__import__.stock_production_lot_AG609009_5700040
__import__.stock_inventory_line_AG6988C_3317021,__import__.location_loc_GG03C8,128,__import__.product_3317021,__import__.stock_production_lot_AG6988C_3317021
__import__.stock_inventory_line_AG8097A_3315785,__import__.location_loc_GK15F2,40,__import__.product_3315785,__import__.stock_production_lot_AG8097A_3315785
__import__.stock_inventory_line_AG8267D_3315777,__import__.location_loc_GF29B6,16,__import__.product_3315777,__import__.stock_production_lot_AG8267D_3315777
__import__.stock_inventory_line_AG8269E_3315793,__import__.location_loc_GK17E3,15,__import__.product_3315793,__import__.stock_production_lot_AG8269E_3315793
__import__.stock_inventory_line_AG9414F_3317039,__import__.location_loc_GB21A3,868,__import__.product_3317039,__import__.stock_production_lot_AG9414F_3317039
__import__.stock_inventory_line_AG9416A_3315751,__import__.location_loc_GG10A4,29,__import__.product_3315751,__import__.stock_production_lot_AG9416A_3315751
__import__.stock_inventory_line_AG9423A_3315769,__import__.location_loc_GB02B2,1,__import__.product_3315769,__import__.stock_production_lot_AG9423A_3315769
__import__.stock_inventory_line_AH01NJ0H_1272574,__import__.location_loc_GF18E5,1,__import__.product_1272574,__import__.stock_production_lot_AH01NJ0H_1272574
__import__.stock_inventory_line_AH01VV2H_1272574,__import__.location_loc_GF18E5,4,__import__.product_1272574,__import__.stock_production_lot_AH01VV2H_1272574
__import__.stock_inventory_line_AH0468E_3317047,__import__.location_loc_GG13B8,83,__import__.product_3317047,__import__.stock_production_lot_AH0468E_3317047
