id,location_id/id,product_id/id,product_qty
__import__.stock_inventory_line_without_lot_8044818,__import__.location_loc_GC27E2,__import__.product_8044818,0
__import__.stock_inventory_line_without_lot_8044847,__import__.location_loc_EOE107,__import__.product_8044847,7
__import__.stock_inventory_line_without_lot_8014680,__import__.location_loc_EXB531,__import__.product_8014680,1
__import__.stock_inventory_line_without_lot_8027004,__import__.location_loc_GE04A2,__import__.product_8027004,10
__import__.stock_inventory_line_without_lot_8017709,__import__.location_loc_EXB612,__import__.product_8017709,5
__import__.stock_inventory_line_without_lot_8019418,__import__.location_loc_EXS221,__import__.product_8019418,47
__import__.stock_inventory_line_without_lot_8027524,__import__.location_loc_GB24B5,__import__.product_8027524,187
__import__.stock_inventory_line_without_lot_8027010,__import__.location_loc_GD08A1,__import__.product_8027010,7
__import__.stock_inventory_line_without_lot_8027151,__import__.location_loc_GB20D1,__import__.product_8027151,36
__import__.stock_inventory_line_without_lot_7330166,__import__.location_loc_GA05A2,__import__.product_7330166,4
__import__.stock_inventory_line_without_lot_8043693,__import__.location_loc_GC27A2,__import__.product_8043693,91
__import__.stock_inventory_line_without_lot_8043730,__import__.location_loc_GD14B2,__import__.product_8043730,86
__import__.stock_inventory_line_without_lot_8043724,__import__.location_loc_GC29D1,__import__.product_8043724,162
__import__.stock_inventory_line_without_lot_8043687,__import__.location_loc_GC29A1,__import__.product_8043687,106
__import__.stock_inventory_line_without_lot_8043701,__import__.location_loc_GC29B2,__import__.product_8043701,94
__import__.stock_inventory_line_without_lot_8043718,__import__.location_loc_GC27C2,__import__.product_8043718,137
__import__.stock_inventory_line_without_lot_8031201,__import__.location_loc_EXI100,__import__.product_8031201,14
__import__.stock_inventory_line_without_lot_8043670,__import__.location_loc_GC29C2,__import__.product_8043670,103
__import__.stock_inventory_line_without_lot_8038568,__import__.location_loc_AA18A3,__import__.product_8038568,928
__import__.stock_inventory_line_without_lot_8031224,__import__.location_loc_GD22D4,__import__.product_8031224,61
__import__.stock_inventory_line_without_lot_8048880,__import__.location_loc_GC29D2,__import__.product_8048880,40
__import__.stock_inventory_line_without_lot_8043902,__import__.location_loc_GC29B1,__import__.product_8043902,121
__import__.stock_inventory_line_without_lot_8043919,__import__.location_loc_GC27A1,__import__.product_8043919,55
__import__.stock_inventory_line_without_lot_8043871,__import__.location_loc_GC27C1,__import__.product_8043871,89
__import__.stock_inventory_line_without_lot_8034263,__import__.location_loc_EXH400,__import__.product_8034263,0
__import__.stock_inventory_line_without_lot_8026996,__import__.location_loc_GL02A6,__import__.product_8026996,8
__import__.stock_inventory_line_without_lot_8035073,__import__.location_loc_GD26B4,__import__.product_8035073,4
__import__.stock_inventory_line_without_lot_8025815,__import__.location_loc_GE15F5,__import__.product_8025815,4
__import__.stock_inventory_line_without_lot_8035268,__import__.location_loc_EXS100,__import__.product_8035268,0
__import__.stock_inventory_line_without_lot_8044801,__import__.location_loc_EXE200,__import__.product_8044801,4
__import__.stock_inventory_line_without_lot_8032040,__import__.location_loc_EOI133,__import__.product_8032040,0
__import__.stock_inventory_line_without_lot_8013195,__import__.location_loc_EZZ195,__import__.product_8013195,0
__import__.stock_inventory_line_without_lot_8028340,__import__.location_loc_GD07D3,__import__.product_8028340,8
__import__.stock_inventory_line_without_lot_8003392,__import__.location_loc_GF20C1,__import__.product_8003392,15
__import__.stock_inventory_line_without_lot_8038048,__import__.location_loc_GL17B3,__import__.product_8038048,20
__import__.stock_inventory_line_without_lot_8003765,__import__.location_loc_EXH104,__import__.product_8003765,0
__import__.stock_inventory_line_without_lot_8003794,__import__.location_loc_EXH105,__import__.product_8003794,5
__import__.stock_inventory_line_without_lot_8020427,__import__.location_loc_EXG509,__import__.product_8020427,2
__import__.stock_inventory_line_without_lot_8038611,__import__.location_loc_GD10A3,__import__.product_8038611,49
__import__.stock_inventory_line_without_lot_8025293,__import__.location_loc_GE03F3,__import__.product_8025293,1
__import__.stock_inventory_line_without_lot_8039987,__import__.location_loc_GD11A2,__import__.product_8039987,56
__import__.stock_inventory_line_without_lot_8030615,__import__.location_loc_EXH500,__import__.product_8030615,12
__import__.stock_inventory_line_without_lot_8007616,__import__.location_loc_GE05E5,__import__.product_8007616,2
__import__.stock_inventory_line_without_lot_8028417,__import__.location_loc_EXG600,__import__.product_8028417,38
__import__.stock_inventory_line_without_lot_8040861,__import__.location_loc_GE11C1,__import__.product_8040861,15
__import__.stock_inventory_line_without_lot_8048905,__import__.location_loc_GK17B1,__import__.product_8048905,3
__import__.stock_inventory_line_without_lot_8050196,__import__.location_loc_GL04B2,__import__.product_8050196,3
__import__.stock_inventory_line_without_lot_8022751,__import__.location_loc_EOC225,__import__.product_8022751,3
__import__.stock_inventory_line_without_lot_8007622,__import__.location_loc_GE05F7,__import__.product_8007622,6
__import__.stock_inventory_line_without_lot_8001737,__import__.location_loc_EXH400,__import__.product_8001737,2
__import__.stock_inventory_line_without_lot_8001878,__import__.location_loc_GC03F3,__import__.product_8001878,1
__import__.stock_inventory_line_without_lot_8025123,__import__.location_loc_EXO213,__import__.product_8025123,1
__import__.stock_inventory_line_without_lot_8021639,__import__.location_loc_EXF100,__import__.product_8021639,1
__import__.stock_inventory_line_without_lot_8045203,__import__.location_loc_EOH114,__import__.product_8045203,4
__import__.stock_inventory_line_without_lot_8021645,__import__.location_loc_EOH164,__import__.product_8021645,2
__import__.stock_inventory_line_without_lot_6112326,__import__.location_loc_GE01B6,__import__.product_6112326,1
__import__.stock_inventory_line_without_lot_8054053,__import__.location_loc_GE11F6,__import__.product_8054053,20
__import__.stock_inventory_line_without_lot_8033832,__import__.location_loc_GE03A1,__import__.product_8033832,2
__import__.stock_inventory_line_without_lot_8026223,__import__.location_loc_EXO208,__import__.product_8026223,2
__import__.stock_inventory_line_without_lot_8050256,__import__.location_loc_GD19C5,__import__.product_8050256,156
__import__.stock_inventory_line_without_lot_8043960,__import__.location_loc_EXG600,__import__.product_8043960,4
__import__.stock_inventory_line_without_lot_8026507,__import__.location_loc_GE13B7,__import__.product_8026507,1
__import__.stock_inventory_line_without_lot_8024394,__import__.location_loc_EXD100,__import__.product_8024394,1
__import__.stock_inventory_line_without_lot_6508254,__import__.location_loc_EOE158,__import__.product_6508254,8
__import__.stock_inventory_line_without_lot_8025318,__import__.location_loc_EXF400,__import__.product_8025318,7
__import__.stock_inventory_line_without_lot_8039740,__import__.location_loc_GC02C2,__import__.product_8039740,9
__import__.stock_inventory_line_without_lot_8039711,__import__.location_loc_GF30D2,__import__.product_8039711,3
__import__.stock_inventory_line_without_lot_8040393,__import__.location_loc_EXD500,__import__.product_8040393,1
__import__.stock_inventory_line_without_lot_8704917,__import__.location_loc_EXJ800,__import__.product_8704917,0
__import__.stock_inventory_line_without_lot_8039734,__import__.location_loc_GD26B1,__import__.product_8039734,6
__import__.stock_inventory_line_without_lot_8039728,__import__.location_loc_EXQ200,__import__.product_8039728,4
__import__.stock_inventory_line_without_lot_8007013,__import__.location_loc_GD06D2,__import__.product_8007013,7
__import__.stock_inventory_line_without_lot_8020404,__import__.location_loc_EXE301,__import__.product_8020404,1
__import__.stock_inventory_line_without_lot_8030590,__import__.location_loc_GG23D3,__import__.product_8030590,13
__import__.stock_inventory_line_without_lot_0183137,__import__.location_loc_GF24A1,__import__.product_0183137,5
__import__.stock_inventory_line_without_lot_0825687,__import__.location_loc_GD21A5,__import__.product_0825687,6
__import__.stock_inventory_line_without_lot_0011002,__import__.location_loc_GD17D1,__import__.product_0011002,0
__import__.stock_inventory_line_without_lot_7302500,__import__.location_loc_GG10B4,__import__.product_7302500,63
__import__.stock_inventory_line_without_lot_1113372,__import__.location_loc_GE15E4,__import__.product_1113372,3
__import__.stock_inventory_line_without_lot_0086132,__import__.location_loc_GG10C2,__import__.product_0086132,78
__import__.stock_inventory_line_without_lot_8043888,__import__.location_loc_GC27B2,__import__.product_8043888,67
__import__.stock_inventory_line_without_lot_8043894,__import__.location_loc_GC27D1,__import__.product_8043894,152
__import__.stock_inventory_line_without_lot_8043925,__import__.location_loc_GC29A2,__import__.product_8043925,103
__import__.stock_inventory_line_without_lot_8001708,__import__.location_loc_EXD500,__import__.product_8001708,2
__import__.stock_inventory_line_without_lot_8005758,__import__.location_loc_GE13D6,__import__.product_8005758,4
__import__.stock_inventory_line_without_lot_8005770,__import__.location_loc_GD10B2,__import__.product_8005770,63
__import__.stock_inventory_line_without_lot_8006002,__import__.location_loc_GG01A3,__import__.product_8006002,6
__import__.stock_inventory_line_without_lot_8014674,__import__.location_loc_EXB522,__import__.product_8014674,1
__import__.stock_inventory_line_without_lot_8032011,__import__.location_loc_EXD510,__import__.product_8032011,6
__import__.stock_inventory_line_without_lot_8039504,__import__.location_loc_EXI200,__import__.product_8039504,55
__import__.stock_inventory_line_without_lot_8006031,__import__.location_loc_GF20E2,__import__.product_8006031,4
__import__.stock_inventory_line_without_lot_8008136,__import__.location_loc_EXG140,__import__.product_8008136,0
__import__.stock_inventory_line_without_lot_8008107,__import__.location_loc_EXG130,__import__.product_8008107,3
__import__.stock_inventory_line_without_lot_8050434,__import__.location_loc_EXF100,__import__.product_8050434,0
__import__.stock_inventory_line_without_lot_8038522,__import__.location_loc_AE09A2,__import__.product_8038522,424
__import__.stock_inventory_line_without_lot_8003788,__import__.location_loc_EXH106,__import__.product_8003788,8
__import__.stock_inventory_line_without_lot_8016236,__import__.location_loc_EOB202,__import__.product_8016236,0
__import__.stock_inventory_line_without_lot_8001772,__import__.location_loc_EXH400,__import__.product_8001772,5
__import__.stock_inventory_line_without_lot_8001766,__import__.location_loc_EOA175,__import__.product_8001766,1
__import__.stock_inventory_line_without_lot_8001973,__import__.location_loc_EOH194,__import__.product_8001973,2
__import__.stock_inventory_line_without_lot_8035096,__import__.location_loc_GF31C1,__import__.product_8035096,8
__import__.stock_inventory_line_without_lot_8035104,__import__.location_loc_GB18D4,__import__.product_8035104,2
__import__.stock_inventory_line_without_lot_8014266,__import__.location_loc_EOI178,__import__.product_8014266,1
__import__.stock_inventory_line_without_lot_8045025,__import__.location_loc_EOH122,__import__.product_8045025,0
__import__.stock_inventory_line_without_lot_8045002,__import__.location_loc_EOH121,__import__.product_8045002,7
__import__.stock_inventory_line_without_lot_8044793,__import__.location_loc_EXO232,__import__.product_8044793,0
__import__.stock_inventory_line_without_lot_8039935,__import__.location_loc_EOE129,__import__.product_8039935,6
__import__.stock_inventory_line_without_lot_8035966,__import__.location_loc_GF18B7,__import__.product_8035966,2
__import__.stock_inventory_line_without_lot_8048934,__import__.location_loc_EXG500,__import__.product_8048934,3
__import__.stock_inventory_line_without_lot_8007183,__import__.location_loc_GC24D4,__import__.product_8007183,62
__import__.stock_inventory_line_without_lot_8027760,__import__.location_loc_GF20A2,__import__.product_8027760,3
__import__.stock_inventory_line_without_lot_8001298,__import__.location_loc_EXF200,__import__.product_8001298,1
__import__.stock_inventory_line_without_lot_0067306,__import__.location_loc_GB22C2,__import__.product_0067306,50
__import__.stock_inventory_line_without_lot_0067330,__import__.location_loc_GD14C4,__import__.product_0067330,7
__import__.stock_inventory_line_without_lot_0817015,__import__.location_loc_GD10D4,__import__.product_0817015,89
__import__.stock_inventory_line_without_lot_0067678,__import__.location_loc_GH07D3,__import__.product_0067678,10
__import__.stock_inventory_line_without_lot_0392704,__import__.location_loc_GK03B3,__import__.product_0392704,132
__import__.stock_inventory_line_without_lot_0391151,__import__.location_loc_GK04B2,__import__.product_0391151,28
__import__.stock_inventory_line_without_lot_0040097,__import__.location_loc_GB18B4,__import__.product_0040097,7
__import__.stock_inventory_line_without_lot_0816934,__import__.location_loc_GF30A7,__import__.product_0816934,0
__import__.stock_inventory_line_without_lot_0801787,__import__.location_loc_GA05B5,__import__.product_0801787,10
__import__.stock_inventory_line_without_lot_0870071,__import__.location_loc_GL06B5,__import__.product_0870071,71
__import__.stock_inventory_line_without_lot_0394569,__import__.location_loc_GG06C2,__import__.product_0394569,32
__import__.stock_inventory_line_without_lot_0675934,__import__.location_loc_GD14D1,__import__.product_0675934,6
__import__.stock_inventory_line_without_lot_8003624,__import__.location_loc_EOI148,__import__.product_8003624,5
__import__.stock_inventory_line_without_lot_8003630,__import__.location_loc_EOI149,__import__.product_8003630,5
__import__.stock_inventory_line_without_lot_8003707,__import__.location_loc_EXH102,__import__.product_8003707,5
__import__.stock_inventory_line_without_lot_8003713,__import__.location_loc_EOE115,__import__.product_8003713,0
__import__.stock_inventory_line_without_lot_8022768,__import__.location_loc_EXJ609,__import__.product_8022768,4
__import__.stock_inventory_line_without_lot_8003819,__import__.location_loc_EXH108,__import__.product_8003819,1
__import__.stock_inventory_line_without_lot_8022774,__import__.location_loc_EXJ610,__import__.product_8022774,2
__import__.stock_inventory_line_without_lot_8049632,__import__.location_loc_PK05B2,__import__.product_8049632,1
__import__.stock_inventory_line_without_lot_8039415,__import__.location_loc_GF21B3,__import__.product_8039415,1
__import__.stock_inventory_line_without_lot_8014243,__import__.location_loc_GC02D5,__import__.product_8014243,0
__import__.stock_inventory_line_without_lot_8017715,__import__.location_loc_EXB600,__import__.product_8017715,5
__import__.stock_inventory_line_without_lot_8017678,__import__.location_loc_EXB610,__import__.product_8017678,0
__import__.stock_inventory_line_without_lot_8017684,__import__.location_loc_EXB600,__import__.product_8017684,3
__import__.stock_inventory_line_without_lot_8017690,__import__.location_loc_EXB612,__import__.product_8017690,6
__import__.stock_inventory_line_without_lot_8019045,__import__.location_loc_EXC510,__import__.product_8019045,0
__import__.stock_inventory_line_without_lot_8018519,__import__.location_loc_EXC501,__import__.product_8018519,2
__import__.stock_inventory_line_without_lot_8018637,__import__.location_loc_EXC502,__import__.product_8018637,0
__import__.stock_inventory_line_without_lot_8018689,__import__.location_loc_EXC503,__import__.product_8018689,1
__import__.stock_inventory_line_without_lot_8018784,__import__.location_loc_EXC504,__import__.product_8018784,3
__import__.stock_inventory_line_without_lot_8018844,__import__.location_loc_EXC505,__import__.product_8018844,2
__import__.stock_inventory_line_without_lot_8018867,__import__.location_loc_EXC506,__import__.product_8018867,1
__import__.stock_inventory_line_without_lot_8024224,__import__.location_loc_EXF504,__import__.product_8024224,4
