id,product_id/id,name,life_date,checksum,removal_date,alert_date
__import__.stock_production_lot_6XGE_0026963,__import__.product_0026963,6XGE,2020-04-30 00:00:00,727,2020-03-31 00:00:00,2020-01-31 00:00:00
__import__.stock_production_lot_KP0D07R_0029132,__import__.product_0029132,KP0D07R,2022-11-30 00:00:00,558,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_27677A12_0037028,__import__.product_0037028,27677A12,2019-04-30 00:00:00,731,2019-03-31 00:00:00,2019-01-30 00:00:00
__import__.stock_production_lot_27867A10_0037028,__import__.product_0037028,27867A10,2019-06-30 00:00:00,449,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_216384_0037077,__import__.product_0037077,216384,2020-01-31 00:00:00,220,2020-01-01 00:00:00,2019-11-02 00:00:00
__import__.stock_production_lot_225618_0037077,__import__.product_0037077,225618,2020-03-31 00:00:00,206,2020-03-01 00:00:00,2020-01-01 00:00:00
__import__.stock_production_lot_18B05708_0041921,__import__.product_0041921,18B05708,2023-01-31 00:00:00,752,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_A207A03_0042028,__import__.product_0042028,A207A03,2019-05-31 00:00:00,854,2019-05-01 00:00:00,2019-03-02 00:00:00
__import__.stock_production_lot_BM11417_0045518,__import__.product_0045518,BM11417,2022-03-31 00:00:00,718,2022-03-01 00:00:00,2021-12-31 00:00:00
__import__.stock_production_lot_83500202_0045666,__import__.product_0045666,83500202,2019-09-30 00:00:00,636,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_17GQ068_0048173,__import__.product_0048173,17GQ068,2020-06-30 00:00:00,477,2020-05-31 00:00:00,2020-04-01 00:00:00
__import__.stock_production_lot_17DQ201_0048181,__import__.product_0048181,17DQ201,2020-03-31 00:00:00,384,2020-03-01 00:00:00,2020-01-01 00:00:00
__import__.stock_production_lot_A204A01_0061887,__import__.product_0061887,A204A01,2020-12-31 00:00:00,328,2020-12-01 00:00:00,2020-10-02 00:00:00
__import__.stock_production_lot_A207A01_0061887,__import__.product_0061887,A207A01,2021-02-28 00:00:00,993,2021-01-29 00:00:00,2020-11-30 00:00:00
__import__.stock_production_lot_KP0D569_0063784,__import__.product_0063784,KP0D569,2023-02-28 00:00:00,509,2023-01-29 00:00:00,2022-11-30 00:00:00
__import__.stock_production_lot_KP0D5B7_0063792,__import__.product_0063792,KP0D5B7,2023-01-31 00:00:00,871,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_17E009A_0064014,__import__.product_0064014,17E009A,2020-05-31 00:00:00,230,2020-05-01 00:00:00,2020-03-02 00:00:00
__import__.stock_production_lot_17E011A_0064014,__import__.product_0064014,17E011A,2020-05-31 00:00:00,701,2020-05-01 00:00:00,2020-03-02 00:00:00
__import__.stock_production_lot_17G017A_0064014,__import__.product_0064014,17G017A,2020-07-31 00:00:00,620,2020-07-01 00:00:00,2020-05-02 00:00:00
__import__.stock_production_lot_17B004A_0064015,__import__.product_0064015,17B004A,2020-02-28 00:00:00,641,2020-01-29 00:00:00,2019-11-30 00:00:00
__import__.stock_production_lot_17G017A_0064015,__import__.product_0064015,17G017A,2020-07-31 00:00:00,291,2020-07-01 00:00:00,2020-05-02 00:00:00
__import__.stock_production_lot_4000228_0064725,__import__.product_0064725,4000228,2020-02-28 00:00:00,354,2020-01-29 00:00:00,2019-11-30 00:00:00
__import__.stock_production_lot_400228_0064725,__import__.product_0064725,400228,2020-02-28 00:00:00,903,2020-01-29 00:00:00,2019-11-30 00:00:00
__import__.stock_production_lot_A206A01_0068536,__import__.product_0068536,A206A01,2020-05-31 00:00:00,958,2020-05-01 00:00:00,2020-03-02 00:00:00
__import__.stock_production_lot_A207A01_0068536,__import__.product_0068536,A207A01,2020-08-31 00:00:00,458,2020-08-01 00:00:00,2020-06-02 00:00:00
__import__.stock_production_lot_16LQ092_0071514,__import__.product_0071514,16LQ092,2019-11-30 00:00:00,888,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_KP0CL6K_0076901,__import__.product_0076901,KP0CL6K,2020-01-31 00:00:00,225,2020-01-01 00:00:00,2019-11-02 00:00:00
__import__.stock_production_lot_7P47Z2_0079327,__import__.product_0079327,7P47Z2,2020-01-31 00:00:00,929,2020-01-01 00:00:00,2019-11-02 00:00:00
__import__.stock_production_lot_7P47Z1_0079459,__import__.product_0079459,7P47Z1,2020-01-31 00:00:00,164,2020-01-01 00:00:00,2019-11-02 00:00:00
__import__.stock_production_lot_300418_0081620,__import__.product_0081620,300418,2021-04-30 00:00:00,607,2021-03-31 00:00:00,2021-01-30 00:00:00
