id,purchase_manager_id/id,is_manage_day_4,is_manage_day_1,is_manage_day_2,is_manage_day_3,is_manage_day_5
__import__.supplier_61609,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_95120,__setup__.res_user_cpetry,False,False,True,False,True
__import__.supplier_63520,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_63529,__setup__.res_user_fmichiels,True,True,False,False,False
__import__.supplier_61582,__setup__.res_user_vheine,False,True,False,False,False
__import__.supplier_61587,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_61588,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_62782,__setup__.res_user_cpetry,False,False,True,False,True
__import__.supplier_65020,__setup__.res_user_fmichiels,False,False,True,False,False
__import__.supplier_62781,__setup__.res_user_fmichiels,False,False,False,False,True
__import__.supplier_62784,__setup__.res_user_fmichiels,False,False,False,False,True
__import__.supplier_73940,__setup__.res_user_vheine,False,False,True,False,True
__import__.supplier_82446,__setup__.res_user_fmichiels,True,False,False,False,False
__import__.supplier_82908,__setup__.res_user_fmichiels,False,False,True,False,False
__import__.supplier_67575,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_82905,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_62600,__setup__.res_user_cpetry,False,False,True,False,True
__import__.supplier_79038,__setup__.res_user_fmichiels,False,False,False,True,False
__import__.supplier_68322,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_68320,__setup__.res_user_vheine,False,False,True,False,True
__import__.supplier_63984,__setup__.res_user_vheine,False,False,True,False,True
__import__.supplier_63983,__setup__.res_user_vheine,True,True,False,False,False
__import__.supplier_83150,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_63989,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_63988,__setup__.res_user_fmichiels,False,False,True,False,False
__import__.supplier_95050,__setup__.res_user_vheine,True,True,False,False,False
__import__.supplier_61851,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_66310,__setup__.res_user_fmichiels,False,False,True,False,True
__import__.supplier_77614,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_66250,__setup__.res_user_fmichiels,True,True,False,False,False
__import__.supplier_77618,__setup__.res_user_cpetry,False,False,True,False,True
__import__.supplier_81583,__setup__.res_user_cpetry,False,False,False,True,False
__import__.supplier_68257,__setup__.res_user_fmichiels,False,False,True,False,True
__import__.supplier_81581,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_81580,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_68250,__setup__.res_user_vheine,True,False,False,False,False
__import__.supplier_63935,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_81620,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_64355,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_69106,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_77340,__setup__.res_user_vheine,False,False,False,True,False
__import__.supplier_64350,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_64295,__setup__.res_user_fmichiels,False,False,False,False,True
__import__.supplier_64290,__setup__.res_user_fmichiels,True,True,False,False,False
__import__.supplier_93920,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_61425,__setup__.res_user_vheine,False,False,False,True,False
__import__.supplier_81585,__setup__.res_user_fmichiels,False,False,False,True,False
__import__.supplier_61922,__setup__.res_user_cpetry,True,True,True,True,True
__import__.supplier_60438,__setup__.res_user_vheine,True,True,False,False,False
__import__.supplier_61920,__setup__.res_user_vheine,False,False,True,False,True
__import__.supplier_60432,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_60433,__setup__.res_user_fmichiels,True,True,True,True,True
__import__.supplier_60430,__setup__.res_user_fmichiels,False,True,False,False,False
__import__.supplier_60436,__setup__.res_user_fmichiels,True,True,True,True,True
