id,name/id,product_code,price,min_qty_sale,product_tmpl_id/id,discount_sale,discount_purchase,date_start,date_end,ratio_main_product,ratio_promotional_product
__import__.supplierinfo_promo_60390-0320123-20160407,__import__.supplier_60390,,20.49,1,__import__.product_0320123_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-0320167-20160407,__import__.supplier_60390,,46.59,1,__import__.product_0320167_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-0320168-20160407,__import__.supplier_60390,,46.59,1,__import__.product_0320168_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-0320244-20160407,__import__.supplier_60390,,49.07,1,__import__.product_0320244_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-0320245-20160407,__import__.supplier_60390,,49.07,1,__import__.product_0320245_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-0320366-20160407,__import__.supplier_60390,,45.67,1,__import__.product_0320366_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-0320368-20160407,__import__.supplier_60390,,45.67,1,__import__.product_0320368_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-5039000-20160407,__import__.supplier_60390,,61.01,1,__import__.product_5039000_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-5039000-20171001,__import__.supplier_60390,,61.01,1,__import__.product_5039000_product_template,11.36,11.36,2017-10-01,2017-10-31,0,0
__import__.supplierinfo_promo_60390-5039003-20170316,__import__.supplier_60390,,22.77,1,__import__.product_5039003_product_template,50.00,50.00,2017-03-16,2017-04-30,0,0
__import__.supplierinfo_promo_60390-5039022-20161014,__import__.supplier_60390,,61.92,1,__import__.product_5039022_product_template,15.00,15.00,2016-10-14,2016-12-31,0,0
__import__.supplierinfo_promo_60390-5039023-20161014,__import__.supplier_60390,,63.93,1,__import__.product_5039023_product_template,15.00,15.00,2016-10-14,2016-12-31,0,0
__import__.supplierinfo_promo_60390-5039818-20170316,__import__.supplier_60390,,24.13,1,__import__.product_5039818_product_template,50.00,50.00,2017-03-16,2017-04-30,0,0
__import__.supplierinfo_promo_60390-6039000-20161014,__import__.supplier_60390,,51.08,1,__import__.product_6039000_product_template,15.00,15.00,2016-10-14,2016-12-31,0,0
__import__.supplierinfo_promo_60390-6039001-20161014,__import__.supplier_60390,,57.83,1,__import__.product_6039001_product_template,15.00,15.00,2016-10-14,2016-12-31,0,0
__import__.supplierinfo_promo_60390-6039006-20160407,__import__.supplier_60390,,63.10,1,__import__.product_6039006_product_template,10.00,10.00,2016-04-07,2016-05-06,0,0
__import__.supplierinfo_promo_60390-6039100-20161014,__import__.supplier_60390,,96.30,1,__import__.product_6039100_product_template,15.00,15.00,2016-10-14,2016-12-31,0,0
__import__.supplierinfo_promo_60400-2730265-20160101,__import__.supplier_60400,9920,40.89,1,__import__.product_2730265_product_template,15.00,15.00,2016-01-01,2016-01-31,0,0
__import__.supplierinfo_promo_60400-6040003-20160101,__import__.supplier_60400,9902,11.59,1,__import__.product_6040003_product_template,15.00,15.00,2016-01-01,2016-01-31,0,0
__import__.supplierinfo_promo_60400-6040003-20160401,__import__.supplier_60400,9902,11.59,1,__import__.product_6040003_product_template,15.00,15.00,2016-04-01,2016-04-30,0,0
__import__.supplierinfo_promo_60422-0135996-20160301,__import__.supplier_60422,033983,3.59,1,__import__.product_0135996_product_template,10.00,10.00,2016-03-01,2016-03-31,0,0
__import__.supplierinfo_promo_60422-0135996-20160601,__import__.supplier_60422,033983,3.59,1,__import__.product_0135996_product_template,10.00,10.00,2016-06-01,2016-06-30,0,0
__import__.supplierinfo_promo_60422-0135996-20170101,__import__.supplier_60422,033983,3.59,1,__import__.product_0135996_product_template,10.00,10.00,2017-01-01,2017-01-31,0,0
__import__.supplierinfo_promo_60422-0135996-20170301,__import__.supplier_60422,033983,3.59,1,__import__.product_0135996_product_template,10.00,10.00,2017-03-01,2017-03-31,0,0
__import__.supplierinfo_promo_60422-0135996-20170601,__import__.supplier_60422,033983,3.59,1,__import__.product_0135996_product_template,10.00,10.00,2017-06-01,2017-06-30,0,0
__import__.supplierinfo_promo_60422-0135996-20171101,__import__.supplier_60422,033983,3.59,1,__import__.product_0135996_product_template,25.00,25.00,2017-11-01,2017-12-31,0,0
__import__.supplierinfo_promo_60422-0135996-20180201,__import__.supplier_60422,033983,3.59,1,__import__.product_0135996_product_template,25.00,25.00,2018-02-01,2018-02-28,0,0
__import__.supplierinfo_promo_60422-0135996-20180401,__import__.supplier_60422,033983,3.59,1,__import__.product_0135996_product_template,25.00,25.00,2018-04-01,2018-04-30,0,0
__import__.supplierinfo_promo_60422-0136465-20160101,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2016-01-01,2016-01-31,0,0
__import__.supplierinfo_promo_60422-0136465-20160301,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2016-03-01,2016-03-31,0,0
__import__.supplierinfo_promo_60422-0136465-20160501,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2016-05-01,2016-05-31,0,0
__import__.supplierinfo_promo_60422-0136465-20160701,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2016-07-01,2016-07-31,0,0
__import__.supplierinfo_promo_60422-0136465-20160901,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2016-09-01,2016-09-30,0,0
__import__.supplierinfo_promo_60422-0136465-20161101,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2016-11-01,2016-11-30,0,0
__import__.supplierinfo_promo_60422-0136465-20170101,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2017-01-01,2017-01-31,0,0
__import__.supplierinfo_promo_60422-0136465-20170301,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2017-03-01,2017-03-31,0,0
__import__.supplierinfo_promo_60422-0136465-20170701,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2017-07-01,2017-07-31,0,0
__import__.supplierinfo_promo_60422-0136465-20171101,__import__.supplier_60422,033963,7.92,1,__import__.product_0136465_product_template,20.00,20.00,2017-11-01,2017-11-30,0,0
