id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_GG22C5,GG22C5,31,__import__.location_family_G,bin,G,G,22,C,5
__import__.location_loc_QF05A4,QF05A4,91,__import__.location_family_Q,bin,Q,F,05,A,4
__import__.location_loc_GB01E8,GB01E8,66,__import__.location_family_G,bin,G,B,01,E,8
__import__.location_loc_GB09E7,GB09E7,23,__import__.location_family_G,bin,G,B,09,E,7
__import__.location_loc_GB21A1,GB21A1,90,__import__.location_family_G,bin,G,B,21,A,1
__import__.location_loc_GE32B2,GE32B2,05,__import__.location_family_G,bin,G,E,32,B,2
__import__.location_loc_AA05A3,AA05A3,02,__import__.location_family_A,bin,A,A,05,A,3
__import__.location_loc_AA06A2,AA06A2,62,__import__.location_family_A,bin,A,A,06,A,2
__import__.location_loc_AA02A2,AA02A2,08,__import__.location_family_A,bin,A,A,02,A,2
__import__.location_loc_AA01B2,AA01B2,43,__import__.location_family_A,bin,A,A,01,B,2
__import__.location_loc_AE06A1,AE06A1,48,__import__.location_family_A,bin,A,E,06,A,1
__import__.location_loc_QF09A2,QF09A2,12,__import__.location_family_Q,bin,Q,F,09,A,2
__import__.location_loc_QF07A1,QF07A1,60,__import__.location_family_Q,bin,Q,F,07,A,1
__import__.location_loc_GB04B4,GB04B4,88,__import__.location_family_G,bin,G,B,04,B,4
__import__.location_loc_AC06A1,AC06A1,45,__import__.location_family_A,bin,A,C,06,A,1
__import__.location_loc_GB10D4,GB10D4,50,__import__.location_family_G,bin,G,B,10,D,4
__import__.location_loc_AC01A2,AC01A2,04,__import__.location_family_A,bin,A,C,01,A,2
__import__.location_loc_AA10A1,AA10A1,84,__import__.location_family_A,bin,A,A,10,A,1
__import__.location_loc_GG22B4,GG22B4,99,__import__.location_family_G,bin,G,G,22,B,4
__import__.location_loc_GD26B5,GD26B5,86,__import__.location_family_G,bin,G,D,26,B,5
__import__.location_loc_GD28C6,GD28C6,41,__import__.location_family_G,bin,G,D,28,C,6
__import__.location_loc_GF26E5,GF26E5,85,__import__.location_family_G,bin,G,F,26,E,5
__import__.location_loc_AB14B2,AB14B2,82,__import__.location_family_A,bin,A,B,14,B,2
__import__.location_loc_AB08B2,AB08B2,03,__import__.location_family_A,bin,A,B,08,B,2
__import__.location_loc_GE10B4,GE10B4,30,__import__.location_family_G,bin,G,E,10,B,4
__import__.location_loc_AM06A6,AM06A6,86,__import__.location_family_A,bin,A,M,06,A,6
__import__.location_loc_GD09B2,GD09B2,55,__import__.location_family_G,bin,G,D,09,B,2
__import__.location_loc_GG09D2,GG09D2,48,__import__.location_family_G,bin,G,G,09,D,2
__import__.location_loc_GF13B1,GF13B1,01,__import__.location_family_G,bin,G,F,13,B,1
__import__.location_loc_GE14A1,GE14A1,90,__import__.location_family_G,bin,G,E,14,A,1
__import__.location_loc_GF23C4,GF23C4,82,__import__.location_family_G,bin,G,F,23,C,4
__import__.location_loc_GC23A1,GC23A1,13,__import__.location_family_G,bin,G,C,23,A,1
__import__.location_loc_EXH106,EXH106,,__import__.location_family_E,bin,E,X,H,1,06
__import__.location_loc_EXH103,EXH103,,__import__.location_family_E,bin,E,X,H,1,03
__import__.location_loc_GD14B2,GD14B2,30,__import__.location_family_G,bin,G,D,14,B,2
__import__.location_loc_GI11B2,GI11B2,63,__import__.location_family_G,bin,G,I,11,B,2
__import__.location_loc_GC24D4,GC24D4,83,__import__.location_family_G,bin,G,C,24,D,4
__import__.location_loc_GG05D1,GG05D1,47,__import__.location_family_G,bin,G,G,05,D,1
__import__.location_loc_GF09C2,GF09C2,35,__import__.location_family_G,bin,G,F,09,C,2
__import__.location_loc_GF28C4,GF28C4,65,__import__.location_family_G,bin,G,F,28,C,4
__import__.location_loc_GG05E8,GG05E8,06,__import__.location_family_G,bin,G,G,05,E,8
__import__.location_loc_GE32B3,GE32B3,21,__import__.location_family_G,bin,G,E,32,B,3
__import__.location_loc_GG21E5,GG21E5,17,__import__.location_family_G,bin,G,G,21,E,5
__import__.location_loc_GB29E8,GB29E8,37,__import__.location_family_G,bin,G,B,29,E,8
