id,name,location_id/id,barcode_picking_type_id/id,kind
__setup__.stock_location_PA_U01,U01,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U02,U02,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U03,U03,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U04,U04,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_U05,U05,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T01,T01,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T02,T02,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T03,T03,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T04,T04,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_T05,T05,__setup__.stock_location_parking_medoc,__setup__.stock_picking_type_rangement_medoc,parking
__setup__.stock_location_PA_A,A,__setup__.stock_location_parking_ali,__setup__.stock_picking_type_rangement_ali,parking
__setup__.stock_location_PA_Q,Q,__setup__.stock_location_parking_frigo,__setup__.stock_picking_type_rangement_frigo,parking
__setup__.stock_location_PA_E,E,__setup__.stock_location_parking_materiel,__setup__.stock_picking_type_rangement_materiel,parking
__setup__.stock_location_NO_A,AN,__setup__.stock_location_new_mat,,
__setup__.stock_location_NO_G,GN,__setup__.stock_location_new_medoc,,
__setup__.stock_location_NO_Q,QN,__setup__.stock_location_new_frigo,,
__setup__.stock_location_NO_E,EN,__setup__.stock_location_new_mat,,
__setup__.stock_location_AV_A,AZZ100,__setup__.stock_location_order_mat,,
__setup__.stock_location_AV_G,GZZ100,__setup__.stock_location_order_medoc,,
__setup__.stock_location_AV_Q,QZZ,__setup__.stock_location_order_frigo,,
__setup__.stock_location_AV_E,EZZ,__setup__.stock_location_order_mat,,
