id,name,location_id/id,barcode_picking_type_id/id,kind
__setup__.stock_location_RM11,RM11,__setup__.stock_location_reserve_medoc,__setup__.stock_picking_type_reassort_medoc,reserve
__setup__.stock_location_RM12,RM12,__setup__.stock_location_reserve_medoc,__setup__.stock_picking_type_reassort_medoc,reserve
__setup__.stock_location_RM13,RM13,__setup__.stock_location_reserve_medoc,__setup__.stock_picking_type_reassort_medoc,reserve
__setup__.stock_location_RM14,RM14,__setup__.stock_location_reserve_medoc,__setup__.stock_picking_type_reassort_medoc,reserve
__setup__.stock_location_RM21,RM21,__setup__.stock_location_reserve_medoc,__setup__.stock_picking_type_reassort_medoc,reserve
__setup__.stock_location_RM22,RM22,__setup__.stock_location_reserve_medoc,__setup__.stock_picking_type_reassort_medoc,reserve
__setup__.stock_location_RM23,RM23,__setup__.stock_location_reserve_medoc,__setup__.stock_picking_type_reassort_medoc,reserve
__setup__.stock_location_RM24,RM24,__setup__.stock_location_reserve_medoc,__setup__.stock_picking_type_reassort_medoc,reserve
__setup__.stock_location_RA11,RA11,__setup__.stock_location_reserve_ali,__setup__.stock_picking_type_reassort_ali,reserve
__setup__.stock_location_RA12,RA12,__setup__.stock_location_reserve_ali,__setup__.stock_picking_type_reassort_ali,reserve
__setup__.stock_location_RA13,RA13,__setup__.stock_location_reserve_ali,__setup__.stock_picking_type_reassort_ali,reserve
__setup__.stock_location_RA14,RA14,__setup__.stock_location_reserve_ali,__setup__.stock_picking_type_reassort_ali,reserve
__setup__.stock_location_RA21,RA21,__setup__.stock_location_reserve_ali,__setup__.stock_picking_type_reassort_ali,reserve
__setup__.stock_location_RA22,RA22,__setup__.stock_location_reserve_ali,__setup__.stock_picking_type_reassort_ali,reserve
__setup__.stock_location_RA23,RA23,__setup__.stock_location_reserve_ali,__setup__.stock_picking_type_reassort_ali,reserve
__setup__.stock_location_RA24,RA24,__setup__.stock_location_reserve_ali,__setup__.stock_picking_type_reassort_ali,reserve
