id,master_partner_id/id
__import__.customer_316,__import__.customer_7967
__import__.customer_464,__import__.customer_466
__import__.customer_2935,__import__.customer_317
__import__.customer_3201,__import__.customer_9242
__import__.customer_3814,__import__.customer_3954
__import__.customer_4763,__import__.customer_9052
__import__.customer_5173,__import__.customer_91
__import__.customer_5237,__import__.customer_351
__import__.customer_5638,__import__.customer_2323
__import__.customer_6820,__import__.customer_9243
__import__.customer_6891,__import__.customer_3389
__import__.customer_6981,__import__.customer_5446
__import__.customer_7325,__import__.customer_2363
__import__.customer_7738,__import__.customer_5026
__import__.customer_8264,__import__.customer_8114
__import__.customer_8287,__import__.customer_5522
__import__.customer_8523,__import__.customer_97
__import__.customer_8859,__import__.customer_8865
