pricelist_id/id,fixed_price,product_tmpl_id/id,compute_price,applied_on,id
specific_data.product_pricelist_pb2,12.89,__import__.product_1190340_product_template,fixed,1_product,__import__.pricelist_item_product_1190340_pb2
specific_data.product_pricelist_pb2,27.10,__import__.product_4007024_product_template,fixed,1_product,__import__.pricelist_item_product_4007024_pb2
specific_data.product_pricelist_pb2,15.91,__import__.product_4008021_product_template,fixed,1_product,__import__.pricelist_item_product_4008021_pb2
specific_data.product_pricelist_pb2,27.36,__import__.product_4110003_product_template,fixed,1_product,__import__.pricelist_item_product_4110003_pb2
specific_data.product_pricelist_pb2,20.15,__import__.product_4120182_product_template,fixed,1_product,__import__.pricelist_item_product_4120182_pb2
specific_data.product_pricelist_pb2,35.11,__import__.product_4150104_product_template,fixed,1_product,__import__.pricelist_item_product_4150104_pb2
specific_data.product_pricelist_pb2,16.93,__import__.product_4160103_product_template,fixed,1_product,__import__.pricelist_item_product_4160103_pb2
specific_data.product_pricelist_pb2,52.97,__import__.product_4210103_product_template,fixed,1_product,__import__.pricelist_item_product_4210103_pb2
specific_data.product_pricelist_pb2,10.48,__import__.product_4210130_product_template,fixed,1_product,__import__.pricelist_item_product_4210130_pb2
specific_data.product_pricelist_pb2,39.05,__import__.product_4220107_product_template,fixed,1_product,__import__.pricelist_item_product_4220107_pb2
specific_data.product_pricelist_pb2,60.61,__import__.product_4230103_product_template,fixed,1_product,__import__.pricelist_item_product_4230103_pb2
specific_data.product_pricelist_pb2,9.78,__import__.product_4270131_product_template,fixed,1_product,__import__.pricelist_item_product_4270131_pb2
specific_data.product_pricelist_pb2,23.26,__import__.product_4270142_product_template,fixed,1_product,__import__.pricelist_item_product_4270142_pb2
specific_data.product_pricelist_pb2,6.79,__import__.product_4461838_product_template,fixed,1_product,__import__.pricelist_item_product_4461838_pb2
specific_data.product_pricelist_pb2,16.10,__import__.product_4500284_product_template,fixed,1_product,__import__.pricelist_item_product_4500284_pb2
specific_data.product_pricelist_pb2,33.20,__import__.product_4500285_product_template,fixed,1_product,__import__.pricelist_item_product_4500285_pb2
specific_data.product_pricelist_pb2,44.48,__import__.product_4500365_product_template,fixed,1_product,__import__.pricelist_item_product_4500365_pb2
specific_data.product_pricelist_pb2,19.19,__import__.product_4500382_product_template,fixed,1_product,__import__.pricelist_item_product_4500382_pb2
specific_data.product_pricelist_pb2,17.94,__import__.product_4500404_product_template,fixed,1_product,__import__.pricelist_item_product_4500404_pb2
specific_data.product_pricelist_pb2,53.33,__import__.product_4500445_product_template,fixed,1_product,__import__.pricelist_item_product_4500445_pb2
specific_data.product_pricelist_pb2,9.02,__import__.product_4901409_product_template,fixed,1_product,__import__.pricelist_item_product_4901409_pb2
specific_data.product_pricelist_pb2,10.48,__import__.product_4901703_product_template,fixed,1_product,__import__.pricelist_item_product_4901703_pb2
specific_data.product_pricelist_pb2,16.20,__import__.product_4910036_product_template,fixed,1_product,__import__.pricelist_item_product_4910036_pb2
specific_data.product_pricelist_pb2,29.26,__import__.product_4930043_product_template,fixed,1_product,__import__.pricelist_item_product_4930043_pb2
specific_data.product_pricelist_pb2,12.16,__import__.product_4970037_product_template,fixed,1_product,__import__.pricelist_item_product_4970037_pb2
specific_data.product_pricelist_pb2,12.16,__import__.product_4970044_product_template,fixed,1_product,__import__.pricelist_item_product_4970044_pb2
specific_data.product_pricelist_pb2,16.20,__import__.product_4970045_product_template,fixed,1_product,__import__.pricelist_item_product_4970045_pb2
specific_data.product_pricelist_pb2,16.20,__import__.product_4980044_product_template,fixed,1_product,__import__.pricelist_item_product_4980044_pb2
specific_data.product_pricelist_pb2,9.58,__import__.product_5064464_product_template,fixed,1_product,__import__.pricelist_item_product_5064464_pb2
specific_data.product_pricelist_pb2,20.83,__import__.product_5190400_product_template,fixed,1_product,__import__.pricelist_item_product_5190400_pb2
specific_data.product_pricelist_pb2,10.43,__import__.product_5450017_product_template,fixed,1_product,__import__.pricelist_item_product_5450017_pb2
specific_data.product_pricelist_pb2,28.44,__import__.product_5810470_product_template,fixed,1_product,__import__.pricelist_item_product_5810470_pb2
specific_data.product_pricelist_pb2,38.45,__import__.product_5821368_product_template,fixed,1_product,__import__.pricelist_item_product_5821368_pb2
specific_data.product_pricelist_pb2,42.78,__import__.product_5821726_product_template,fixed,1_product,__import__.pricelist_item_product_5821726_pb2
specific_data.product_pricelist_pb2,23.21,__import__.product_5822098_product_template,fixed,1_product,__import__.pricelist_item_product_5822098_pb2
specific_data.product_pricelist_pb2,34.55,__import__.product_5822148_product_template,fixed,1_product,__import__.pricelist_item_product_5822148_pb2
specific_data.product_pricelist_pb2,33.00,__import__.product_5822843_product_template,fixed,1_product,__import__.pricelist_item_product_5822843_pb2
specific_data.product_pricelist_pb2,36.67,__import__.product_5823446_product_template,fixed,1_product,__import__.pricelist_item_product_5823446_pb2
