id,create_date,default_code,list_price,standard_price,indicated_price,sale_delay,weight,length,width,depth,uom_po_id/id,uom_id/id,medical_device,cnk_code,web_published,barcode,tracking,taxes_id/id,supplier_taxes_id/id,categ_id/id,type,state_id/id,unit_in_shrink_wrap,unit_in_box,unit_in_pallet,storage_temperature_id/id,ratio_main_product,ratio_additional_product,orderpoint_min,orderpoint_max,veterinary_only,route_ids/id,active,name,price_category_id/id,manufacturer/id,orderpoint_qty_multiple
__import__.product_0029132,1999-10-15,0029132,18.25,15.00,28.05,0,0.21,5.60,5.60,10.50,product.product_uom_unit,product.product_uom_unit,,0029132,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_vitamines,product,,40,40,0,specific_product.product_storage_temperature_ambient,0,0,300.000,904.000,,purchase.route_warehouse0_buy,True,CATOSAL 100ML,,__import__.supplier_62600,40
__import__.product_0037028,1999-10-05,0037028,6.67,5.51,10.26,0,0.14,5.20,5.20,14.70,product.product_uom_unit,product.product_uom_unit,,0037028,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_topiques,product,,0,42,0,specific_product.product_storage_temperature_15,0,0,258.000,876.000,,purchase.route_warehouse0_buy,True,DOG-ECZEMA 100GR,,__import__.supplier_83300,1
__import__.product_0045666,1999-10-04,0045666,88.85,65.63,136.56,0,0.42,23.00,14.40,11.20,product.product_uom_unit,product.product_uom_unit,,,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_pis,product,specific_purchase.product_state_h,15,15,420,specific_product.product_storage_temperature_ambient,0,0,19.000,30.000,,purchase.route_warehouse0_buy,True,PATHOZONE SER 10X10ML,,__import__.supplier_79201,15
__import__.product_0061887,1999-10-05,0061887,23.01,17.60,35.37,0,0.23,5.50,5.50,11.40,product.product_uom_unit,product.product_uom_unit,,1629294,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_sys_nerveux,product,,0,40,0,specific_product.product_storage_temperature_ambient,0,0,100.000,337.000,,purchase.route_warehouse0_buy,True,VETALGIN NOVALGINE 100ML,,__import__.supplier_71100,1
__import__.product_0085456,1999-10-04,0085456,26.35,22.90,40.50,0,0.12,4.70,4.70,9.30,product.product_uom_unit,product.product_uom_unit,,0085456,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_sys_nerveux,product,,120,120,0,specific_product.product_storage_temperature_ambient,0,0,106.000,394.000,,purchase.route_warehouse0_buy,True,T61 50ML,,__import__.supplier_71100,120
__import__.product_0118703,2003-10-13,0118703,0,1.44,2.48,0,0,0,0,0,product.product_uom_unit,product.product_uom_unit,,,True,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_humain,service,,0,0,0,specific_product.product_storage_temperature_ambient,0,0,0,0,,purchase.route_warehouse0_buy,True,LANITOP 50CP,specific_product.product_price_category_gma,__import__.supplier_63520,0
__import__.product_0119198,1999-10-01,0119198,0,2.88,4.43,0,0,0,0,0,product.product_uom_unit,product.product_uom_unit,,,True,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_humain,service,,0,0,0,specific_product.product_storage_temperature_ambient,0,0,0,0,,purchase.route_warehouse0_buy,True,"MAXITROL UNG OPHT 3,5gr",specific_product.product_price_category_gma,__import__.supplier_63520,0
__import__.product_0125732,1999-10-05,0125732,8.76,6.47,13.46,0,0.07,23.20,5.50,3.80,product.product_uom_unit,product.product_uom_unit,,1642495,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,10,50,0,specific_product.product_storage_temperature_ambient,0,0,261.000,884.000,,purchase.route_warehouse0_buy,True,PANACUR PATE 24GR,,__import__.supplier_71100,10
__import__.product_0317339,1999-10-04,0317339,51.27,44.55,78.80,0,0.21,5.60,5.60,10.40,product.product_uom_unit,product.product_uom_unit,,0317339,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_005_in,l10n_be_antibiotic_tax.1_antibiotic_005_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antimicrobiens,product,specific_purchase.product_state_h,0,40,0,specific_product.product_storage_temperature_15,0,0,200.000,480.000,,purchase.route_warehouse0_buy,True,CEPOREX 100ML,,__import__.supplier_71100,1
__import__.product_0379578,1999-10-01,0379578,0,2.98,4.58,0,0,0,0,0,product.product_uom_unit,product.product_uom_unit,,,True,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_humain,service,,0,0,0,specific_product.product_storage_temperature_ambient,0,0,0,0,,purchase.route_warehouse0_buy,True,TRAFLOXAL GTTE OPHTIOLE 5ML,specific_product.product_price_category_gma,__import__.supplier_63520,0
__import__.product_0391383,1999-10-12,0391383,8.07,5.26,9999999999.99,0,0.30,35.20,10.50,9.70,product.product_uom_unit,product.product_uom_unit,True,,True,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_mat_conso,product,,15,0,0,specific_product.product_storage_temperature_ambient,0,0,9.000,18.000,,purchase.route_warehouse0_buy,True,"COMPRESSE ES STERILE 8PL  7,5x7,5 30x5pc",specific_product.product_price_category_gma,__import__.supplier_68302,15
__import__.product_0428060,1999-10-15,0428060,29.95,26.03,46.04,0,0.12,4.70,4.70,8.80,product.product_uom_unit,product.product_uom_unit,,0428060,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,0,40,0,specific_product.product_storage_temperature_ambient,0,0,67.000,160.000,,purchase.route_warehouse0_buy,True,PLANIPART 50ML,,__import__.supplier_62750,1
__import__.product_0491357,1999-10-05,0491357,6.14,4.09,9.44,0,0.43,6.60,6.60,13.60,product.product_uom_unit,product.product_uom_unit,,0491357,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_sys_nerveux,product,,0,12,1008,specific_product.product_storage_temperature_15,0,0,2600.000,4547.000,,purchase.route_warehouse0_buy,True,PROCAINE 4% + ADREN 250ml KELA,,__import__.supplier_83300,1
__import__.product_0616300,1999-10-15,0616300,51.76,44.98,79.56,0,0.15,5.00,5.00,13.80,product.product_uom_unit,product.product_uom_unit,,0616300,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antimicrobiens,product,,1,40,0,specific_product.product_storage_temperature_ambient,0,0,10.000,25.000,,purchase.route_warehouse0_buy,True,BAYTRIL ORAL 10% 100ML,,__import__.supplier_62600,1
__import__.product_0660944,1999-10-05,0660944,4.78,3.74,7.35,0,0.02,9.70,6.90,1.70,product.product_uom_unit,product.product_uom_unit,,0660944,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,12,144,0,specific_product.product_storage_temperature_ambient,0,0,56.000,188.000,,purchase.route_warehouse0_buy,True,PANACUR 10CP 250MG,,__import__.supplier_71100,12
__import__.product_0660945,2002-05-06,0660945,8.92,6.98,13.71,0,0.02,9.70,6.90,1.70,__setup__.product_uom_boite,product.product_uom_unit,,1497858,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,12,144,0,specific_product.product_storage_temperature_ambient,0,0,72.000,200.000,,purchase.route_warehouse0_buy,True,PANACUR 10CP 500MG,,__import__.supplier_71100,12
__import__.product_0660946,2002-05-06,0660946,18.56,14.52,28.52,0,0.15,5.50,5.50,11.30,product.product_uom_unit,product.product_uom_unit,,1497866,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,5,70,0,specific_product.product_storage_temperature_ambient,0,0,24.000,81.000,,purchase.route_warehouse0_buy,True,PANACUR PUPPY 100ML,,__import__.supplier_71100,5
