id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_2932531,__import__.location_loc_GGU305,__import__.product_2932531_product_template,stock.stock_location_stock
__import__.product_stock_bin_2976991,__import__.location_loc_QF05A4,__import__.product_2976991_product_template,stock.stock_location_stock
__import__.product_stock_bin_0864066,__import__.location_loc_GBA515,__import__.product_0864066_product_template,stock.stock_location_stock
__import__.product_stock_bin_0676023,__import__.location_loc_GBG513,__import__.product_0676023_product_template,stock.stock_location_stock
__import__.product_stock_bin_1154590,__import__.location_loc_GBP101,__import__.product_1154590_product_template,stock.stock_location_stock
__import__.product_stock_bin_3164605,__import__.location_loc_GE32B2,__import__.product_3164605_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829002,__import__.location_loc_AA05A3,__import__.product_5829002_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828662,__import__.location_loc_AA06A2,__import__.product_5828662_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828408,__import__.location_loc_AA02A2,__import__.product_5828408_product_template,stock.stock_location_stock
__import__.product_stock_bin_5822843,__import__.location_loc_AA01B2,__import__.product_5822843_product_template,stock.stock_location_stock
__import__.product_stock_bin_5826548,__import__.location_loc_AE06A1,__import__.product_5826548_product_template,stock.stock_location_stock
__import__.product_stock_bin_8330012,__import__.location_loc_QF09A2,__import__.product_8330012_product_template,stock.stock_location_stock
__import__.product_stock_bin_5173360,__import__.location_loc_QF07A1,__import__.product_5173360_product_template,stock.stock_location_stock
__import__.product_stock_bin_2065688,__import__.location_loc_GBC204,__import__.product_2065688_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500445,__import__.location_loc_AC06A1,__import__.product_4500445_product_template,stock.stock_location_stock
__import__.product_stock_bin_3103850,__import__.location_loc_GBH404,__import__.product_3103850_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500404,__import__.location_loc_AC01A2,__import__.product_4500404_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500284,__import__.location_loc_AA10A1,__import__.product_4500284_product_template,stock.stock_location_stock
__import__.product_stock_bin_2882199,__import__.location_loc_GGU204,__import__.product_2882199_product_template,stock.stock_location_stock
__import__.product_stock_bin_3031986,__import__.location_loc_GD26B5,__import__.product_3031986_product_template,stock.stock_location_stock
__import__.product_stock_bin_1389741,__import__.location_loc_GD28C6,__import__.product_1389741_product_template,stock.stock_location_stock
__import__.product_stock_bin_3032885,__import__.location_loc_GF26E5,__import__.product_3032885_product_template,stock.stock_location_stock
__import__.product_stock_bin_4120182,__import__.location_loc_AB14B2,__import__.product_4120182_product_template,stock.stock_location_stock
__import__.product_stock_bin_4110003,__import__.location_loc_AB08B2,__import__.product_4110003_product_template,stock.stock_location_stock
__import__.product_stock_bin_6775630,__import__.location_loc_GE10B4,__import__.product_6775630_product_template,stock.stock_location_stock
__import__.product_stock_bin_2171886,__import__.location_loc_AM06A6,__import__.product_2171886_product_template,stock.stock_location_stock
__import__.product_stock_bin_3025855,__import__.location_loc_GD09B2,__import__.product_3025855_product_template,stock.stock_location_stock
__import__.product_stock_bin_3025848,__import__.location_loc_GGH403,__import__.product_3025848_product_template,stock.stock_location_stock
__import__.product_stock_bin_5330001,__import__.location_loc_GF13B1,__import__.product_5330001_product_template,stock.stock_location_stock
__import__.product_stock_bin_3052990,__import__.location_loc_GE14A1,__import__.product_3052990_product_template,stock.stock_location_stock
__import__.product_stock_bin_3041282,__import__.location_loc_GF23C4,__import__.product_3041282_product_template,stock.stock_location_stock
__import__.product_stock_bin_7920013,__import__.location_loc_GC23A1,__import__.product_7920013_product_template,stock.stock_location_stock
__import__.product_stock_bin_8003788,__import__.location_loc_EXH106,__import__.product_8003788_product_template,stock.stock_location_stock
__import__.product_stock_bin_8003736,__import__.location_loc_EXH103,__import__.product_8003736_product_template,stock.stock_location_stock
__import__.product_stock_bin_8043730,__import__.location_loc_GD14B2,__import__.product_8043730_product_template,stock.stock_location_stock
__import__.product_stock_bin_1181163,__import__.location_loc_GI11B2,__import__.product_1181163_product_template,stock.stock_location_stock
__import__.product_stock_bin_8007183,__import__.location_loc_GC24D4,__import__.product_8007183_product_template,stock.stock_location_stock
__import__.product_stock_bin_7910047,__import__.location_loc_GGE401,__import__.product_7910047_product_template,stock.stock_location_stock
__import__.product_stock_bin_2518835,__import__.location_loc_GF09C2,__import__.product_2518835_product_template,stock.stock_location_stock
__import__.product_stock_bin_6969765,__import__.location_loc_GF28C4,__import__.product_6969765_product_template,stock.stock_location_stock
__import__.product_stock_bin_1457506,__import__.location_loc_GGE508,__import__.product_1457506_product_template,stock.stock_location_stock
__import__.product_stock_bin_2575421,__import__.location_loc_GE32B3,__import__.product_2575421_product_template,stock.stock_location_stock
__import__.product_stock_bin_5450017,__import__.location_loc_GGT505,__import__.product_5450017_product_template,stock.stock_location_stock
__import__.product_stock_bin_2816437,__import__.location_loc_GBX515,__import__.product_2816437_product_template,stock.stock_location_stock
__import__.product_stock_bin_2941086,__import__.location_loc_GC32A2,__import__.product_2941086_product_template,stock.stock_location_stock
__import__.product_stock_bin_1013481,__import__.location_loc_GBS204,__import__.product_1013481_product_template,stock.stock_location_stock
