id,location_id/id,product_qty,product_id/id,prod_lot_id/id
__import__.stock_inventory_line_AA1022RB_3129657,__import__.location_loc_GD23D2,274,__import__.product_3129657,__import__.stock_production_lot_AA1022RB_3129657
__import__.stock_inventory_line_AA1233RA_3129723,__import__.location_loc_GD11D1,215,__import__.product_3129723,__import__.stock_production_lot_AA1233RA_3129723
__import__.stock_inventory_line_AA233RA_3129723,__import__.location_loc_GD11D1,2,__import__.product_3129723,__import__.stock_production_lot_AA233RA_3129723
__import__.stock_inventory_line_AL764117AF_2680551,__import__.location_loc_GBM511,96,__import__.product_2680551,__import__.stock_production_lot_AL764117AF_2680551
__import__.stock_inventory_line_AL782603AD_2680551,__import__.location_loc_GBM511,15,__import__.product_2680551,__import__.stock_production_lot_AL782603AD_2680551
__import__.stock_inventory_line_A054A01_6741223,__import__.location_loc_GD02F2,5,__import__.product_6741223,__import__.stock_production_lot_A054A01_6741223
__import__.stock_inventory_line_A084A01_2976991,__import__.location_loc_QF05A4,1005,__import__.product_2976991,__import__.stock_production_lot_A084A01_2976991
__import__.stock_inventory_line_A087D01_7110025,__import__.location_loc_QF05B2,14,__import__.product_7110025,__import__.stock_production_lot_A087D01_7110025
__import__.stock_inventory_line_A088D01_7110025,__import__.location_loc_QF05B2,559,__import__.product_7110025,__import__.stock_production_lot_A088D01_7110025
__import__.stock_inventory_line_A195A01@A_0061887,__import__.location_loc_GK03A2,268,__import__.product_0061887,__import__.stock_production_lot_A195A01@A_0061887
__import__.stock_inventory_line_A230A01_0877373,__import__.location_loc_GBK301,43,__import__.product_0877373,__import__.stock_production_lot_A230A01_0877373
__import__.stock_inventory_line_A238A01_0085456,__import__.location_loc_GBK401,104,__import__.product_0085456,__import__.stock_production_lot_A238A01_0085456
__import__.stock_inventory_line_A272A01_0660945,__import__.location_loc_GD14C5,350,__import__.product_0660945,__import__.stock_production_lot_A272A01_0660945
__import__.stock_inventory_line_A317A01_0660944,__import__.location_loc_GBK105,263,__import__.product_0660944,__import__.stock_production_lot_A317A01_0660944
__import__.stock_inventory_line_A701B01_6350318,__import__.location_loc_GK02A5,1,__import__.product_6350318,__import__.stock_production_lot_A701B01_6350318
__import__.stock_inventory_line_A727A01_6350318,__import__.location_loc_GK02A5,218,__import__.product_6350318,__import__.stock_production_lot_A727A01_6350318
__import__.stock_inventory_line_A73362_1688803,__import__.location_loc_GK11A5,27,__import__.product_1688803,__import__.stock_production_lot_A73362_1688803
__import__.stock_inventory_line_A82500_1688811,__import__.location_loc_GK01A2,18,__import__.product_1688811,__import__.stock_production_lot_A82500_1688811
__import__.stock_inventory_line_B140714_2379782,__import__.location_loc_GBF504,493,__import__.product_2379782,__import__.stock_production_lot_B140714_2379782
__import__.stock_inventory_line_B170596A_5450017,__import__.location_loc_GGT505,5,__import__.product_5450017,__import__.stock_production_lot_B170596A_5450017
__import__.stock_inventory_line_CER003AAA_3113412,__import__.location_loc_GGB408,1127,__import__.product_3113412,__import__.stock_production_lot_CER003AAA_3113412
__import__.stock_inventory_line_C0520_1013192,__import__.location_loc_GK04A4,6,__import__.product_1013192,__import__.stock_production_lot_C0520_1013192
__import__.stock_inventory_line_C0717080751_2816429,__import__.location_loc_GGE507,5,__import__.product_2816429,__import__.stock_production_lot_C0717080751_2816429
__import__.stock_inventory_line_C0717110351_2816429,__import__.location_loc_GGE507,1969,__import__.product_2816429,__import__.stock_production_lot_C0717110351_2816429
__import__.stock_inventory_line_C0816121901_2816437,__import__.location_loc_GBX515,2247,__import__.product_2816437,__import__.stock_production_lot_C0816121901_2816437
__import__.stock_inventory_line_C0817103151_2816452,__import__.location_loc_GBT515,175,__import__.product_2816452,__import__.stock_production_lot_C0817103151_2816452
__import__.stock_inventory_line_C0817110251_2816411,__import__.location_loc_GGL507,104,__import__.product_2816411,__import__.stock_production_lot_C0817110251_2816411
__import__.stock_inventory_line_C0817121451_2816452,__import__.location_loc_GBT515,79,__import__.product_2816452,__import__.stock_production_lot_C0817121451_2816452
__import__.stock_inventory_line_C1117091151_2816395,__import__.location_loc_GBK503,190,__import__.product_2816395,__import__.stock_production_lot_C1117091151_2816395
__import__.stock_inventory_line_C1217121251_2816395,__import__.location_loc_GBK503,13,__import__.product_2816395,__import__.stock_production_lot_C1217121251_2816395
__import__.stock_inventory_line_C212351635_3392750,__import__.location_loc_GBK201,132,__import__.product_3392750,__import__.stock_production_lot_C212351635_3392750
__import__.stock_inventory_line_C217147_2746501,__import__.location_loc_GGB103,176,__import__.product_2746501,__import__.stock_production_lot_C217147_2746501
__import__.stock_inventory_line_C739672D_7505842,__import__.location_loc_GGE201,130,__import__.product_7505842,__import__.stock_production_lot_C739672D_7505842
__import__.stock_inventory_line_C758719_6775630,__import__.location_loc_GE10B4,2,__import__.product_6775630,__import__.stock_production_lot_C758719_6775630
__import__.stock_inventory_line_D712811641_3392768,__import__.location_loc_GBT403,30,__import__.product_3392768,__import__.stock_production_lot_D712811641_3392768
__import__.stock_inventory_line_EU1601A_6931194,__import__.location_loc_GD02D4,15,__import__.product_6931194,__import__.stock_production_lot_EU1601A_6931194
__import__.stock_inventory_line_EU1606_6757342,__import__.location_loc_GD04A3,26,__import__.product_6757342,__import__.stock_production_lot_EU1606_6757342
