id,life_date,checksum,product_id/id,name
__import__.stock_production_lot_KP0D07R_0029132,2022-11-30 00:00:00,558,__import__.product_0029132,KP0D07R
__import__.stock_production_lot_27677A12_0037028,2019-04-30 00:00:00,731,__import__.product_0037028,27677A12
__import__.stock_production_lot_83500202_0045666,2019-09-30 00:00:00,636,__import__.product_0045666,83500202
__import__.stock_production_lot_A204A01_0061887,2020-12-31 00:00:00,328,__import__.product_0061887,A204A01
__import__.stock_production_lot_A207A01_0061887,2021-02-28 00:00:00,993,__import__.product_0061887,A207A01
__import__.stock_production_lot_A243A01_0085456,2020-11-30 00:00:00,402,__import__.product_0085456,A243A01
__import__.stock_production_lot_E252A01_0125732,2020-10-31 00:00:00,252,__import__.product_0125732,E252A01
__import__.stock_production_lot_798801001_0391383,2022-12-31 00:00:00,772,__import__.product_0391383,798801001
__import__.stock_production_lot_798901008_0391383,2022-12-31 00:00:00,572,__import__.product_0391383,798901008
__import__.stock_production_lot_KP0D086_0428060,2019-08-31 00:00:00,461,__import__.product_0428060,KP0D086
__import__.stock_production_lot_4000044_0491357,2021-12-31 00:00:00,725,__import__.product_0491357,4000044
__import__.stock_production_lot_4000064_0491357,2022-01-31 00:00:00,476,__import__.product_0491357,4000064
__import__.stock_production_lot_4000065_0491357,2022-01-31 00:00:00,253,__import__.product_0491357,4000065
__import__.stock_production_lot_KP0CBVZ_0616300,2020-07-31 00:00:00,180,__import__.product_0616300,KP0CBVZ
__import__.stock_production_lot_A320A02_0660944,2022-07-31 00:00:00,584,__import__.product_0660944,A320A02
__import__.stock_production_lot_A272A01_0660945,2020-07-31 00:00:00,881,__import__.product_0660945,A272A01
__import__.stock_production_lot_A279A03_0660945,2020-12-31 00:00:00,202,__import__.product_0660945,A279A03
__import__.stock_production_lot_E385AV01_0660946,2020-08-31 00:00:00,607,__import__.product_0660946,E385AV01
__import__.stock_production_lot_RXR0471AA_0676023,2020-08-31 00:00:00,444,__import__.product_0676023,RXR0471AA
__import__.stock_production_lot_4000847_0685370,2021-03-31 00:00:00,768,__import__.product_0685370,4000847
__import__.stock_production_lot_4000484_0815761,2021-01-31 00:00:00,511,__import__.product_0815761,4000484
__import__.stock_production_lot_81901101_0843136,2019-06-30 00:00:00,952,__import__.product_0843136,81901101
__import__.stock_production_lot_S1R0781CA_0864058,2020-08-31 00:00:00,236,__import__.product_0864058,S1R0781CA
__import__.stock_production_lot_S1R0871AB_0864066,2020-09-30 00:00:00,612,__import__.product_0864066,S1R0871AB
__import__.stock_production_lot_S1R0871AC_0864066,2020-09-30 00:00:00,393,__import__.product_0864066,S1R0871AC
__import__.stock_production_lot_A251A01_0877373,2019-06-30 00:00:00,135,__import__.product_0877373,A251A01
__import__.stock_production_lot_E823A04_1009809,2020-10-31 00:00:00,228,__import__.product_1009809,E823A04
