id,ref,name,street,zip,city,phone,fax,email,vat,delivery_lead_time,customer,supplier,alcyon_category_id/id,category_id/id,country_id/id,lang,is_purchase_back_order_accepted,supplier_discount,mobile,property_account_position_id/id,property_supplier_payment_term_id/id,supplier_payment_mode_id/id
__import__.supplier_68250,68250,HILL'S PET PRODUCTS BENELUX,Boulevard du Souverain 165,1160,BRUXELLES,02/646.29.00,026463555,BELGIUM_VET_DISTRIBUTION@Hillspet.com,BE0439550946,5,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,15.00,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d14,__setup__.account_payment_mode_out_man
__import__.supplier_61520,61520,CAREFUSION,Erembodegem-Dorp 86,9320,EREMBODEGEM,053/720211,053720549 *,,BE0455334925,10,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_immediate,__setup__.account_payment_mode_out_sep
__import__.supplier_62600,62600,BAYER S.A.,J.E. Mommaertslaan 14,1831,DIEGEM (MACHELEN),02/5356649,025356519,,BE0400948213,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_62750,62750,BOEHRINGER INGELHEIM,ZI de Petit Rechain,4800,VERVIERS,02/7733331,087312197,,BE0405757235,0,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_f15,__setup__.account_payment_mode_out_dom
__import__.supplier_62770,62770,B.BRAUN MEDICAL,Woluwelaan 140B,1831,DIEGEM,02/7128650,070223388*,,,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d90,__setup__.account_payment_mode_out_sep
__import__.supplier_63520,63520,NC,Chaussée de Waremme 100,4530,VILLERS LE BOUILLET,,,,,0,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_man
__import__.supplier_66008,66008,ECUPHAR ANIMAL HEALTH SA,"Legeweg, 157 i",8020,OOSTKAMP,050/314269,050314417,,BE0476255350,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_66200,66200,ELI LILLY/ELANCO,Rue du Marquis 1,1000,BRUXELLES,080081316,027007425,orders.benelux@lilly.com,BE0406754454,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_f30,__setup__.account_payment_mode_out_sep
__import__.supplier_66906,66906,FENDIGO,"Avenue Hermann Debroux, 17",1160,BRUXELLES,02/7344690,027344899,,,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,13.10,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_67530,67530,GENIA,"Rue J-Fr. Champollion, 12",44680,ST-HILAIRE-DE-CHALEONS,0033/240032417,0033240031471*,,FR15312055403,14,False,True,specific_partner.partner_category_supplier,,base.fr,fr_BE,True,0,,__setup__.fiscal_position_intra,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_68302,68302,HARTMANN PAUL,Avenue Paul Hartmann 1,1480,SAINTES,02/3914466,043775039 *,,BE0414346782,7,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_71100,71100,MSD ANIMAL HEALTH,Clos du Lynx 5,1200,BRUXELLES,02/3709421,023709335,,BE0453699385,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d14,__setup__.account_payment_mode_out_man
__import__.supplier_71400,71400,JOHNSON ET JOHNSON MEDICAL,Leonardo Da Vincilaan 15,1831,DIEGEM,02/7463333,027463344,,BE0425967580,1,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_15days,__setup__.account_payment_mode_out_man
__import__.supplier_71450,71450,COVIDIEN,Général De wittelaan 9/5,2800,MECHELEN,02/2008260,02/2008261,covidien.belgium@covidien.com,,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,0,,__setup__.fiscal_position_nat,account.account_payment_term_net,__setup__.account_payment_mode_out_sep
__import__.supplier_74200,74200,MERIAL BELGIUM SA,Leonardo Da Vincilaan 19,1831,DIEGEM,080032369,,,,2,False,True,specific_partner.partner_category_supplier,,base.be,fr_BE,True,13.10,,__setup__.fiscal_position_nat,__setup__.account_payment_term_d14,__setup__.account_payment_mode_out_man
