id,name/id,product_code,price,min_qty_sale,product_tmpl_id/id,sequence
__import__.supplierinfo_60422-1421825,__import__.supplier_60422,033974,11.38,1,__import__.product_1421825_product_template,100
__import__.supplierinfo_60422-2081784,__import__.supplier_60422,033978,9.34,1,__import__.product_2081784_product_template,100
__import__.supplierinfo_60422-2314425,__import__.supplier_60422,40043,39.98,1,__import__.product_2314425_product_template,100
__import__.supplierinfo_60422-2382729,__import__.supplier_60422,033080,7.43,1,__import__.product_2382729_product_template,100
__import__.supplierinfo_60422-2730984,__import__.supplier_60422,034011,23.81,1,__import__.product_2730984_product_template,100
__import__.supplierinfo_60422-2879526,__import__.supplier_60422,033625,16.96,1,__import__.product_2879526_product_template,100
__import__.supplierinfo_60422-2892545,__import__.supplier_60422,032097,9.35,1,__import__.product_2892545_product_template,100
__import__.supplierinfo_60422-2923670,__import__.supplier_60422,032077,4.43,1,__import__.product_2923670_product_template,100
__import__.supplierinfo_60422-2954444,__import__.supplier_60422,033588,43.55,1,__import__.product_2954444_product_template,100
__import__.supplierinfo_60422-3033123,__import__.supplier_60422,033950,5.62,1,__import__.product_3033123_product_template,100
__import__.supplierinfo_60422-5090362,__import__.supplier_60422,033533,42.10,1,__import__.product_5090362_product_template,100
__import__.supplierinfo_60422-5260006,__import__.supplier_60422,31097,40.76,1,__import__.product_5260006_product_template,100
__import__.supplierinfo_60422-5260008,__import__.supplier_60422,031130,14.30,1,__import__.product_5260008_product_template,100
__import__.supplierinfo_60425-5259805,__import__.supplier_60425,VDGREQ4,32.80,1,__import__.product_5259805_product_template,100
__import__.supplierinfo_61593-8214195,__import__.supplier_61593,2400RD018,1.23,1,__import__.product_8214195_product_template,100
__import__.supplierinfo_61645-5106200,__import__.supplier_61645,PSC6200 DP,20.90,1,__import__.product_5106200_product_template,100
__import__.supplierinfo_61645-5164542,__import__.supplier_61645,PSEN-4,18.75,1,__import__.product_5164542_product_template,100
__import__.supplierinfo_61645-5166110,__import__.supplier_61645,,39.50,1,__import__.product_5166110_product_template,100
__import__.supplierinfo_61800-2171886,__import__.supplier_61800,12171886,37.12,1,__import__.product_2171886_product_template,100
__import__.supplierinfo_61800-3288000,__import__.supplier_61800,12274680,24.57,1,__import__.product_3288000_product_template,100
__import__.supplierinfo_61920-5192007,__import__.supplier_61920,E116,5.87,1,__import__.product_5192007_product_template,100
__import__.supplierinfo_61920-5192761,__import__.supplier_61920,E761,40.03,1,__import__.product_5192761_product_template,100
__import__.supplierinfo_62600-0029132,__import__.supplier_62600,82854712,15.86,1,__import__.product_0029132_product_template,100
__import__.supplierinfo_62600-0616300,__import__.supplier_62600,81529361,44.98,1,__import__.product_0616300_product_template,100
__import__.supplierinfo_62600-1088897,__import__.supplier_62600,84440117,51.59,1,__import__.product_1088897_product_template,100
__import__.supplierinfo_62600-1122118,__import__.supplier_62600,84288323,14.83,1,__import__.product_1122118_product_template,100
__import__.supplierinfo_62600-1124940,__import__.supplier_62600,80371633,14.39,1,__import__.product_1124940_product_template,100
__import__.supplierinfo_62600-1154590,__import__.supplier_62600,82352245,12.56,1,__import__.product_1154590_product_template,100
__import__.supplierinfo_62600-1357201,__import__.supplier_62600,84228214,11.26,1,__import__.product_1357201_product_template,100
__import__.supplierinfo_62600-1357219,__import__.supplier_62600,84229822,12.79,1,__import__.product_1357219_product_template,100
__import__.supplierinfo_62600-2065688,__import__.supplier_62600,82351923,14.33,1,__import__.product_2065688_product_template,100
__import__.supplierinfo_62600-2087088,__import__.supplier_62600,84193658,23.32,1,__import__.product_2087088_product_template,100
__import__.supplierinfo_62600-2656759,__import__.supplier_62600,84288412,16.06,1,__import__.product_2656759_product_template,100
__import__.supplierinfo_62600-2886943,__import__.supplier_62600,83768194,6.87,1,__import__.product_2886943_product_template,100
__import__.supplierinfo_62600-2890184,__import__.supplier_62600,83894793,24.46,1,__import__.product_2890184_product_template,100
__import__.supplierinfo_62600-6260010,__import__.supplier_62600,84440184,210.91,1,__import__.product_6260010_product_template,100
__import__.supplierinfo_62758-0428060,__import__.supplier_62758,0428060,26.03,1,__import__.product_0428060_product_template,100
__import__.supplierinfo_62758-0676023,__import__.supplier_62758,0676023,8.13,1,__import__.product_0676023_product_template,100
__import__.supplierinfo_62758-0864058,__import__.supplier_62758,0864058,5.29,1,__import__.product_0864058_product_template,100
__import__.supplierinfo_62758-0864066,__import__.supplier_62758,0864066,9.33,1,__import__.product_0864066_product_template,100
__import__.supplierinfo_62758-1013390,__import__.supplier_62758,1013390,20.95,1,__import__.product_1013390_product_template,100
__import__.supplierinfo_62758-1013481,__import__.supplier_62758,1013481,50.84,1,__import__.product_1013481_product_template,100
__import__.supplierinfo_62758-1203074,__import__.supplier_62758,1203074,22.43,1,__import__.product_1203074_product_template,100
__import__.supplierinfo_62758-1331313,__import__.supplier_62758,1331313,5.26,1,__import__.product_1331313_product_template,100
__import__.supplierinfo_62758-1688803,__import__.supplier_62758,1688803,50.92,1,__import__.product_1688803_product_template,100
__import__.supplierinfo_62758-1688811,__import__.supplier_62758,1688811,143.04,1,__import__.product_1688811_product_template,100
__import__.supplierinfo_62758-2251841,__import__.supplier_62758,2251841,158.37,1,__import__.product_2251841_product_template,100
__import__.supplierinfo_62758-2251874,__import__.supplier_62758,2251874,53.53,1,__import__.product_2251874_product_template,100
